product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
authorize_net,Authorized to use authorize.net,"I feel that my overall experience with authorize.net has been positive. When I first began using this product, I needed some customer support on an issue and they were so quick to respond and they let me know that they would be available 24/7 to help with any other questions that I may have. You can't beat customer service like that.",Katrina H.,4.0,"June 10, 2025","I like that I am not held to a contract if it didn't work as I expected. Luckily, it works just as I need it to but that was a big factor in using authorize.net. I am glad I made that investment",I think having to pay a monthly gateway fee is a con but not enough of a con to keep me from using this service.,Logistics Manager,Consumer Goods,Used the software for: Less than 6 months
authorize_net,Used for over 10 years! ,We enjoyed using them - always great customer service and issues resolved - money was always transferred to the bank account and account managing and log in were easy to use!,Verified Reviewer,5.0,"December 5, 2025",We were able to intergrade with our software at a cheaper rate. Easy log in and easy to run reports for members and sales.,We were unable to charge 3% to the customer for online transactions. We did incur a monthly gateway fee plus multiple other fees monthly - we were pci compliment but yet still got charged on the statement,Owner,"Health, Wellness and Fitness",Used the software for: 1-2 years
authorize_net,Authorize is a handy tool,"It's been fine, it does what it sets out to do but I don't consider it to be ground breaking. It does seem to have security figured out which is a nice plus.",Dana M.,3.0,"October 31, 2025",Authorize helps us securely capture payment from customers on our eCommerce customer facing site that is a partnership with our fulfillment business. It is easier to use than our home grown software for the end user for sure.,We need separate accounts for US and Canadian payments. This means that we have to log in and out depending on the ship destination. It's also not the most user friendly on the back end.,Fulfillment Manager,Publishing,Used the software for: 2+ years
authorize_net,Secure online payments and transfers for export operations.,"With this, our team is able to process safe payments and manage accounts with fewer errors, bringing more speed and confidence to our export operations.",Jason C.,5.0,"November 8, 2025","Authorize.net gives us strong security for global transactions, plus simple account management and clear fees. The transferring of money to clients and partners is highly reliable; it assists in avoiding fraud issues.",Account settings and updating staff permissions took some getting used to when dealing with a bigger team. Managing fees and multiple accounts is confusing at first.,Operations Manager,Import and Export,Used the software for: 2+ years
authorize_net,Good Stripe alternative for Woocommerce ,"Good! With the good rates, and integration by SkyVerge for WooCommerce I can definitely recommend authorize.net",Hilary T.,4.0,"December 11, 2025",API access is great and there are paid plugins that make integrating with WooCommerce very easy. The also have low fees,Their merchant UI is very outdated. It’s hard to find things and it’s small and hard to read sometimes. Looks like it was built in the 90s and never updated.,Head of Growth,Marketing and Advertising,Used the software for: 2+ years
authorize_net,Enabled us to create slick and professional invoices.,"It eased up our credit card processing, time for transaction and manual mistakes became less. We now do our monthly books in less time and with better results.",Connor T. B.,4.0,"June 6, 2025","The thing I love about it is how easy Authorize. net checks in with our invoicing software. It is dependable for customer payments, especially recurring billing for long-term B2B customers. The fraud detection tools also provide peace of mind.","The interface feels a little dated, and reporting tools could be more user-friendly. It can be a little time consuming to make custom financial summaries sometimes.",Financial Operations Manager,Electrical/Electronic Manufacturing,Used the software for: 2+ years
authorize_net,Property Management and Authorize ,Overall the experience is the system is not only cost effective but has greatly helped with money transfers and being able to account for them.,Dru S.,5.0,"November 29, 2025",Very streamlined service for payment confirmation and authorization. Highly recommended for property management to ensure all payment details are securely kept in a centralized location.,The interface can be a bit outdated at times and requested system updates are not as quick as we would like. Can be a bit of a learning curve in the beginning due to the interface.,Property Success Parntner,Management Consulting,Used the software for: 6-12 months
authorize_net,Choose Authorize.net if your looking for the best out! ,I am so glad I found Authorize.net not only was it the most cost effective but customer service is Quick with clear problem solving solutions.,Nicole E.,5.0,"May 15, 2025",Authorize.Net has a homepage where I can easily view all my transactions along with a breakdown of each one.,"I have no dislikes with authorize.net I’ve been using them going on 5years and I have made many calls to them with questions, comments and concerns.",Profesional Cleaner and Organizer,Hospitality,Used the software for: 2+ years
authorize_net,Top class for USA payment solutions,Authorise.net is so powerful that even their resellers built top class payment solutions for end users like me who have clients that want to use authorise.net to access USA payments.,Babatunde O.,5.0,"April 17, 2025",Ease of integrating USA based payments through their reseller paysafe which allowed us eChecks payment as the business was expanding to USA,It was not easy at first to get through to paysafe as a business operating in Europe we had to go through a reseller who then answered all our questions.,SEO Marketer,Marketing and Advertising,Used the software for: 1-2 years
authorize_net,If you are not a desinger,that my experience is not good at all there was alot of problmes,sean S.,3.0,"May 5, 2025",The system is okay but if you are not a designer then you would not really know what to do,not for every company that is looking to sell online,president,Fine Art,Used the software for: 2+ years
