product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
diib,Diib Review - Kinyua Marketing Agency ,"I can see the main issues or opportunities for all my clients in one dashboard whether its theoretically their backlinks, keywords or even the traffic they can potentially bring in.",Jared K.,4.0,"May 16, 2022","I can pull data and analytics for all platforms with cookies like Google, Facebook and even Microsoft. It objectify why clients are not an authority in the field on their website and how they rank compared to their competition.",The language can be hard to understand for beginning users and the navigation is gated based on your subscription level.,CMO,Marketing and Advertising,Used the software for: 6-12 months
diib,Diib SEO software Review,"Diib was easy to sign up and get started with. The use of keywords was easy to use. The backlinks found a few backlinks to sites I did not want to backlink from which was worth the cost on its own. The training call was not all it was advertised as and really needs improvement. The checklist to improve your site could have better explanations and more simplistic explanations of how to resolve issues. Site seems to be better for someone with more background than I have. A beginner can use it, but you will have to research the tools and slowly work them into your process.",William D.,4.0,"September 9, 2023","Diib provided a list of backlinks within the company, giving me knowledge of some bad backlinks that I had to have deleted. Diib gives an easy keyword search, that gives suggested keywords as well so you can hit on multiple keywords and gives the difficulty level to score on google. This made it easy to understand the volume and what keywords should be used for a startup website.","Diibs free meeting they offer to go over the website is more a sales pitch than a actual tutorial. It last 30 minutes with only the first ten going over information on the site, the next 10 is going over additional services to purchase with a Q & A at the end. Some of the features are a little more complex than a beginner like myself is used to. Would have been more beneficial for them to give a longer presentation. I feel like I am not able to use the site to its fullest.",Site owner/ operator,Writing and Editing,Used the software for: Less than 6 months
diib,Awful Support!!,,James G.,1.0,"July 24, 2025",Easy to use but Awful support!,"Awful support and also Awful support! They have been taking our money but there is no way to get hold of support other than there awful chat bot and if there is its extremely well hidden! We have Diib pro and none of our websites will load and havent for ages. You get the message, 'Something went wrong when loading sites' Happens on mobile and multiple desktops so not a caching issue",director,Computer Networking,Used the software for: 6-12 months
diib,A great tool for SEO,Easy to setup and manage SEO for my website.,Haba L.,5.0,"February 21, 2024",Easy to use and setup with other accounts. Many features and good advices for your website in terms of SEO.,I could not find any cons while using Diib until now.,Content Manager,Newspapers,Used the software for: 6-12 months
diib,Diib SEO Review,Diib keyword research was very good for finding keywords for my website. The training call could have been more helpful for understanding the website rather than being more oriented towards upselling.,justin V.,4.0,"September 10, 2023",Keyword research helped me find good terms to use for Google SEO. Diib helped me find backlinks that were going to my website that I didn't want to go to my website.,"Diib had a free introduction call, but it ended up being a marketing or selling call. The call gave very basic information about the website and then was upselling. The website was a bit complicated for new users like myself.",Owner,Management Consulting,Used the software for: Less than 6 months
diib,diib - all tools in one place,"diib is a comprehensive tool for every website, it has all features needed for a visible website on the search engines. Objectives give you good advices for your website, rank tracker helps you with keeping track of the ranking keywords and backlink monitor allows offers a good insights over the backlinks.",Adrian W.,5.0,"November 19, 2024","The most I like the Objectives tab, diib analyze the website and gives me important tips/objectives on how to improve my rankings in search engines. These are well documented and easy to understand. Also competition watching is an important feature that diib offers and everyone should keep an eye on it.","There are no things to like less, I really enjoy the whole platform.",Fleet Operative,Automotive,Used the software for: 1-2 years
diib,Diib - SEO helper,"Diib offers the most important tools for website optimization at a good price, It also gave a bundle of benefits when I sign up.",Advaldo M.,5.0,"August 7, 2024","In the first place, it is worth mentioning that adding and setting up a website is very easy. Diib has a lot of features that help your website rank higher in search engines. The alert system gives some advice on possible fixes and rank opportunities, which is a very neat feature. Keyword tracker is another useful feature that helps monitor the keywords and keep track of their rankings. It also helps with backlink management, which is an important task for SEO. All the features are well organized and easy to navigate.",There are no cons for Diib as I saw until now.,Director,Automotive,Used the software for: 2+ years
diib,A wright tool for my website rank,Keeping the website and articles ranked on search engines is not a easy job and diib is giving you a needed helping hand.,Marian C.,5.0,"June 5, 2024","Setting up the account and adding the website in a project is very easy. When setting up the account I received as a bonus a high quality backlink for my website, thanks. The objectives tab offers you some good insights on the tasks you need to do for improving the website.","There are no cons I can say for diib, everything works as it should.",IT Technician,Industrial Automation,Used the software for: 2+ years
diib,Diib and SEO,Overall diib some great resources for any website who want to rank higher. Is packet with good tools that really helps a website for the battle for the top positions.,Liam K.,5.0,"May 6, 2024","Adding a project/website into diib dashboard is very easy and takes less than two minutes. The feature that i like the most is ""Objectives"", it gives you the best strategy to gain more organic visitors and rank higher. Signup bonuses are worth mentioning too.",You don't have a lot of features like on other SEO software but the price is less than others.,CMO,Automotive,Used the software for: 6-12 months
diib,A good SEO tool,Using diib really helped the business grow in organic traffic. Everything is informative and support does his job.,Andrei B.,5.0,"April 10, 2024","After creating an account adding your website is very easy, importing data from Analytics and social profiles is just with a push of a button. Diib has a lot of tools for your website's and it gives you good objectives to improve SEO. They also offer you a good backlink for your business after creating the account. Weekly reports are informative and gives you a glimpse of you have you done until now and what's next.",There is nothing I can say bad about diib.,Account manager,Financial Services,Used the software for: 1-2 years
