product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
akeneo_product_cloud,"Akeneo, the Hercules to our product issues Hydra ",,Sabrina C.,5.0,"February 14, 2023","The fit for purpose towards the required PIM, commercial and syndication capabilities we need to have. The fit for purpose towards target data model (product and equipment) architecture, edge cases, current PIM gaps & limitations. Akeneo is bringing all kind of out of the box capabilities, to ensure we have a fast to market approach with good and mature enough embedded product related MDM capabilities. The flexibility and scalability towards our roadmap and future vision. Akeneo was able to leverage & showcase the interaction in a very efficient matter and brought in multiple references that have exceeded our expectations showing a proven track record that meet our complex data model and or related business / commerce transformations.","No MDM capabilities, DAM capabilities were poor however since we are going for an integrated DAM solution, this is not an issue for us.",Business Process Owner,Accounting,Used the software for: Less than 6 months
akeneo_product_cloud,Streamlined and User-Friendly PIM Solution,"Overall, my experience with Akeneo Product Cloud has been positive. It's intuitive, streamlines product information management, and greatly improves collaboration across teams. While advanced customization can be complex, its usability and scalability make it a strong choice for growing businesses.",Tobias H.,5.0,"April 1, 2025","Akeneo is incredibly user-friendly, making product data management simple and efficient.",The least appealing aspect of Akeneo is its complexity when customizing integrations.,Business Applications,Chemicals,Used the software for: 1-2 years
akeneo_product_cloud,Title of my Review,,Forrest H.,4.0,"February 15, 2023",Drag & Drop features as well as the ease of mass imports & exports for product information. We migrated from an outdated PIM where everything was inputted manually so this program has greatly sped up our internal processes.,"Our integration didn't go all that well, so our product families were never set up correctly which caused a lot of issues with our website. That is more of an internal problem though. Be sure you find the correct external agency if you do not have the internal capabilities. We're paying for it dearly.",eCommerce Operations Coordinator,Retail,Used the software for: 2+ years
akeneo_product_cloud,Fantastic PIM software,"We were looking for a platform to manage product data and syndicate it to downstream applications. This data goes to our eCommerce site, our customers' eCommerce sites, a new automation platform, and internal data analytics tools. We're very happy and would recommend Akeneo to anyone who asked.",Trenton T.,5.0,"February 14, 2023",Akeneo is incredibly easy to use. Structuring our data and managing improvements to it has great improved our internal product data practices. Syndication is also a piece of cake with customizable export profiles and scheduling. Uploads into the system are also very straight forward.,"My biggest complaint is that we used an implementation partner; after going through the setup of our environment, it seemed to me that we could handle 90% of the tasks ourselves. This is a testament to how easy to use it is. Our integration with our DAM, Aprimo, was also challenging because it was the first integration between these two systems.",Product Manager,Mechanical or Industrial Engineering,Used the software for: 1-2 years
akeneo_product_cloud,An ever growing environment for product data,"We have managed to generate product data, that wouldn't have been able to implement with our existing software and facilitated lots processes.",Daniel L.,5.0,"February 14, 2023","Akeneo offers a multitude of features that can facilitate processes and help getting the most out of product data. Over the years, Akeneo has implemented features, which require little to no customization on our side.",Some features are complicated to implement and require some getting used to.,Head of Purchase and Product Management,Retail,Used the software for: 2+ years
akeneo_product_cloud,Good PIM/PCM to publish all your product content,,Verified Reviewer,4.0,"July 30, 2021","The transformation rules, they are quite simple, so if you do not need anything complicated, it will automazime most of the process.",The GUI and quality assurance could use some work.,Ecommerce Director,Retail,Used the software for: 1-2 years
akeneo_product_cloud,Happy with the product,,Anna Leena K.,4.0,"February 14, 2023",Rules engine and catalog structure. Also UI is clear for our end users.,"Variant vs. Product level rules, easier way of reviewing product information",Digital Development Manager,Retail,Used the software for: 2+ years
akeneo_product_cloud,Great fit for our needs,"PIM as a source of truth with one/global space to store, update product information is what we were looking for. Managing product data is much easier and product information updates can be done much quicker thanks to linked channels.",Verified Reviewer,5.0,"February 15, 2023","Capacity to link to ERP, internal software. To host product information in organized way with insights to data quality score. Workflows and approval process based on role & permission set.","Changing/editing attributes after they have been created is kind of headache. As well ""reference entity like"" feature for set of attributes would make our jobs easier.",Digital Projects Manager,Mechanical or Industrial Engineering,Used the software for: 1-2 years
akeneo_product_cloud,Great PIM for your brand,,Noemí M.,5.0,"February 10, 2023","Akeneo gives me a comprehensive view of all my product data, which makes it easy to manage my catalogs. The user interface is intuitive and allows me to organize and access data quickly. The product also offers powerful analytics capabilities, allowing me to make informed decisions about my products and pricing strategies and syndication options.",Create a data governance for your product info.,Brand Manager,Marketing and Advertising,Used the software for: 1-2 years
akeneo_product_cloud,Essential for Bringing all of our Products Into one Catalog,,Jeremy C.,5.0,"February 14, 2023",- The ability to import data from nearly any source we already have- The organization of product data- Inclusion of product images- Integration with our DAM,"- The ability to serve images to other applications in an e-commerce environment, not built to handle that kind of continuous load",Project Manager,Pharmaceuticals,Used the software for: 1-2 years
akeneo_product_cloud,Passage de l'age de pierre à l'erre industriel,Simplification et centralisation de notre source de vérité avec la création d'API vers nos différents points de ventes.,Julien R.,5.0,"February 14, 2023",La fiabilisation de notre catalogue produit et de nos canaux de diffusion.,Les limites de transferts des imports à 500 Mo,deviseur,Graphic Design,Used the software for: 2+ years
akeneo_product_cloud,Perfect for product information management,,Craig H.,5.0,"May 3, 2022",Akeneo PIM makes it possible to collect product specific statistical data from various sources.,Akeneo PIM definitely needs to increase the data sources that it can collect data from.,Founder and CEO,Marketing and Advertising,Used the software for: 6-12 months
akeneo_product_cloud,From nothing to reliable !!! ,It is a complete and intuitive software,Mauro Q.,4.0,"February 14, 2023",Because it simplifies and standardises the creation of digital catalogues in a flexible and accurate manner.,It is very complex with a lot of funtionality and it coud be useful to have a on line tutorial.,Category Manager,Wholesale,Used the software for: I used a free trial
akeneo_product_cloud,"Best PIM I could found, but hard to understand well",,Sergio O.,5.0,"August 13, 2019","It's free, it's modern, it's fast, clean. You can perceive it's well designed and programmed. It fulfills just PIM needs without unnecessary additional features. It has a free community edition you can use self-hosted.","It's hard to understand, you must study the guides. It doesn't have a free hosted version. You need a VPS to use it.",Sales,International Trade and Development,Used the software for: Less than 6 months
akeneo_product_cloud,Definitely a must for improved daily business operations,"I love the fact that even though I've been using Akeneo for +3 years now, I continue learning new things on a daily basis.",Verified Reviewer,5.0,"February 14, 2023","Seemless integration with other Apps, ERP and Cloud systems. The REST API makes it extremely easy to connect and define connections.","Would be great if you could import using more document types, e.g. PDF's. As well as when downloading a PDF of a product, it should include the product image, with a better layout of content.",Mapping Consultant,Building Materials,Used the software for: 2+ years
akeneo_product_cloud,Akeneo 5.0,"Overall, this has been a very enjoyable experience and with the ease of how Akeneo is, our Business is now dependant on how powerful and quickly we can get to market.",Matt C.,5.0,"August 23, 2022","Overall, this solutions is a must for any Business looking to enrich data, store valuable data attributes and also to connect and promote products on ecommerce platforms. the API capabilities makes working woth Akeneo easy and also promoting a strong presence of product data online",Some teething problems in terms of how flexible but Akeneo are forever working on the Road map to work with us and help us achieve our goals,Solutions Architect,Consumer Goods,Used the software for: 1-2 years
akeneo_product_cloud,A game changer for your products,"We historically managed product data from our ERP. This resulted in weak structures and complex processes who played well at older company stages, but did not at current scale. PIM adoption has been not just another third-party component on our platform, but the opportunity to unload the ERP from responsibilities that never had to be there, as well to sanitize a degraded product data.",Daniel F.,5.0,"February 14, 2023","Helped us on establishing a healthy product data with the proposed concepts and structures. The product enrichment process turned into a more friendly and meaningful task, valuating the work of involved people. The offered support is freaking excellent, we got the answers needed during adoption in a very reasonable time, with a very comprehensive language.","The assets management and translation processes offered out of the box did not cover our current range of necessities, so we opted for integration other tools to complete them all.",Product Manager,Furniture,Used the software for: 6-12 months
akeneo_product_cloud,Excellent PIM Solution,We've been very happy with the solution.,Garreth T.,5.0,"February 16, 2023",The product completeness and data quality features make it really easy to manage data quality per channel. The ease of use of the platform for unique views & filters makes it easy to identify and fix products that have data issues.,Workflows could use some work from an enterprise perspective.,Merchandise Support Manager,Retail,Used the software for: 2+ years
akeneo_product_cloud,PXM made easy,"Akeneo is helping us in delivering our journey of product information and recommendation at scale. The fact that our data model can evolve quickly with just configuration instead of developments and the facility of connection to third parties are key features of the app. Principle of assets, reference entities, channels and locales are working perfectly together to manage content completion and localization in a structured way.",Verified Reviewer,5.0,"August 30, 2022",It’s friendly user- interface. The easy switch between channels. The concept of assets and entities providing many possibilities to manage enriched content.,The 'Simultaneous Work' that is not yet arrived and some complexity in navigating through the history of modification. This based on using it in an international context at scale with many users and markets collaborating at the same time on the PIM.,PXM Product Owner,Food Production,Used the software for: 1-2 years
akeneo_product_cloud,Great tool to manage and enrich data efficiently,"Overall, Akeneo has helped us to build out and enrich our product data well beyond what we would have been able to do without it. The addition of asset management with the enterprise edition was a big feature for us to be able to handle all the many different imagery assets we have for each product and to feed it out to our web site very efficiently. Akeneo is designed for product data enrichment and it delivers extremely well.",Michael S.,5.0,"December 13, 2019","Open customization was, for us, one of the biggest factors as we needed to be able to import in product data from our inventory control system on an ongoing basis. The good network of integration partners that Akeneo has developed and the flexibility of open source code made it a great way to us to build out the extra things we needed while utilizing many of the excellend out of the box features to work with the data once it's in Akeneo and pass it on to our site.","Integration and customization, while great, also make for more challenging paths during regular updates and upgrades. Akeneo regularly releases fixes and full feature updates, which is also a great thing, but does present us with the need to continually stay on top of those to ensure we're at a version we're comfortable with and also keeping our customizations in working condition with the latest versions.",President,Retail,Used the software for: 2+ years
akeneo_product_cloud,Akeneo PIM Management,Happy to use Akeneo Easy to configure in Magento backendAkeneo provides filter products based upon status and other attributes in Akeneo portal,Ramakrishna A.,5.0,"February 14, 2023","Supports Magento ConnectorSo we can sync Families, Attributes, Options, Categories and Products",Family selection (if we have more than 1000 families and wants to select limited families)Product Sync taking more time to execute.,Manager Technology,Retail,Used the software for: 2+ years
akeneo_product_cloud,Akeneo ,,Verified Reviewer,5.0,"February 16, 2023",When you have a lot of data is really important to have a UI and UX that makes you accomplish your objectives.,Sometimes the product label seems to be complicated,PRODUCT MANAGER,Furniture,Used the software for: 6-12 months
akeneo_product_cloud,Easy to use,,Aisling V.,5.0,"February 14, 2023","Easy to use, easy to import / export, easy to filter and search",No ability to export products based on their categorization,Group Quality Assurance Manger,Food & Beverages,Used the software for: 1-2 years
akeneo_product_cloud,Review from an integrator point of view,,Nicolas S.,5.0,"August 29, 2022","The UI, the product grid, the product page Being able to import the whole structure with files The performances and no bugs",The DAM part of the PIM could have more features The automatic rules are limited The import/export format are not flexible,Pim Expert,Apparel & Fashion,Used the software for: 2+ years
akeneo_product_cloud,Akeneo Product Cloud un logiciel d'e-commerce ,,Maurice D.,4.0,"October 29, 2023","C'est un logiciel facile à prendre et à utiliser , dont son utilisation assure le développement d'e-commerce.","Je ne rencontre de difficulté au cours de l'utilisation de ce logiciel , de plus il très préférable pour les entreprises dans le domaine d'e-commerce.",Comptable,Accounting,Used the software for: 6-12 months
