product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
smatbot,Value for Money,Best in Class.,Vinay K.,5.0,"January 13, 2023",Integrating the product for my requirement was critical to me and the team helped me get the integration done as per requirements with all the changes being made from time to time. Having a video was very important for customer engagement and the team did that very effectively.,The presentation UI can be made for colourful with impactful colours.,Director,Education Management,Used the software for: 6-12 months
smatbot,Easy for non-technical ,"Connecting health providers to ""learn"" best practices in addiction Management",Prabhat C.,5.0,"February 11, 2021","Excellant user friendly interface, easy to develop, navigate, customize",At this point nothing to point out. The team is working to make it better.,Professor and Psychiatrist,"Health, Wellness and Fitness",Used the software for: 2+ years
smatbot,Fair service support ,Good service with good support.,Mukul J.,3.0,"January 13, 2023",I am using it for a month what i like about them is support team availability.Product need lot of improvement but support is strong that's why they can do it.,Missing commitment on getting verified to have green tick.,Director,Information Technology and Services,Used the software for: Less than 6 months
smatbot,Time saver for working from home,,Omar M.,4.0,"October 11, 2022","That the features are so helpful including Live Chat and the contact database which helps us to like manage a newsletter (by email) with the customer's name, email, etc., and also the ease-of-setup or deployment is super simple! However, the price is affordable which is good.","I think there are not many disadvantages noticed by our team about Smatbot for now, but it would be really good if the AI is improved significantly.",Full-Stack Developer,Computer Software,Used the software for: Less than 6 months
smatbot,Smatbot : Honest Review,I could define it as a smart experience.,Verified Reviewer,4.0,"June 21, 2019","Easy to set up. Great pricing for small businesses, I like that they have a fremium model to it. A great way to generate qualified leads.",No chatbot templates for all industries. This could have made it easy to implement. But they are working on it and are willing to prioritize based on customer needs.,CEO,Information Technology and Services,Used the software for: Less than 6 months
smatbot,Smart Bot,,Harika R.,5.0,"August 5, 2021",Support is too good. They are always available when it's emergency,Not able to delete the response is something I would like you people to add it,Product Head,Information Technology and Services,Used the software for: 1-2 years
smatbot,SmatBot - Effective tool,100% recommendation to all business who wants to improvise their conversion and get to know why are customers coming to you and for what.,santosh S.,4.0,"January 24, 2019",We used smatBot on our ecommerce portal to connect & assit potential customer in buying process.. Fantastic and bang on - It works 24x7 and cost of tool is very economical to value it brings inn. Helps to capture the leads & stats on who is customer & what is he looking at ? Conversion rate was much high as compared to other tools. Gives you database of actual customer to nurture them further.,Post Leads capture - Integration with third party tool for automation nurturing this leads will add lot of value.,Founder & Director,Photography,Used the software for: 6-12 months
smatbot,No Nonsense - Value for Money Product,Streamlining the lead gen.,Devisetty Y.,5.0,"January 22, 2019",Delivers what's promised Value for Money Clean Support,Nothing actually. I exactly got what I was looking for.,Co-Founder & CEO,Retail,Used the software for: 6-12 months
smatbot,Automated Lead Capture by Smatbot.,,harshal G.,4.0,"June 18, 2019",1. Easy to configure interface. 2. Form creation is easy. 3. Cofounders are more than happy to get your feedback and work on it.,1. Response list UI is bad. 2. Difficult to analyze responses from the backend.,CPO,Information Technology and Services,Used the software for: Less than 6 months
smatbot,Great chat bot out there,Great app...! Not easy to find similar product anywhere,anuram V.,4.0,"June 21, 2019",Easy to use No coding requirement Customisation & automation,Bit pricy Few bugs and UI issues........,Co founder,Financial Services,Used the software for: I used a free trial
smatbot,An Awesome Chatbot For any Website,SmatBot is an all-round great chatbot for lead generation and visitor retention. It has totally automated live chat on my website. I have had no technical issues with using the application. It's easy to configure and fun to configure. I definitely will recommend to anyone looking for a chatbot on their website or application.,Olabode O.,5.0,"October 17, 2019","- SmatBot is a cool AI chatbot for any website. I personally use it to capture leads on my website to make sure every visitor gets a personalized chat experience. - It has a brilliant UI and easy to customize to my company's brand. - I like the way I can customize the conversation flow and get as much information as possible from the site visitor. - SmatBot can profer help articles from my website, based on the visitor's search query. - And lastly, I love the fact that you can interchange it with a real live chat (tawk.to), in case you'd like to take over the inquiry.","- There is no payment integration feature via the SmatBot (what can I say, I love having more features :) ) - There aren't a lot of training materials or tutorials on it; would like to see more training materials to help people understand its features. - Can't do so much with the starter plan. WOuld like to see more features in the starter plan.",Web designer,Design,Used the software for: Less than 6 months
smatbot,Krishna SEO Expert Reviews ,"Super and good experience while using this, it will be I catchy while opening the website and the good number of conversations will happen using, Totally I like it and so good.",Krishna S.,5.0,"March 2, 2020",One of the Best Chatbot I used till today,A good one to use for any kind of website it will attract the user attention much more,SEO Expert,Information Technology and Services,Used the software for: 6-12 months
smatbot,simple easy to use bot,,Neelanjan G.,4.0,"October 22, 2020",We love the easy to use and secured which smatbot provides,too much security doesn't allow login sometimes.,director,Architecture & Planning,Used the software for: 6-12 months
smatbot,VENSON PEST CONTROL,,Vivek Sarma K.,5.0,"January 21, 2019",Max info in min space and time . Boom for a service oriented enitity like us .,Nothing as of now . But would definitely help in improving the product over a period of time,Pest Control,Construction,Used the software for: 1-2 years
smatbot,Easy to use!,,Julia H.,5.0,"October 4, 2022","Easy to use, fair price, responsive and helpful customer service/sales reps, analytics reporting seems solid.","Would love to see some AI (bot recognizes words typed in) at the lower levels, rather than being button only.",Sr. Medical Writer & Learning Solutions Designer,Professional Training & Coaching,Used the software for: 6-12 months
smatbot,Useful Chatbot,,Prince G.,5.0,"October 4, 2019",Easy to use and more informative data it will provide. You can do customization at your ease.,"Nothing, everything is fine. I recommend it to the companies who want user interaction on their website.",CEO,Education Management,Used the software for: Less than 6 months
smatbot,Best software for getting leads,,Veena D.,5.0,"July 20, 2019","Its very easy to setup the software, and user-friendly to customers. Every company has to have this software for best automation","Pro-version is quiet costly, Free version has 100 chats access, It wil be better if you increase, It wil helpful for startup companies.",CEO,Information Technology and Services,Used the software for: Less than 6 months
smatbot,SmatBot Review,,Verified Reviewer,4.0,"October 9, 2019",Used to get feedback from clients for sales pipeline. Worked pretty efficiently for me. Pretty solid otherwise as a free tool.,Less features available for the trial version.,HE-OBT,Information Technology and Services,Used the software for: Less than 6 months
smatbot,Easy to use and deployment,,Sandeep R.,5.0,"April 29, 2022",Reporting and analytics Pricing Deployment Support Team,Most of the time it shows errors due to cache issues or sometimes a few features stopped working.,Web Assets Manager,Marketing and Advertising,Used the software for: Less than 6 months
smatbot,Replacement of Support team,,Verified Reviewer,5.0,"May 6, 2019",Versatility and flexibility It really does help me automate our business and make everything so easy,Nothing to complaint about performance. But Need more Advanced level Automation,Digital Marketing Specialist,Real Estate,Used the software for: Less than 6 months
smatbot,Logiciel de de solution ,,Salomon N.,4.0,"October 2, 2023","C'est le meilleur logiciel qui représente dans ses rôles, l'acteur majeur du secteur des chatbots.",Je recommande vivement aux entreprises d'utiliser ce logiciel pour un meilleur négociations avec les clients.,Commercial,Commercial Real Estate,Used the software for: I used a free trial
smatbot,SmatBot fantastic,,Armando C.,5.0,"June 18, 2019","The product works which is a marvel, easy to configure",Great fantastico.,Thefoxone,Computer Hardware,Used the software for: I used a free trial
smatbot, C'est logiciels de chat en direct ,,Joël T.,5.0,"October 21, 2023",C'est logiciels permet les chats en direct et facile plus la communication.,Je ne trouve aucun inconvénient pour ce logiciel. C'est un très bon logiciel très efficace.,Assistant,Human Resources,Used the software for: I used a free trial
smatbot,Easy to work ,,Abdul K.,5.0,"October 7, 2022",Easy to use and we can connect to each other.,No least all are good well to process this bot.,DESIGN,Education Management,Used the software for: I used a free trial
