product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
answerbase,Very good Support and easy to use,We are a small company that offer a range of technical products (software and hardware) in the smart home/IoT business. We implemented a Q&A board since we felt this would be the best way to create high quality content for our community. After looking around we felt that Answerbase offered the best value for money and so far this has proven to be the case. Due to a good API we are able to utilize the platform in our service to improve our customer support. We are happy the solution,Nicolas B.,4.0,"July 18, 2016",- Transparent pricing models - Outstanding customer support - Meeting customer needs - Platform up and running in less than a day - Good API that allows integration in other apps - High quality software (very few minor bugs in the system),"I really do not have a lot to complain about. - The platform is still growing and some (in my opinion) core features are still in the pipeline (July 2016) but, and I must say this, the team is doing a very good job to prioritize features based on the customer needs",Used the software for: 6-12 months,,
answerbase,Awesome customer service! Thank you! ,"From the first demo to the implementation of our instance, the AnswerBase team were super helpful and responsive. Whilst we tested most of the features during our evaluation phase, we did miss a couple of feature details and found that certain functionality wasn't working in line with our expectations. To our delight, the team responded with fix options which were tested and implemented, providing us with an even better solution than expected for our members. AND, they delivered it early! It is so refreshing to work with customer-focused professionals who really understand the importance of under-promising and over-delivering! Great working with the AnswerBase team and I would certainly recommend this platform.",Christiaan P.,4.0,"November 23, 2019","1. Easy and quick to implement and integrate with our existing platforms. The API and Zapier integrations were perfect for us. 2. Users were able to get up and going on the system with little to no training, from a front end and back end perspective. 3. Value for money. This is a product that competes with the biggest and best of them, yet a very competitive price point.","1. Admin User Interface is a little dated. However, I understand a new UI is being developed in line with how most platfroms are evolving. 2. Consistency across the content types. Again, one of these issues for us was addressed in a very quick time frame and a fully working implementation of a feature was added. 3. More a nice to have, but having an onboarding checklist to get the platform up and running would be helpful.",Executive Director,Sports,Used the software for: Less than 6 months
answerbase,"Amazing product, strong feature set, great support, affordable",Solves major needs in an efficient and cost effective manner.,Joseph C.,5.0,"October 19, 2017",I have recommended Answerbase to a few clients based on the integration and customization options that are native to Answerbase. The product is easy to use and learn and does not require significant technical ability to integrate with existing assets. The support is top notch and goes out of its way to make sure customers are happy. I rarely do product reviews but Answerbase is an amazing solution for any knowledge base application.,"There are a few customization options that would be nice, but Answerbase allows access to an advanced API allowing for limitless customization.",Online Community and Education Strategist,Used the software for: 6-12 months,
answerbase,Excellent Support ,Q&A on our website with search traffic dedicated to us. - Had a great experience with their customer service when we noticed some issues related to the Google SSL penalty. They were helpful at finding options that worked well with our budget.,Verified Reviewer,5.0,"August 16, 2018",We looked at a few options- this one was robust and fairly priced for Q&A add-ons. Also gave us the ability to white-label it.,Can be complicated setup initially- but once set up- runs like a charm.,President,Telecommunications,Used the software for: 2+ years
answerbase,"Great Support, flexible product","I am working with this product to aid a nonprofit with knowledge transfer. Even though we are not a ""premium"" customer, the support has been exceptional.",Julie S.,5.0,"July 12, 2016",Able to customize to meet our needs.,,Non-Profit Organization Management,Used the software for: 6-12 months,
answerbase,Full featured Q&A community tool ,"I would venture to say that many businesses would benefit from having a Q&A community on Answerbase.com. This type of solution works especially well for products and services where customers may need extra help in terms of using the product and understanding the scope. For some services, may it be health-related, real estate, business oriented, technology, law – anything where there are rules and laws that can be confusing — this type of community can very much help answer basic questions. From a marketing POV – a Q&A community can provide a masterful way to stay in touch with customers as well as evangelize people as experts for your product or service. Finally, Answerbase.com does a nice job of allowing you to have another outlet for optimizing your site as more people come to your website for advice and answers.",Michelle N.,5.0,"August 18, 2011",,Very new on the market,Used the software for:,,
answerbase,Answerbase helped streamline our training event by keeping people informed without interruption. ,,Jeremy P.,5.0,"October 18, 2017","The best thing about the software is that even though we wrote detailed directions for users, most were able to figure out how to use it with no instructions. The other best thing was the prompt, patient and helpful support.","We haven't found anything we like least. It took me a few tries to figure out some of the admin tools, but taking time to learn all the features/functions combined with a couple of helpline calls made the whole thing smooth.",Business Development Manager,Used the software for: Less than 6 months,
answerbase,Excellent software with excellent customer service!,"I had an excellent experience with Answerbase, the software is stunning and Answerbase team is REALLY available to help you. From the beginning they listened to my ALL my concerns and implemented the changes that I needed the most, even though I am not a big company. After I purchased the software they were still available and willing to help.",Kady C.,5.0,"July 15, 2016",I truly like everything about this software.,N\A,Owner,Information Technology and Services,Used the software for: Less than 6 months
answerbase,Very good Customer support and a good product,We are a small company in the smart home/IoT market with a range of hardware and software products. We felt that a Q&A board is the best way to address the need of customers to exchange experience and solve specific problems.,Nicolas B.,5.0,"July 20, 2016",- Easy to setup - Transparent pricing model - High quality software - Outstanding customer support,- Customization can get expensive (as with any other solution) - The platform is growing so some (what I consider) core features might be missing (07/2016) but the team is doing their best to push out features based on their customer needs.,Used the software for: 6-12 months,,
answerbase,Top notch software from a top-notch company,"The biggest benefit is the ability for customers to self-serve, as well as reporting.",Melissa D.,5.0,"December 1, 2017","The software is extremely customizable, which we really needed. Because of all of our customizations, the implementation was pretty involved, but the support staff at Lumin helped us from start to finish, answering our questions in a timely manner. He was very helpful, organized, and reliable.","There are a lot of ways you can make tweaks to the software on your own, without developer involvement, but there could be a little more out of the box.",Project Analyst,Publishing,Used the software for: 6-12 months
answerbase,Used this product to setup a KB for my volunteer organization. Pretty easy. ,,Richard C.,4.0,"February 28, 2018",Live support by email and phone was exceptional. They are receptive to input for enhancements and new features.,Online resources are sometimes not sufficient for really understanding how things work. But see above -- I've always been able to get the info I needed.,Volunteer,Used the software for: Less than 6 months,
