software_category,product_id,name,url,rating,reviews_count,description
AIOps Platforms,site24x7,Site24x7,https://www.capterra.com/p/168192/Site24x7,4.7,345,"Site24x7's AIOps platform provides DevOps & IT teams proactive insights, helping them achieve better control over their IT environments Learn more about Site24x7"
AIOps Platforms,manageengine_opmanager_plus,ManageEngine OpManager Plus,https://www.capterra.com/p/10008506/ManageEngine-OpManager-Plus,4.6,35,Automate IT operations and identify errors with OpManager Plus' AIOps-enabled network management tool. Learn more about ManageEngine OpManager Plus
AIOps Platforms,datadog,Datadog,https://www.capterra.com/p/135453/Datadog-Cloud-Monitoring,4.6,358,"Gain full visibility into your applications and infrastructure with Datadog’s real-time monitoring, security, and analytics. Learn more about Datadog"
AIOps Platforms,manageengine_opmanager,ManageEngine OpManager,https://www.capterra.com/p/251336/ManageEngine-OpManager,4.5,266,"ManageEngine OpManager a holistic network management software for performance monitoring, fault diagnosis & troubleshooting. Learn more about ManageEngine OpManager"
AIOps Platforms,splunk_enterprise,Splunk Enterprise,https://www.capterra.com/p/94317/Splunk,4.6,260,"Search, analyze, and visualize data from your entire data ecosystem. Monitor, alert, and report on your operations to drive resilience. Learn more about Splunk Enterprise"
AIOps Platforms,pagerduty,PagerDuty,https://www.capterra.com/p/125693/PagerDuty,4.6,219,"Cloud software that connects people, systems & data into a single view for visibility and actionable intelligence across operations. Learn more about PagerDuty"
AIOps Platforms,new_relic,New Relic,https://www.capterra.com/p/118128/New-Relic,4.5,195,"Unified data platform with full-stack analysis tools, empowering software teams and ideal for engineers. Learn more about New Relic"
AIOps Platforms,logicmonitor,LogicMonitor,https://www.capterra.com/p/113371/LogicMonitor,4.6,119,End-to-end observability for enterprise IT and MSPs. LogicMonitor’s fully-automated monitoring platform is cloud-first and hybrid ready Learn more about LogicMonitor
AIOps Platforms,dynatrace,Dynatrace,https://www.capterra.com/p/81932/Dynatrace,4.6,83,Dynatrace provides software intelligence to simplify cloud complexity and accelerate digital transformation. Learn more about Dynatrace
AIOps Platforms,appdynamics,AppDynamics,https://www.capterra.com/p/226975/AppDynamics,4.5,41,"AppDynamics enables enterprise digital transformations by actively monitoring, analyzing and optimizing complex applications at scale. Learn more about AppDynamics"
AIOps Platforms,better_stack,Better Stack,https://www.capterra.com/p/202150/Better-Stack,4.8,37,"Better Stack lets you see inside any stack, debug any issue, and resolve any incident. Learn more about Better Stack"
AIOps Platforms,runecast,Runecast,https://www.capterra.com/p/175477/Runecast-Analyzer,4.9,34,"Proactive Best Practice & Security Analysis for AWS, Azure, GCP, Kubernetes, VMware, Windows and Linux OS. Learn more about Runecast"
AIOps Platforms,kentik,Kentik,https://www.capterra.com/p/180073/Kentik,4.6,33,"Kentik is the network observability company. Our platform is a must-have to plan, run, and fix any network. Learn more about Kentik"
AIOps Platforms,netreo,Netreo,https://www.capterra.com/p/94449/OmniCenter,4.7,29,"Smart & Secure full stack monitoring & observability platform for large enterprise networks, infrastructures, and applications. Learn more about Netreo"
AIOps Platforms,elastic_observability,Elastic Observability,https://www.capterra.com/p/238837/Logstash,4.3,25,"Rely on the most widely deployed observability platform available, built on the proven Elastic Stack (also known as the ELK Stack) to c Learn more about Elastic Observability"
AIOps Platforms,infraon_ims,Infraon IMS,https://www.capterra.com/p/187651/Everest-IMS,4.2,25,"Infraon IMS boosts IT performance with real-time monitoring, analytics, automation, and compliance for seamless, efficient operations. Learn more about Infraon IMS"
AIOps Platforms,systrack,SysTrack,https://www.capterra.com/p/130751/SysTrack,4.9,23,SysTrack rated #1 amongst AIOps solutions for IT teams to have clear visibility into their environments and end-user experience. Learn more about SysTrack
AIOps Platforms,smythos,SmythOS,https://www.capterra.com/p/10019842/SmythOS,4.9,21,SmythOS is a no-code AI agent builder with drag-and-drop functionality that enables easy model and API integration for users. Learn more about SmythOS
AIOps Platforms,motadata_aiops,Motadata AIOps,https://www.capterra.com/p/231020/Motadata-DAP,4.7,18,Motadata AIOps is a powerful enterprise platform that helps I&O teams process and store data for better decision-making. Learn more about Motadata AIOps
AIOps Platforms,codescan,CodeScan,https://www.capterra.com/p/204478/CodeScan,4.8,14,CodeScan offers static code analysis and automated scans of Salesforce policies to strengthen code quality and data security. Learn more about CodeScan
AIOps Platforms,zenoss,Zenoss,https://www.capterra.com/p/160399/Zenoss-Service-Dynamics,4.8,14,Zenoss delivers SaaS-based full-stack monitoring and AIOps insights at any scale and is a Forrester Wave Leader for IASM. Learn more about Zenoss
AIOps Platforms,avantra,Avantra,https://www.capterra.com/p/157900/Xandria,4.7,11,AIOps & automation platform for SAP. Learn more about Avantra
AIOps Platforms,fosfor_decision_cloud,Fosfor Decision Cloud,https://www.capterra.com/p/249569/Fosfor-Refract,4.9,7,The Fosfor Decision Cloud simplifies AI for enterprises and helps them extract maximum ROI from their current data investments Learn more about Fosfor Decision Cloud
AIOps Platforms,hpe_greenlake,HPE GreenLake,https://www.capterra.com/p/208825/HPE-GreenLake,4.6,7,Transform the way you do business with one experience and one operating model across your distributed clouds Learn more about HPE GreenLake
AIOps Platforms,servicepilot,ServicePilot,https://www.capterra.com/p/132821/ServicePilot-ISM,4.4,7,"Software that provides a unified view of service delivery, availability, performance and security of IT applications. Learn more about ServicePilot"
AIOps Platforms,machine_learning_on_aws,Machine Learning on AWS,https://www.capterra.com/p/251419/Machine-Learning-on-AWS,4.7,6,Machine learning and artificial intelligence solutions from AWS that help companies analyze data and streamline business processes. Learn more about Machine Learning on AWS
AIOps Platforms,cybus_connectware,Cybus Connectware,https://www.capterra.com/p/218595/Cybus-Connectware,4.6,5,"Cybus Connectware is a centralized data hub that collects, processes and distributes industrial data of large scale enterprises. Learn more about Cybus Connectware"
AIOps Platforms,squirro,Squirro,https://www.capterra.com/p/182858/Squirro-Customer-Insights,5.0,2,"Enhance IT operations with AI-driven insights. Resolve issues, streamline processes, automate tasks, reduce downtime and more. Learn more about Squirro"
AIOps Platforms,bigpanda,BigPanda,https://www.capterra.com/p/134318/BigPanda,4.5,2,"BigPanda Event Correlation and Automation, powered by AIOps Learn more about BigPanda"
AIOps Platforms,fabrix_ai,Fabrix.ai,https://www.capterra.com/p/181644/CloudFabrix,4.5,2,"Fabrix.ai platform helps organizations streamline operations, enhance decision-making, and accelerate digital transformation through AI Learn more about Fabrix.ai"
AIOps Platforms,edge_delta,Edge Delta,https://www.capterra.com/p/266088/Edge-Delta,4.5,2,Edge Delta is a new way to do observability. We process your data as it's created and give you the freedom to route it anywhere. Learn more about Edge Delta
AIOps Platforms,dx_application_performance_management,DX Application Performance Management,https://www.capterra.com/p/171170/CA-APM,4.5,2,DX Application Performance Management better connects the digital business to its customers. Learn more about DX Application Performance Management
AIOps Platforms,moogsoft,Moogsoft,https://www.capterra.com/p/210410/Moogsoft,0.0,0,"An AIOps & Observability platform that helps businesses reduce noise, conquer alert fatigue & deliver seamless customer experience. Learn more about Moogsoft"
AIOps Platforms,aporia,Aporia,https://www.capterra.com/p/241833/Aporia,0.0,0,"Aporia is a customized MLOps observability solution that powers data science & ML teams to monitor, debug and explain their ML models. Learn more about Aporia"
AIOps Platforms,origin_137,Origin 137,https://www.capterra.com/p/10036382/Origin-137,0.0,0,"Origin 137 is an enterprise platform that enables building, deploying, and monitoring autonomous AI agents and intelligent workflows. Learn more about Origin 137"
AIOps Platforms,ativa_suite,Ativa Suite,https://www.capterra.com/p/10012856/Ativa-Suite-Automated-Assurance-and-Operations,0.0,0,"Get 360° visibility, increase efficiency, productivity, and monetization of your networks with Ativa Automated Assurance cloud plaform Learn more about Ativa Suite"
AIOps Platforms,vertesia,Vertesia,https://www.capterra.com/p/10019195/Composable-Prompts,0.0,0,Vertesia is an API-first platform for building enterprise AI/LLM applications. Learn more about Vertesia
AIOps Platforms,autointelli_aiops,Autointelli AIOps,https://www.capterra.com/p/199632/AIOps-Platform,0.0,0,"Autointelli AIOps platform combines AI and robust machine learning algorithms to help IT Operations team, Service Desk, and NOC/SOC. Learn more about Autointelli AIOps"
AIOps Platforms,sherlocks_ai,Sherlocks.ai,https://www.capterra.com/p/10033384/Sherlocks-ai,0.0,0,AIOps solution that helps businesses automate SRE operations to prevent and resolve system outages using AI-enabled tools. Learn more about Sherlocks.ai
AIOps Platforms,oicm,OICM,https://www.capterra.com/p/10035963/OICM,0.0,0,"AI cluster management and orchestration platform for managing AI workloads securely across cloud, on-premises, and air-gapped. Learn more about OICM"
AIOps Platforms,koordex,Koordex,https://www.capterra.com/p/10041413/Koordex,0.0,0,"Workflow management tool that connects to business systems to analyze data, detect issues & automate workflows across applications. Learn more about Koordex"
AIOps Platforms,abacus,Abacus,https://www.capterra.com/p/10038162/Abacus,0.0,0,"On-prem AI infrastructure tool for regulated industries such as banking, healthcare, and insurance that offers audit trails and more. Learn more about Abacus"
AIOps Platforms,ignio,ignio,https://www.capterra.com/p/10033899/ignio,0.0,0,"AI-enabled operations management software that transforms IT and business processes with AI insights, observability, and automation. Learn more about ignio"
AIOps Platforms,flywheel,Flywheel,https://www.capterra.com/p/250450/Flywheel,0.0,0,Flywheel is the pioneering medical imaging data and AI platform powering healthcare innovation through streamlined data management. Learn more about Flywheel
AIOps Platforms,solarwinds_observability,SolarWinds Observability,https://www.capterra.com/p/10005448/SolarWinds-Observability,0.0,0,SolarWinds Observability is a full-stack observability platform providing complete data visibility across different systems. Learn more about SolarWinds Observability
AIOps Platforms,fsm_aiops,FSM AIOps,https://www.capterra.com/p/10029872/FSM-AIOps,0.0,0,IT automation platform that helps businesses with full-stack observability and streamlining incident response using AI-enabled tools. Learn more about FSM AIOps
AIOps Platforms,opsramp,OpsRamp,https://www.capterra.com/p/232088/OpsRamp,0.0,0,"OpsRamp’s modern, SaaS-based AIOps platform provides enterprise IT teams and MSPs comprehensive IT operations management Learn more about OpsRamp"
AIOps Platforms,infinitfso,InfinitFSO,https://www.capterra.com/p/10030267/InfinitFSO,0.0,0,"Observability and AIOps solution that helps businesses with transaction monitoring, dimensional analysis, event correlation, and more. Learn more about InfinitFSO"
AIOps Platforms,opentext_ai_operations_management,OpenText AI Operations Management,https://www.capterra.com/p/10030803/OpenText-AI-Operations-Management,0.0,0,"AIOps solution that helps businesses with event and performance management, embedded automation, and service performance insights. Learn more about OpenText AI Operations Management"
