product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
max_ai,AnswerRocket,,Kareem M.,4.0,"December 18, 2022","It's a simple and user-friendly platform where you can ask for data and get answers in a matter of seconds, and its database is outstanding.",It would be wonderful if dashboards were automatically updated.,Student,Computer Software,Used the software for: Less than 6 months
max_ai,An answer for that,,James B.,5.0,"September 10, 2019",Answer Rocket looks great and offers a ton of flexibility in how you approach gaining insights from your data. I like how easy it was to convey the utility of the product by asking progressively harder questions and getting people engaged on new ways of looking out BI.,"It is a steep learning curve. If you don't know all the already created terms, you can easily trip on what seem like basic queries. It's also easy to get in a rut. I didn't know about a lot of the features available until I went through training for another group.",Product Manager,Financial Services,Used the software for: 1-2 years
max_ai,"Overall pleased with the ability of AR. When you make upgrades, the process needs to be smoother.","Ability to easily source key data from SAP, which help identify trends and influence key business decisions.",Andras B.,4.0,"May 8, 2017","Like the new format of the software. Once you are used to the layout, it is a much better structure. The folder system is more intuitive. Really like the dashboard concept with all the corresponding reports in tabs.","The software is still ""buggy"". There are random times when it goes down and not accessible. The last major update was a bad experience. There were several days/weeks where accessing AR was spotty at best. Improve the software upgrade process. The new dashboard is good, but make tutorial info more available to help people understand the changes when they are this significant. Provide more ability to move folders around.",Product Manager,Consumer Electronics,Used the software for: 1-2 years
max_ai,Great data analytics software!,The Arock support team is quick to respond and usually admits when it is a bug that they need to fix on their end. Overall support has been great!,Scott N.,4.0,"August 19, 2019","For a product manager or any director level, this software is critical for gaining intelligence of your customer's behaviors. If your company doesn't have a way to learn about what the customer data is telling you, Answer Rocket is a great tool. Once connected with your ERP, you can ask it to query things like customer spend per time period and sales of certain products for defined customer sets. This an amazing tool for understanding your customers behaviors and even pulling a list of customers for your marketing campaigns.","There are a few features that would still be nice to have - like a set definition for fiscal calendars and the UI has a few irritating bugs, but it doesn't affect the output data and they are usually pretty quick to resolve.",PM,Consumer Electronics,Used the software for: 2+ years
max_ai,Answer Rocket User Review,"So far Answer Rocket has been great. The customer service has been amazing and the added functionality, improvements, and reactions to feedback and requests have been excellent to see in these early stages. I'm really excited about what this tool set is growing into.",Thomas H.,4.0,"December 7, 2016",The simplicity of use and the ease of customization,"I still think some of the UI and interactions are a bit clunky or non-intuitive and while I don't know if it is even possible to improve, the wait times on some queries would be much better if they were shorter.",Art Director,Computer Games,Used the software for: 6-12 months
max_ai,Makes data analysis fun! ,"Hi-Rez Studios is a maker of free-to-play games for the Xbox One, PS/4 and PC. We collect huge volumes of data on player behaviors, both from a gameplay and purchasing perspective. Historically, we have used Tableau for reporting and data visualization. Tableau is great, but requires our marketers and game designers to either rely on data analysts to anticipate their needs with pre-built reports, or to develop strong technical skills to build the reports themselves. With AnswerRocket, we are able to empower our designers and marketers directly with the power to ask questions of the data themselves.",Stewart C.,4.0,"July 19, 2016","Allows our users to ask intuitive questions of our data Intutive for end users to learn Easy implementation Great data visualizations -- allows us to change or customize easily Connects to all our critical data sources, especially Amazon RedShift",Still early in product lifecycle. Dashboard and sharing features are still maturing.,President,Information Technology and Services,Used the software for: Less than 6 months
max_ai,Amazing Data Analytics Tools,,Verified Reviewer,5.0,"November 15, 2017","I've been using AnswerRocket for 6 months and I've had a positive experience.Good layout and structure - making it easy to navigate. Allows our users to ask intuitive questions of our data Intutive for end users to learn Easy implementation Great data visualizations -- allows us to change or customize easily Connects to all our critical data sources, especially Amazon RedShift","While there are some bugs and limitations in the software, the capabilities and user experience continue to improve. Would be great if dashboards stayed up to date in the background.",Sr. Analyst,Information Technology and Services,Used the software for: I used a free trial
max_ai,"Don't Build Your Own, Work With Awesome People","There is a somewhat rational and logical tendency in organization to approach data analysis, aggregation, and insights as platforms that should be built and managed by the organization. For the most part I think this is a good tendency, but the reality of constructing it yourself, the time required and the undoubtedly many projects it will put on hold brings a clearer perspective. This perspective will generally shed light on the need to partner with another company. There are many metrics/insights platforms out there but the product, which is great, is only part of what you pay for. Answer Rocket is full of genuinely great people who are a pleasure to work with and consistently go above and beyond. Give them a try, you won't be sorry.",Aaron L.,5.0,"December 20, 2016",,,Used the software for:,,
max_ai,AnswerRocket is Amazing,"AnswerRocket is by far the easiest reporting tool I have used. It is incredibly intuitive, quick to use and extremely helpful in the day to day work environment. Support is very quick to respond. A must have tool in your toolbox.",Matt K.,5.0,"December 6, 2016","Easy to use, fast, intuitive",Would be great if dashboards stayed up to date in the background.,Product Management Director,Electrical/Electronic Manufacturing,Used the software for: Less than 6 months
max_ai,Very powerful business intelligence tool,"I've been using AnswerRocket for 6 months and I've had a positive experience. It's a very powerful business intelligence tool with an intuitive, user-friendly query field. Customer support is great and very responsive. While there are some bugs and limitations in the software, the capabilities and user experience continue to improve.",Eric S.,4.0,"December 6, 2016",,,Used the software for:,,
max_ai,Great analytics insights tool; very intuitive.,Ability to query big database without understanding all the underlying coding; construct queries using simple language. Very intuitive.,Robert S.,5.0,"November 9, 2017",The software is easy to use. Really like the value of the insights which can be gained quickly and easily.,The phrasing for the query needs to constructed properly to ensure that the results are accurate. This sometimes involves trial and error or simply trying to rely on earlier phrase construction examples.,Analytics Consultant,Banking,Used the software for: 1-2 years
max_ai,Foster business curiosity with immediate answers!,"One of the traits SnapAV likes to foster in their employees is curiosity. Our BI group wasn't able to keep up with the business requests, with our AnswerRocket project we were able to provide business users the ability to ask natural language questions and get immediate answers about their line of business. AnswerRocket has helped drive more informed business decisions that would positively impact our bottom line.",Graham H.,5.0,"June 2, 2016",,,Director of Business Tech and Operations,Used the software for:,
max_ai,Modern Data!,The AnswerRocket team and software brings new ways for us to visualize and interact with our data. They have taken some of our most complex concepts and made them available at our fingertips with ease. Highly recommend for any company looking to make more intelligent data-driven decisions.,Rory N.,5.0,"December 7, 2016",,,Used the software for:,,
max_ai,Amazing Data Analytics Tools Supported by Responsive Experts,I used AnswerRocket frequently to sift useful insights from a mountain of data. It is one of the best tools available to me and the customer support is first rate; very responsive experts. It's hard to find anything about my experience that isn't perfect.,R. S.,5.0,"December 6, 2016",,,Used the software for:,,
max_ai,Amazing modern data tool,,Veena K.,5.0,"March 30, 2018",Its a very easy and user friendly tool where you can ask for data and you get results in seconds and its very impressive data base.,Yes it do have free trial but i fell its expensive and they need to work on keeping their data base up to date all the time.,Engineer,Used the software for: Less than 6 months,
