product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
celebros,Excellent tool for onsite merchandising and search,"Much needed tool for any ECommerce business, well priced and overall great support.",Amit K.,5.0,"October 13, 2020",Comprehensive solution for onsite merchandising driven by AI and ML with very user friendly search tool,Needs work to define final outcome so teams need to spend time testing and tweaking to get optimal results,Chief Digital Officer,Retail,Used the software for: 6-12 months
celebros,Find the Right Product,"- Creating a perfect search environment for our customers. If they want to call a fork a dinglehopper, we're able to have their profile be able to pull up forks with no issues. Unfortunately, we do not have any that want to, but we do have some interesting terms for utensils, equipment, dinnerware, cups and more.",Erica H.,4.0,"September 28, 2020","- Easy to create tailored searches for niche words. In the restaurant business certain types of kitchens will have their own words for a type of utensil or equipment and they just want to use that word to search for a replacement on our website. - Create promotion campaigns for a brand. Sometimes have a running promotion with a brand and they want a certain keyword search to land on their brand's products. Easy to set up the url to land and have custom dates. - Organizing promoted products to the top of the search. Like the promo for brands, I'm able to bring up the products that I wanted promoted. We have several items with collaborated with brands that we've put our brand on and would like to offer to our customers as the first choice of ordering. - Customer service is amazing. I got dumped with handling the search on the website and knew nothing. With the help of the team at Celebros, I've become very confident in my work.","- My biggest pet peeve will be when a name of a category is changed within Magento, then I have to remap everything. We had a intern go through our entire website and altered the category names and I had a lot of remapping work to complete. - Too many attributes/categories can lead to a weird search. Say I create an attribute for color and a category for a brand named blue, it will have strange result. It is easy to fix, but I still feel it should be able to pull both without having to make changes within Celebros.",Web Content,Restaurants,Used the software for: 2+ years
celebros,Celebros,Customer service very satisfactory so far.,Gillian F.,4.0,"October 12, 2020",Implemented this to make it easier for our customers to find what they are looking for on our website.,Not sure yet haven't had it long enough to comment,Ecommerce Manager,Retail,Used the software for: Less than 6 months
celebros,Very great system,,Nathalie L.,5.0,"June 15, 2023",the system is easy to use and integration is quick. The support is great,It was all good. The employees have always been very helpful with problems,CEO,Textiles,Used the software for: 1-2 years
celebros,Excellent Search Engine,"The search engine is very well developed and the team behind is very professional, overall a very good solution",Thomas R.,5.0,"August 3, 2022",You getting the best results also on not very accurate spelling,Easy customization of widgets would be nice,CTO,Sporting Goods,Used the software for: 2+ years
celebros,Drive Internal Site Search Online Sales,I have found the support team to be very responsive and they resolve issues quickly,Paul M.,5.0,"September 24, 2021",Easy to see which products have highest conversions Easy to spot opportunities to improve the search result experience Instant results means the shopper gets immediate feedback both visual and product title,Overall we have been very happy with selecting Celebros over multiple projects.,Director,Retail,Used the software for: 2+ years
celebros,Super fast natural language search,"We were using a Magento plugin to search directly on the database, which already had quite good results for the queries, but was very slow. Now, with Celebros, the search is mega fast and also the results are even better and the search is learning from the users, interacting with it.",Martin E.,5.0,"April 21, 2021",Speed of the search. Good interpretation of natural language search queries.,"To customize the look & feel to our needs, was a bit time consuming.",Head of IT,Printing,Used the software for: 1-2 years
celebros,Great Solution for search,They are excellent to deal with.,Dean S.,5.0,"June 15, 2020",It had all the features we needed and compared to others with similar features was relatively inexpensive.,It has a process that runs separately to update and we dont execute that real time so changes can take time to go live unless we manually update. All solutions has some kind of issue like this that we found.,CEO,Retail,Used the software for: 2+ years
celebros,increase for online sales,,Simone K.,5.0,"October 13, 2020","We have implemented Celebros over the past years into our multi-language sites (English, German and French) and both, to our B2C and B2B sites. Celebros has powered our shop’s On-Site Search, AutoComplete, Shop-Navigation, Filter and Product Recommendations and has helped us increase online sales immensely.","Handling is sometimes a bit challenging, but you get used to it.",Senior Performance Marketing manager,Apparel & Fashion,Used the software for: 2+ years
celebros,The Results Speak for Themselves,"As heavins.ie has such a vast range of products and the customers call the same products different name, Celebros Search shows us this and we can monitor and adjust our wording as needed. This means every search returns more relevant results and hence more conversions.",Paul H.,5.0,"April 9, 2021","We use Celebros Search on Heavins.ie from the start and we find it fantastic, you can see the benefits in you Google Analytics. The integration was simple as my Ecommerce provider was already using Celebros for other websites.","I haven't found any downsides, so there is nothing I dislike.",Director,Retail,Used the software for: 1-2 years
