product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
vobesoft,"Anything, Anytime, Anywhere - Least Effort & Maximum Value","In my personal life: I keep track of all things that are relevant to my health and/or are relevant to how I live my life (the appointments I make, the activities I do, the results I aim to accomplish). In my professional life: I keep track of strategies, projects, progress, invoices, payments, collaborations... the list goes on and on and on.",Frank V.,5.0,"February 3, 2019","Through the VobeCustom software I am now able to keep track of ANYTHING that I desire in both my personal and professional life. The amounts of clicks and thus time required is an absolute minimum, as the VobeCustom software allows me to configure things exactly as I like them. There are no limits.","The thing I like least about this software, is that it is not used by EVERYBODY.","Consultant, Consciousness",Management Consulting,Used the software for: 2+ years
vobesoft,"Easy to use Software, easy to connect",Vobesoft is the best what happened to me in the last 6 month!,Stefan S.,5.0,"January 6, 2022","Vobesoft is an eye-opener in ""world of CRM/XRM"" solotions. I mostly like the structure of the IT, the easyness of working and the friendly helpdesk.","There are a lot of skills in common, i would like if Vobesoft could be approved by local TAX-institutes.",Interim Manager,Wholesale,Used the software for: 6-12 months
vobesoft,Easy to use,It is easy to use and has all the information you need.,Gulsah Y.,4.0,"June 19, 2019",Vobesoft is easy to use and has a clean format,The agenda is nog adjustable with outlook.,Accountmanager,Utilities,Used the software for: 1-2 years
vobesoft,Review Pim de Boere,"With Vobesoft we have an excellent customer tracking system in-house, many options for filtering out and tracking base.",Pim D.,4.0,"January 10, 2022","Easy to use, both for the user and administrator","Link with other program, as an example the accounting program that we also work with.",Account Manager,Wholesale,Used the software for: 2+ years
vobesoft,9,Good and fast service. They understand what the compnay needs.,Wilma B.,5.0,"October 14, 2021",Only what we need is in the software and it's easy to expand. Also it's easy to use and I have acces everywhere in the world at any time.,I can't think of anything that is missing or doesn't work the way we want to do.,General Director,Warehousing,Used the software for: 2+ years
vobesoft,My experiences with the tools of Vobesoft,We used Vobe Custom for a consulting project for a major German car manufacturer. We were able to quickly explain the benefits to the local employees and they consistently implemented the tool after a short familiarization phase. This helps us to achieve sustainability for our changes and consulting services to the customer,Thomas W.,5.0,"January 26, 2019",- Fast scalability in the enterprise - Employees learn to handle it quickly - Massive increase in productivity - Easy to use - Very transparent and fair price model - Support from the provider,"- A completely German-language interface would allow even more employees to easily use Vobesoft tools. So, overall translation ist very appreciated",Vorstandsvorsitzender,Management Consulting,Used the software for: 1-2 years
vobesoft,Very easy to use and fully customisable!,"Positive. It's helped us centralise our ordering, reporting, complaints and customer account approval systems in one central place, where these were previously dealt with in a completely analogue and paper way.",Bram D.,5.0,"October 8, 2021","Easy integration, no large implementation times as the way of working speaks for itself, and fully customisable. If something you've set up previously doesn't turn out to work, you can change the way the system works yourself to suit the ways of working of your organisation.","Not yet linkable with our ERP system, but hoping to achieve this in the future.",Sales Manager,Biotechnology,Used the software for: 6-12 months
vobesoft,Easy and convinient.,Work process. Less email. Real and actual status. Good overview. Quick decisions.,Verified Reviewer,5.0,"February 9, 2019",Easy to work with. It is very effective to get the results you want.,Authorisation. You have make a real good plan to configure the authorisations,Manager ICT,Transportation/Trucking/Railroad,Used the software for: 1-2 years
vobesoft,Efficiency Effectiveness Economical Value for money,,Verified Reviewer,5.0,"January 25, 2019","User-friendly, having everything in your own hands. Once you start with it it’s spreading it’s self like a virus in a good way. Makes you think about all not automated processes that you can change using the VobeSoft",Missing some nice to have functionalities,SAP SCM Consultant,Information Services,Used the software for: 6-12 months
vobesoft,The core of all processes in one solution,We use it for the status of our car park. Connect it to the availibilty for our planning. Measure out complains to perform our quality.,frank M.,5.0,"June 19, 2019",The flexibility to use. Allmost everything you want you can registrate in VobeSoft.,At the begining it was a little bit hard to find the way in the system because of all the opertunities and features you can use.,Manager ICT,Transportation/Trucking/Railroad,Used the software for: 2+ years
vobesoft,Ease of use experience with VobeSoft,,Arjun J.,5.0,"January 6, 2023","Easy and fast software to use for workflow management, reminder system, storing documents and lead generation.",Till now I have not found any type of disadvantages of the software.,Sr. Digital Marketer,Information Technology and Services,Used the software for: Less than 6 months
