product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
comet,Comet review,,Kareem M.,4.0,"December 2, 2022",Comet is a good tool that is great in machine learning and deep learning.,"sadly, Comet software has no free trial.",student,Computer Software,Used the software for: Less than 6 months
comet,Best experiment tracking tool,It is a good software that helped me keep track of my Deep Learning experiments.,Saurabh B.,4.0,"June 19, 2022",Experiment tracking and collaboration is accessible on this platform Also easy to upload files,Limited file size upload. It throws errors for bigger file size,Student,Mechanical or Industrial Engineering,Used the software for: 2+ years
comet,Comet Review,,Brian M.,3.0,"June 7, 2022",The reports feature which enabled one to embed different panels,At first the learning process of how the software works was steep.,Data Analyst,Renewables & Environment,Used the software for: I used a free trial
comet,Great Product. Easy to Use. Becoming expensive.,"We have really enjoyed using comet. It's been really easy to setup and makes experiment tracking and gaining insight into the model's performance so much better. The support has also been really good, especially when interacting through the Slack Connect channel. Unfortunately, the business has thought about moving away from the product due to the high cost of licenses.",Verified Reviewer,4.0,"July 25, 2022",Comet is really easy to setup and provides really useful visualizations without a ton of boilerplate code. A simple log_asset() or log_metric() call can go a long way into providing insight into how the model is training or performing with comet automatically generating graphs or confusion matrices or viewing images and predictions online.,Occasionally there are inconsistencies with what is offered in the Comet UI and what is available through the python SDK. This was observed when trying to automatically upload and tag models in the model registry. The price is also becoming a factor on whether or not we move away from comet.,Data Scientist,Computer Software,Used the software for: 1-2 years
comet,Comet for DL and NLP Class,"I had several deep learning and NLP classes with Comet. This software is recommended by the class. The overall usage is pretty good, with easy setup and grading, and their intuitive interface.",Verified Reviewer,5.0,"June 6, 2022","Great plotting tool, fast speed, and detailed documentation",It is a bit hard to manage when there are too many experiment trails.,Research Assistant,Computer Hardware,Used the software for: 6-12 months
comet,"It does its job perfectly well, and you can trick it into doing many other jobs.",I needed a tool that would help me in keeping track of my experiments. I got a whole set of tools that is perfect for my ML research,Witold W.,5.0,"May 31, 2022","The ease of integration with existing pipelines and workflow is fantastic. I also love the new panels UI, it cuts down all configuration to a minimum","The only thing which annoys me is the chaos in custom view settings. Most of the time i create some view, and when I want to reuse it later i have to create a whole new copy of it, which leads to constantly increasing the number of views.",Technical assistant,Research,Used the software for: 1-2 years
comet,Great Experimentation Tracker,,Kalyan M.,4.0,"July 25, 2022","Comet ML provides an integrated platform to track experiments, log assets/metrics and also provide various visualizations. It is a great tool to maintain and reproduce models",The documentation could be improved and also the panels needs to be improved for accessibility,Data Scientist,Internet,Used the software for: 1-2 years
comet,Easy to Integrate with Machine Learning Projects,,Hiren K.,5.0,"June 4, 2022","I have explored bunch of other experimentation platform for ML projects but Comet is my most favourite tool by far as it provides easy integration with major ML frameworks such as Scikit-learn, Pytorch, Tensorflow, Keras, and so on. In addition to that, it supports multiple programming languages.",I don't feel any major features Comet is missing as most of the experimentation in ML projects already fulfilled.,Machine Learning Engineer,Information Technology and Services,Used the software for: 6-12 months
comet,Good product to track ML trainings and generated data,,Tejas R.,4.0,"June 14, 2022","Easy to use and integrate, can track data from any device, can also check from mobile phone on the go",Data organisation of old trials could be done better,Research Associate,Research,Used the software for: 6-12 months
comet,Academic researcher-Overall incredibly useful for experiment organization,,Joshua D.,5.0,"June 7, 2022","Comet is fairly easy to set up and use, and has the ability to store different types of results. The panel system makes it easy to compare across hyperparameters and the community panels are well developed.",The UI can be slow as more experiments are added an occasionally there are minor bugs which are manageable.,Ph. D student,Research,Used the software for: I used a free trial
comet,Excellent tool to keep track of experiments,Has been seamless.,Khush A.,5.0,"May 31, 2022",It is an easy alternative to replace local experiment tracking that makes it convenient to check on live/previous experiments from any device.,"Saving model can be a hassle, especially when size becomes large.",Researcher,Research,Used the software for: 6-12 months
comet,Good product,,Arnaud J.,4.0,"June 15, 2022",Ease of use and usability within a team.,Team size is limited on academic plan makes it hard to organize,student,Computer Software,Used the software for: 6-12 months
