product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
icloud,A Digital Blessing from Above,Overall I think iCloud is a very valuable and extremely useful platform and service. It's very intuitive and easy to learn and use from the start.,Trinidad F.,5.0,"March 10, 2026","Apple's iCloud is an incredible platform and I use it throughout the day every single day. I really love and appreciate that all my data and files are safe, secure, and easily accessible.",iCloud has very limited storage and regularly really encourages the user to upgrade and purchase more terabytes of storage space. It very much feels necessary since the initial free storage offered fills up fast.,Autonomous Remote Assistant,Transportation/Trucking/Railroad,Used the software for: 2+ years
icloud,"Solid, reliable but a tiny bit outdated.","I would say that for over a decade I was very happy with iCloud but in the last few years I have migrated away to other platforms. Ones that offer full end to end encryption and are not locked into one ecosystem. I still have my iCloud account, still pay the small monthly fee but I am in the process of moving my email account and folders to different platforms.",Gareth S.,5.0,"April 16, 2026","The simplicity of using iCloud is its most positive feature; very easily synchronises with all Apple devices and allows simple organising of files and folders. It also comes with the Apple reputational badge so you know it has been rigorously tested and is going to be super reliable. I have been using iCloud for nearly 15 years and I have never experienced a single bug issue or even an error message. And that is across all platforms. The price (a rolling monthly subscription) is fair and has never been hike dup out of the blue. Solid, reliable, dependable would be my descriptors for iCloud.","This is going to be such an oft-repeated grumble as to maybe dip into the realms of cliche but I’m going to go there anyway; Apple’s walled garden ecosystem makes sharing, integrating and working alongside other platforms a troublesome business. It always feels, and this is just a personal feeling, that Apple will put up as many barriers as possible to make this process annoying enough that you continue to reside in their (heavily) garden. An example; if I want to share a file stored on iCloud, through my iPad I am only given DropBox as a sharing option. It takes a multitude of clicks and questions before I can share with my Proton Drive account. That all feels a little bit 2014.",Area Inclusion Worker,Education Management,Used the software for: 2+ years
icloud,Apple tool given for iPhones ,My overall experience has been decent with iCloud. I’m glad it’s there. I just don’t like that you have to pay once you are over your storage limit.,Victoria H.,3.0,"March 10, 2026",Either can store pictures and files from your phone on iCloud and it uploads from your phone automatically.,"I feel like it does not provide enough storage and you have to pay for storage, which usually starts out cheap and then you have to get into the higher ranges later on. I also don’t like it will automatically store after you’re out of storage and you may lose pictures.",HR Director,Insurance,Used the software for: 2+ years
icloud,Easy to file share to the team and extra storage space on devices,,Tiffany B.,5.0,"February 18, 2026",iCloud is easy to integrate and use across all my devices. When I run out of space on my work phone I can easily go into the cloud and still find the files I'm looking for. I can share files with my team and the learning curve is minimal. Overall a great cloud service that offers support and is affordable.,"I have no cons, using iCloud on all of my devices makes file sharing easy and adds unlimited storage to my devices.",Owner,Construction,Used the software for: 2+ years
icloud,Great Tool for Personal and Business!,iCloud has been a great tool for my personal and business life. I appreciate knowing that it automatically backs up and is accessible anywhere.,Amber M.,5.0,"February 25, 2026","iCloud is where I store my photos and a lot of my documents for my business. After my external hard drive crashed in 2024, a friend suggested I store all my documents on iCloud so that it remains on my computer and automatically backs up. I've been doing that ever since!","It can be a pain sometimes that it automatically uploads when I am working on a project and need it to remain downloaded. I wish there were an option to ""stay downloaded"" for the next X amount of hours or something like that.",Owner,Design,Used the software for: 1-2 years
icloud,Satisfied cloud user ,All positive! Never had any issues with iCloud before and I will continue to use this as long as I can.,Olivia G.,5.0,"April 20, 2026",I love the way that I can easily store my information and share my files that I have saved and know that they are secure. It was not a learning curve at all. Since I got a phone I’ve always used Apple and I will continue to be a portal customer. I’ve never had any bugs or issues with this application. I’ve never had to reach out to customer support. I love that I can easily add my signature digitally without needing any paper. We pay for the family iCloud storage and the price for what we get is extraordinary! Love,I don’t have any concerns except it would be nice if it was a bit easier to share the storage with my family. It’s a bit complicated but I believe we have it figured out now.,Teacher,Child Day Care Services,Used the software for: 2+ years
icloud,The flexible cloud solution,"iCloud is a smart and convenient application/storage with various uses whether it is for personal use or for professional cases. Its flexible for both laptops, desktops and mobile devices alike",Verified Reviewer,5.0,"April 2, 2026",I love Iclouds ease of use and versatility for what you can store there. I specially use icloud to declutter my phone from photos and videos,The cost and pricing is not flecible. I feel they need to re-evaluate the sizes fo data that you can choose from to accomodate the needs of everyone,Project Manager,Information Technology and Services,Used the software for: 2+ years
icloud,iCloud is a great cloud service,"iCloud is great for managing my iPhone storage, file saving, and backups. It is well integrated into all services in the Apple account, which makes it of high importance.",Samer A.,4.0,"March 11, 2026","I like it the way it is integrated into my iPhone and how easy to access and store files and documents. Uploading and downloading files from it is similar to using the phone's memory drive in terms of speed and efficiency, and maybe ICloud is a better choice to keep things backed up. Having sufficiently available storage for the free subscription is great. And it has no bugs or technical issues since I started using it. In addition to that, the file sharing and sending feature is so useful.","Overall, it is doing great, but I can not find a workspace connected to it that works with the best efficiency, so, for example, the default Apple apps are useful but not with the best customisations.",Open source contributor,Computer Software,Used the software for: 2+ years
icloud,Great app must try ,Overall my experience with iCloud is top tier I would choose over anything else I especially love the digital signature,Levin W.,5.0,"March 1, 2026",What I like about iCloud it holds all my files the customer support is to tier great value for your money and file sharing is superb,I don’t dislike anything about iCloud really it is the best service to me I haven’t had any bugs or issues,Cashier,Food & Beverages,Used the software for: 1-2 years
icloud,It's a good storage method. ,Overall it has been good. I would say it has definitely gotten wayyyy better as apple has grown. They have listened to users and improved.,Verified Reviewer,5.0,"April 1, 2026",iCloud is good. It is useful for having everything in one place and I often use it for non major documents.,Seems like storage runs out fast but that could just be me not realizing how much i actually store. Not many cons overall.,Salesforce Consultant,Pharmaceuticals,Used the software for: 2+ years
