product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
kaseya_bms,Great IT Ticketing System,"Honestly its been quite good. My complaints are few. The interface is very sleek, clients get emails for tickets without too much information being thrown at them which has often helped bridge the gap for complicated issues",Jason W.,4.0,"May 19, 2021","The interface is very pleasant to the eyes, as an employee who spends the majority of his time using it, I have yet to get sick of staring at it for so long.","I don't like how something as simple as changing the status of a ticket requires a note. Often enough a client replies with a thank you message after i already closed a ticket, and i have to create an internal note like ""Status Change"" along with my status change to reclose the ticket.",IT Support,Information Technology and Services,Used the software for: 6-12 months
kaseya_bms,Kaseya BMS,,Danielle P.,4.0,"March 25, 2022","I love the dashboard on the Finance Dashboard. It tells you which contracts are ending soon and has a graph that's autogenerated to show your current month, quarter or year sales per client with percentages.","I do not like the fact you cannot VOID or edit invoices after they're generated. If there is a change management wants to makes I have to VOID and restart. I didn't have to do that will our previous program ConnectWise. Also, this program lacks many features I used previously. Instead of being able to do these things I can only submit a feature request.",Admin Asst,Information Technology and Services,Used the software for: 2+ years
kaseya_bms,"BMS is a serviceable CRM at a good price, but leaves a few things to be desired.",We saved some money over our previous CRM.,Verified Reviewer,2.0,"May 7, 2018","In a word: value. BMS is very reasonable priced CRM with some great features. It's easy to use, cloud based, and generates tickets directly from Kaseya's PSA.","We transferred from a more established CRM to Kaseya. Given the cost and the fact that we already utilized Kaseya's VSA it seemed like a natural move. That said, we've experience a few issues. The client portal isn't as polished as we'd like. Inventory tracking is bad to the point of non-functional, and lacks the ability to even transfer between locations. Feature request are not quickly addressed. The cloud service lags or drops more than we'd like. Asset management is not great. Integrations are starting to catch up , but they've been slow in coming. Even the way items are listed on tickets is cumbersome.",Director Of Technology Integration,Used the software for: 1-2 years,
kaseya_bms,Org Management,Overall business management has improved customer service with automated workflows. Better employee time management and tracking.,Lynn S.,5.0,"March 12, 2020","I have found that BMS works better then SolarWinds AutoTask. A lot less pop-ups, cleaner interface, and less micro-managing of the solution.","I would like more seamless support. It is a problem with Kaseya that I have to call a specialist on each product, and when you are integrated with their ITGlue, AuthAnvil, and their VSA product knowlageable and timely help is hard to find. It can days for a resolution.",Owner,Information Technology and Services,Used the software for: 6-12 months
kaseya_bms,Plenty of features,,Elliot H.,5.0,"May 22, 2023",The user interface is clear and easy to navigate,Poor integration with IT Glue which led to a loss of data,IT Support Engineer,Information Technology and Services,Used the software for: 6-12 months
kaseya_bms,Great software - still needs developing in the Quoting component,"Very good. The support team is amazing. They are always kind, patient and knowledgeable.",Verified Reviewer,4.0,"May 20, 2022",BMS is visibly pleasing and simple to use - you can figure out the basics without any instruction.,"The Quoting component does not integrate with the Ticketing component. Their solution seems to be to purchase a third party software such as Quotewerx. Training is another piece that seems to be lacking, other than attending Kaseya University or using the online documentation.",Director of Business Operations & Client Services,Computer & Network Security,Used the software for: 2+ years
kaseya_bms,Awesome ticketing software,,Verified Reviewer,5.0,"August 22, 2023",Our main ticketing software which is so complete in every aspect we use it. Projects and service calls are great to ensure we are actually checking the work that needs to be done.,"Workflows can get tricky and sometimes break stuff, but nothing support cannot solve",Security Analyst,Computer & Network Security,Used the software for: 2+ years
kaseya_bms,Decent ticketing solution with loose integration with Kaseya VSA,,Verified Reviewer,3.0,"March 17, 2022",BMS provides a modern interface for ticketing with powerful search and decent reporting.,"Unfortunately, BMS really falls short on its loose integration with Kaseya VSA. The integration worked sometimes, but needed a frequent ""resync"" in order to show the latest devices. I had hoped to use the integration to streamline our business processes, but the constant need to switch back and forth between BMS and VSA was cumbersome and counter-productive.",President,Computer & Network Security,Used the software for: 1-2 years
kaseya_bms,Kaseya BMS - ticketing with all of the meat and potatoes features,"For the cost, this is a great software. It does what it needs to do, ticketing. Projects can use a bit of work but they still do the job.",Derek S.,4.0,"December 24, 2019","Easy to use and find information. Easy to search, sort, and filter tickets. Client information can be organized easily. Integrates well with RMM tools and accounting software.","A bit lacking in features and can be slow at times. Little wish list items where a feature would be available in a specific screen, and other things like that.",Service Manager,Information Technology and Services,Used the software for: 1-2 years
kaseya_bms,"Not the pretiest, but perfect for MSPs like me","a way to track tickets from inception to resolution, way to track billable time for clients, way to track projects, way to track crm info",Daniel dB B.,4.0,"July 13, 2018",I love that the software does everything in one screen related to my ticket tracking system. I also like the quickbooks integration.,"It takes a few more clicks to get around inside the software, also I don't like that there isn't a mobile app. Sure the site loads on mobile, but its clunky.","Founder, CEO",Used the software for: 1-2 years,
kaseya_bms,Kaseya BMS,Used it for over a decade and it's hard to beat. It just needs smoother and better integration with its other products and acquisitions.,Jason B.,5.0,"July 20, 2021","Helps with managing endpoints, and scripting tasks",Works well when integrated properly with other kaseya products but when it goes wrong it goes really wrong.,IT Manager,Construction,Used the software for: 2+ years
kaseya_bms,Great Product to Use for IT/MSP,Great and Amazing product that can be use in Business.,Jessalyn A.,5.0,"December 8, 2023",We use the BMS Daily and we use as needed and No issue for now.,Some of the Templates does not work but we make it work.,Technical Support Manager,Information Technology and Services,Used the software for: 1-2 years
kaseya_bms,Kaseya BMS,,Stuart A.,4.0,"September 22, 2023",For a starting business BMS is very simple to setup and easy to use and just does what you need it to do.,The only negative I found was the reporting and could be easier to use,Account Manager,Information Technology and Services,Used the software for: 6-12 months
kaseya_bms,Helpdesk Coordinators review on BMS,- I find that the road map and RND were fantastic and that Kaseya is always improving their application for better workflows and productivity.,Tristan W.,4.0,"September 20, 2022",- Easy to deploy. - Its APIs are quite flexible and easy to integrate. - The licensing model works well for a SAAS application,- The project management function is not optimal for big projects. - The workflows do become quite difficult to manage as there is no way to easily view them.,Helpdesk Coordinator,Information Technology and Services,Used the software for: 2+ years
kaseya_bms,Still waiting for the page to load. Looks dated but is very functional.,I really like the ability to reset the local admin password for local PC's with this software running.,Verified Reviewer,3.0,"July 10, 2018",Price point for what you get seems reasonable. Allowed us to actively monitor all systems setup in our environment.,I found the product to be a bit slow and dated looking but it does functionally work. Found most of the features contained are better provided with many market alternatives.,Helpdesk Escalation Technician,Used the software for: 1-2 years,
kaseya_bms,"You get what you pay for, but a fraction of other PSAs",,Verified Reviewer,4.0,"March 21, 2019","One feature that stands out above other PSAs is the rich text abilities of the ticketing system. I can send ticket updates with bold, italic, numbered or bullet lists, and several other options. It's a refreshing inclusion.","Billing is a terrible, horrible, no good feature. You have to approve billing items, then create invoices, then go into each invoice and choose an invoice ""template"", then send them out to clients. There's too many silly steps.",Owner,Information Technology and Services,Used the software for: 6-12 months
kaseya_bms,Great Integrations,We continue to invest in Kaseya's stack and BMS was a pivotal piece in this. The integrations are powerful and will hopefully provide a strong value case in time savings as we move down the road using it.,Rick R.,4.0,"September 29, 2020","The software is part of an overall suite that integrate very well together. Between it, VSA and IT Glue you get down to s single pane of glass concept. Having information available from all three inside BMS is powerful and saves time. They have been developing more features and integrations on a fast cadence and we look forward to some of the new ones they roll out.",Converting from Autotask to BMS was a little bit of a challenge. We have a lot of integrations and it made the project management of our implementation difficult. We worked with the Kaseya team and got through it but the time to do so was about 2-3 times a normal roll out. Block hour contracts are really bad in BMS versus Autotask. Hopefully they will improve in the not to distant future.,President/COO,Information Technology and Services,Used the software for: Less than 6 months
kaseya_bms,Kaseya BMS- Starter PSA,"Good, for smaller 1-5 man operations it is recommended as it is simpler to configure and thus being less time consuming overall.",Kelly W.,4.0,"May 17, 2019",It is quite simple in comparison to some major players such as Autotask and Connectwise.,"It does make some attempts to offer deeper functionality such as project management, but the features are too shallow to really allow for mutil-team, multi-project management. This goes for other modules. I do like the fact that these are organic features and not added on haphazardly.",IT Manager,Information Technology and Services,Used the software for: 2+ years
kaseya_bms,Good managemante program ,"This is a good program, there are modules for everything, so you could run or company on this software only. It does not integrate with every accounting software but i do believe it work with Quickbooks.",Bianca G.,3.0,"February 15, 2018","easy to use, web based, easy deployment with support, some accounting software integration are available, not expensive.","creating custom reports and workflows can be confusing. The ticketing system works well, there are some negative point to it as to automatically updating customers, you have to remember to apply templates to tickets in order for them to be updated.",system Administrator,Information Technology and Services,Used the software for: 2+ years
kaseya_bms,A great client tool software ,,Verified Reviewer,5.0,"May 16, 2019","Kaseya is a great tool not only to manage machines, but to also maintain them. Installing an agent is a breeze, and running scripts is easy to learn. Patch machines, remote to them, push software and set security protocol all through one system",Scripting maybebturn off some people but their are great tutorials and a support team to assist you in tweaking your needs.,Director of IT,Computer Software,Used the software for: 2+ years
kaseya_bms,Excellent management tool for service desks.,Worth the investment for a medium sized service desk of 200 users.,Oliver L.,4.0,"July 31, 2018",Easily integrated into existing networking environments. We implemented this as an on-premise solution and it worked very well to service and support our service desk in their daily support needs.,The tool fell down a little in agent management and would sometimes require more administration then the team could dedicate to it.,IT Manager,Used the software for: 1-2 years,
kaseya_bms,Kaseya BMS is like a diet PSA tool,,Fred B.,4.0,"January 23, 2018",Very nice interface and workflow options. The functionality that is there is pretty good and they're adding to it all the time.,Lack of some essential functionality that many bigger MSPs may need. Support isn't that great since the product is so new for Kaseya.,Director of Managed Services,Used the software for:,
kaseya_bms,Incorporating Kaseya BMS for our business has increased the managebility of our clients.,"The primary benefits of Kseya BMS is the ability to organize our clients, track changes in the ticketing system as well as simplify our billing through one tool.",David M.,4.0,"February 8, 2018","What one of the best parts of Kaseya BMS is that is ti web based. No specific, Operating System or browser needed. This allows our technical team to work in this system anywhere anytime.",The most significant drawback seems to be the reporting and granular configuration of options. It is difficult to find a 'multi-tenant RMM tool withj this much power and every feature.,Director of Technical Services,Information Technology and Services,Used the software for: 1-2 years
kaseya_bms,Kaseya as admin application,,Thom B.,5.0,"December 6, 2018",I love the idea that we have a control on all pc in our company that installed the agent. Also the installation is not visible to users.,"We have users that experiencing an issue in speed and upon investigation, the culprit on this is Kaseya BMS.",System Admin,Telecommunications,Used the software for: 1-2 years
kaseya_bms,Best ticketing system I've used. Have used Connectwise and TigerPaw and Kaseya service desk.,Much easier to keep track of tickets efficently.,Brett P.,5.0,"June 29, 2017","Ease of use, speed of new feature request implementation, clean/modern interface, mobile interface.",Needs the ability to multiple project managers for a single project. Would be nice to have calendar view for time entry.,Senior Systems Engineer,Information Technology and Services,Used the software for: 2+ years
