product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
woorank,An Indepensible Resource,"There's been a few buggy issues on our account, but I've contacted support and they've dealt with it as quickly as they can, and kept me up to date along the way. It's an expensive investment to keep the tool compared to the huge functionality of other tools, but we couldn't work without. It's part of our SEO routine for our clients and there's no other tool that can offer quite the same service.",Rebecca C.,5.0,"January 11, 2019","The summary score at the top gives you a rating for the site, so you can prioritise client sites based on needs. The score is also easy to relate to clients and gives them context for their websites overall technical optimisation. The items on the list are all ranking factors, some large some small, and they affect the number proportionally from what I can tell. They have clear descriptions of what they are, why they matter and how to solve them - so even our non SEO team members can check things over. The white labeled reports allow us to generate a great resource for our sales team without too much time investment.","The factors it tracks don't seem to change often, even though the algo changes daily. A few bits like underscores will change your score, but are unlikely to change your rankings. They may be amending constantly in the background but from the front end it looks pretty static. I think there's been two amends in the last year.",Digital Marketing Executive SEO Specialist,Marketing and Advertising,Used the software for: 2+ years
woorank,One of the industries most experience on-page technical auditors,"I've been using Woorank for over ten years, back when their tool was a free on-page scanner. They've since expanded to including keyword tracking and competitor tracking, plus other useful features.",Justin H.,5.0,"October 1, 2021","Woorank is incredibly easy and simple to setup and start using. Just plop your domain name or URL in and boom, it's doing its thing. I appreciate how easy it is to get a quick report of critical on-page elements like title length, multiple H1 tags, etc. in one spot site-wide.","Woorank's competitor analysis features are a little lacking. You can plop three competitor URLs in but you have to know those competitors yourself. If you don't, it won't suggest possibilities. Not a deal breaker for most people, but Woorank assumes you know your business.",Copywriter,Writing and Editing,Used the software for: 2+ years
woorank,Something is wrong at WooRank,"When it works it's pretty good and it has been decent over the months prior to the keyword tool breaking down. Customer service needs to be able to share what's the issue and allow the customer to make an informed decision. Keeping a customer in the loop is the most important thing when any product goes off the rails as it affords transparency. Errors happen, and much about business can be out of our collective hands, but leaving people in the dark is not good. People can only think the worst.",Alvaro C.,2.0,"July 30, 2025",Being able to audit your site is easy. Very little learning curve as their site is fairly intuitive. I don't have an e-commerce component to my site so I don't know how the audits affect performance of the website.,"They have poor customer support and seem to no longer support keyword search tracking as it has been down since June 25th 2025 with no end in sight as to an ETA when it will be available. You'll get the standard vanilla response of ""Thank you for your patience while our R&D team works towards a resolution with the Keyword Tracking Service. I will update you as soon as any additional information is available or when there is an ETA on a resolution."" This response works for a technical issue that is taking a few days. things happen and I understand. A month is a bit much. Not being able to track the SEOs you optimize for is a bit of a deal breaker for me.",Owner,"Health, Wellness and Fitness",Used the software for: 6-12 months
woorank," Find issues, track keywords, identify opportunities & create reports.","When I first use WooRank I have found many issues on a client website. So I go through every single detail and fixed the all issues on that website after a while, the website was ranking on the Google search result page. So I have saved a lot of time by using WooRank. So from there I and my team using WooRank to some of our projects.",Chamath N.,5.0,"December 30, 2019","WooRank is not just a website auditor it will offer digital marketing insights and keyword analysis too. WooRnak crawls your website and shows the areas that you need to improve on your website. WooRank helps me to resolve some major issues that slow down the SEO process. Some awesome features that WooRank providing: Analays Website title tag, meta description and suggest improvements, find missing alt attributes, looking for mobile responsive issues and point out technical issues with SEO and web site optimization other than that WooRank has features like Keyword analysis, Backlink management, SERP ranking tracking, Page grader, Competitive analysis. Working with WooRank is very easy and fast.","The paid version of the WooRank little bit expensive, other than that I don't have any Cons to point out. WooRank is still a small tool but it does a great job.",Chief Technology Officer,Computer Software,Used the software for: 6-12 months
woorank,The most significant tool in my Quiver,My overall experience has always been phenomenal.,Abe D.,5.0,"January 13, 2019",It has the ability to analyze my clients site in a way such that if my client is a Techy he or she will understand and if not the explanation is layman enough for the non techy to understand.,"It doesn't happen often, however, sometimes the information isn't totally accurate. As an example it might say that the client doesn't have a Sitemap when in fact they do. This doesn't happen often but it does.",President,Computer Networking,Used the software for: 2+ years
woorank,WooRank is an Everyday Tool for Our Agency,,Holly C.,5.0,"January 10, 2019","I love the agency-branded easy-to-read, color-coded suggestions for improving overall marketing scores for my clients' sites, giving them an edge over their competition. Being able to compare to top competitors is so valuable when you are fighting for that top ranking spot on search engine results. I couldn't be happier.",I would love to be able to compare to a couple more competitors.,Owner - Marketing Director,Marketing and Advertising,Used the software for: 2+ years
woorank,An essential tool for both high-level and more granular SEO analysis,,Luke F.,5.0,"October 25, 2017",WooRank is one of the first tools I turn to when looking to conduct some SEO analysis on a new domain I've never worked on before. It's ease of use and really insightful insights have often been the difference between being prepared and being unprepared to dive into some exploratory work at short notice.,"I've recently seen some instances where the website grades are returned as letters on internal page crawl rather than numbers on the root domain, which is slightly confusing but hopefully it's just a bug with a fix in the pipeline",Head of SEO,Internet,Used the software for: 1-2 years
woorank,A great tool to evaluate business websites,I have been using WooRank for several years now and have found it to be very useful. I use it to analyze client websites and to point out areas that need improvement. It is easy for people to understand and well laid out. The advanced reviews are very useful because they let clients see how their web presence stacks up against their 3 biggest competitors and gives them more defined goals in terms of where they need to be to compete effectively.,Michael J.,5.0,"September 21, 2016",,,Owner,Marketing and Advertising,Used the software for: 2+ years
woorank,Love to Woo,They are a pleasure to work with and I like their product,Laurie M.,5.0,"January 10, 2019","WooRank gives a quick and accurate diagnosis of a prospect or client's SEO viability. It's easy to scan and understand, even when you are on the phone for the first time with someone, you can gauge what's a problem right away.",nothing whatsoever really like WooRank its true,President of Content Marketing Firm,Marketing and Advertising,Used the software for: 2+ years
woorank,"Easy to Use, Reliable",,Steph N.,5.0,"January 10, 2019","I really like WooRank as an overview on how well a website performs on the technical and SEO side of things. We do audits for our clients and WooRank is one of the tools I use in the audit process among others for a more well-rounded view. Our team has been using WooRank for several years and it's always been easy to use, easy to train our team, and reliable. Never had an issue.",I would like to see more details about how they score out of 100 and what it means for a site to increase their woorank score. Giving a clear direction on which areas are more important to repair than others.,Head of Digital Operations | Owner,Management Consulting,Used the software for: 2+ years
