product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
algolia,Great search experience for the end user,Positive in the sense that it's pretty flexible and allows you to roll out search functions that are way better than the native features platforms usually offer.,Alberto D.,5.0,"October 3, 2024","Great solution for enabling smart search on our help center and main website, it helped a lot with usability for the end user, and it was not too difficult to implement.","No cons, it still required our tech team to roll out (so it wasn't exactly something I could have done myself), so I guess that's a small con, but not a big deal since the implementation was easy.",Head of Marketing,Information Technology and Services,Used the software for: 1-2 years
algolia,Great Facets and Search but takes a while to setup,We wanted something to visually merchandise the site automatically based on user's preferences and best selling / in stock items. Algolia can do this really well but its taken a long time to build into Shopify and configure.,Steve R.,4.0,"July 12, 2024","Its replaced our collection pages on Shopify with very fast loading categories of products that respond quickly to filters. The sorting strategies also work well for New in and best selling, removing the need to manually merchandise categories.",Its not a straight forward setup out of the box and requires quite a bit of building into your Shopify template.,Marketing Manager,Apparel & Fashion,Used the software for: 6-12 months
algolia,Startup Program is indeed too good to be true,,Lucy Z.,1.0,"May 20, 2025","It is a search tool and we haven't experienced any downtime, though hard to say if it's that much better than its competitors. We were attracted by its Startup Program, but that hasn't delivered for us.","Algolia markets its startup program as $10,000 in Free Search & Discovery Usage, which is super attractive for pre-revenue startups and puts it ahead of its competitors. HOWEVER, what they don't tell you up front is that as soon as you're accepted into the startup program, even if it's months before you launch, the clock starts on that offer, so in practice, you really won't get $10K in value. What the startup program looked like in practice for us--we set up algolia summer 2024 as we were building our product. We launched Jan 2025, 6 months into Algolia's startup program. We've only used ~$300 in credits, yet we will lose the rest of the supposed $10K in credits next month because they only give you 1 year to use the $10K, regardless of when you actually go live. As a small, pre-revenue startup, we're now locked in to paying Algolia's expensive rates until we have the engineering bandwidth to switch, which we definitely will be switching, but I wish we had known up front because we would not have gone with Algolia and invested the time to set it up in the first place.",Cofounder,Publishing,Used the software for: 6-12 months
algolia,Algolia search works well,Overall experience has been regular. In general we needed around 2 months with 2 experienced wordpress developers to be able to implement Algolia which now works ok.,johan G.,4.0,"October 8, 2019","The clear analytics and ease to separate accounts when using multiple of them, however this comes at a high cost.",The difficulty to implement with wordpress. The high cost. The lack of flexibility when integrating with other sistems that algolia does not come out of the box for.,CTO,Luxury Goods & Jewelry,Used the software for: 6-12 months
algolia,The leading search API,I used Algolia via Firebase for our apps and we're close to make full app with it soon.,Verified Reviewer,5.0,"June 2, 2022",Very powerful and work fast just like real search engine !,Very productive for us as a developers to build full search experience in our apps.,Full Stack Developer,Computer Software,Used the software for: 6-12 months
algolia,Very easy to get started,,Survy V.,5.0,"October 25, 2021","The documentation is very well organized and so it was easy for us as a startup to add search functionality to our product. There is an official python client package, including packages for other languages.",It's a bit expensive so we'll have to evaluate at the time we want to scale.,CTO,Computer Software,Used the software for: Less than 6 months
algolia,The best search system for firestore,"Thanks to Algolia, I integrated a search system in my project made with Angular / Fire. Now I am thinking of integrating its geo-search. Hopefully, it will be as good as your search with firestore.",Alejandro Javier V.,5.0,"May 18, 2021","The best of all is the ease of integration with your project, both to the back and front, and how easy it is to build the queries.","That it does not have a pay per use as firebase does, you only have 2 options, the free account or the payment commitment, use or do not use all your operations for which you are going to pay",CEO,Computer Software,Used the software for: 2+ years
algolia,Good tool to handle your queries and get info back,"Good, but couldn't handle our big catalog.",Ricardo A.,4.0,"January 6, 2022","Worked flawlessly with the search engine and the data it compiled, it did what it had to do.","We had issues with our data, it was taking too much time to gather the product data and store it. We have over 1 million SKUs of products in 14 storefronts and it was too much for it.",Ecommerce Director,Retail,Used the software for: 1-2 years
algolia,Powerful tool for managing your search engine and optimizing results,,Ashi A.,5.0,"January 22, 2019",The flexibility it allows for managing the types of results users get for different types of products. They allow for many different attributes to control the different products will be displayed on your site. I would also commend their support team that really helped us optimize the way we've been doing things with a lot of great advice and consultation sessions,"Different variables for optimizing search results can be somewhat confusing, but their great customer support and documentation does a great job helping out when needed",Product Manager @ eMusic,Internet,Used the software for: 1-2 years
algolia,The best search tool on the market,Allowing my users and customers to see the best results regarding their search. All of this as quick as it possibly can be. Nothing - Can´t complain . I guess the fact that I can´t fully use it but I´m ok with it since my developing team has no real issue with it.,Francisco M.,5.0,"November 7, 2017",The fact that it gives our clients the most accurate results in a matter of milliseconds. Algolia continues to improve on a weekly basis and makes our website even better with every update.,,Co-Founder,Used the software for: 6-12 months,
