product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
pulseway,Low Cost RMM with Great Value,We transitioned from Labtech automate to pulseway and it's been remarkably simple to switch. The cost savings and what I find to be superior scripting automation has made pulseway my favorite RMM to date.,Corey J.,5.0,"May 30, 2019",Cost Ability to Deploy from local servers Remote Powershell/Command Prompt is a life saver The scheduled execution of Powershell/Batch Scripts Easily control windows updates,"No remote access for Mac OS The biggest con is that functions are split between the web interface, the Pulseway Remote Desktop app, and the Pulseway dashboard app, for example, you can only chat a user from the web interface and not directly from the remote desktop application, or you can only configure the customers pulseway monitor configuration from the Dashboard application.",IT Administrator,Furniture,Used the software for: 6-12 months
pulseway,Pulseway has been key. ,"We have been with Pulseway for a few years now and there is no looking back. The centralized management of company assets and resources is absolutely key in to days demographic. Pulseway has help us grow,be proactive and scalable.",Gene V.,5.0,"September 20, 2024",Ease of access. Easy integration. Reliability Great support.,Lack of integration in to Some AV software. However easily achievable. Some billing not consolidated.,Group IT Manager,Executive Office,Used the software for: 2+ years
pulseway,"Please find another company, skip this one...",,Steven W.,1.0,"September 8, 2025","I can honestly say I can not think of a single pro on this company. Pulseway has been one of the most frustrating vendors we’ve ever worked with. We originally used Pulseway RMM, but it was so unreliable that we moved to Datto RMM. We also switched from Pulseway PSA to Autotask, which is outdated but still worked better. Every time we tried to trade services, Pulseway only allowed it if it meant a higher monthly cost for us. There’s no real flexibility—it feels like the only “partnership” they offer is when it brings them more money. Even after you sign a contract, you constantly have to chase them to activate the services you’re paying for, and it takes days to get a response. The pattern is clear: once Pulseway gets your signature, customer care drops off. They don’t care about supporting you; they care about upselling you. We’re locked in until 2027, but after that we’re done. If you’re considering Pulseway, save yourself the headache. The tools are unreliable, the pricing is rigid and always increasing, and the customer service disappears once they have what they want.",,IT Manager,Automotive,Used the software for: 2+ years
pulseway,Pulseway: A Remote Management Breeze,"The overall experience has always been wonderful. I know a lot of people give bad reviews and experience regarding Kaseya with contract locks etc. As anyone would naturally would not like to be bound by contract, its their way of doing business and I respect that as they want to retain long term serious customers. I have always have a great experience talking to support and sales and they always understood my needs and were always ready for a quick call for better understanding my requirements, which is saying something in terms of support. A major shoutout to all my previous account managers and my current one [sensitive content hidden]. I have always loved our conversation, where you simply don't make it seem like a sales call rather a meaningful conversation.",Muhannad K.,5.0,"September 16, 2024",The Mobile App is years ahead of its time and I have been using Pulseway for almost 10 years. Their Support and Sales team are patient and great. Most things get resolved instantly and they listen to feedback and always have new fixes and feature ready at bay.,"Occasional cohesiveness between the webapp and mobile app. There are some rare instances that the Web App and the Mobile App function differently, whereas as an avid software user, the general stance is that there would generally be the the same experience across web and mobile. The mobile app has not been updated in terms of excessive functionality as well as looks as it still holds the same look and feel and most of the functionality from years ago. That being said, even those functionalities are ahead of its time when they were release, I hope they improve their mobile app whilst they are already improving their web app as I believe their mobile app sets them apart from other competitors. The ability to restart a PC or check its logs while being away and remote itself is nuff said. Improved notifications is also another aspect I would like to add.",CEO and Director,Computer & Network Security,Used the software for: 2+ years
pulseway,"Pulseway RMM Review: User-Friendly, Powerful, and Feature-Rich","I've been using Pulseway RMM for a couple of years now, and I can confidently say Pulseway RMM is a game-changer when it comes to remote monitoring and management. The mobile app is for me its standout feature, allowing me to monitor and manage systems administratively from anywhere with just a few taps – super convenient for on-the-go tasks! Its intuitive user interface makes it incredibly easy to navigate, even for less experienced users. I also love the seamless Bitdefender GravityZone integration, which provides solid endpoint detection and response protection without lengthy tuning at a price I couldn't turn down. However, not including graphical remote desktop control for Linux systems is a huge missed opportunity that I hope the Pulseway RMM team will remedy. Overall, Pulseway RMM has greatly streamlined our IT management, transforming our productivity. Highly recommended!",Adrian B.,4.0,"September 19, 2024","- Ease of use / Intuitive UI - Powerful, feature rich mobile app - Integration with Bitdefender GravityZone EDR",Lack of graphical remote desktop control for Linux systems,IT Specialist,Food & Beverages,Used the software for: 2+ years
pulseway,"A decent RMM product that's easy to use, and has features most ","When the product worked, it delivers a good RMM experience, albeit a bit limited compared to other option. With simplicity comes a lack of granular control.",Randy G.,3.0,"May 19, 2025","Price, features and ease of use. The product delivers most RMM features in an intuitive and easy to use fashion.","Performance and sales tactics. The website would sometimes encounter performance issues/unresponsiveness. Additionally, sales can be rather pushy.",AVP - Systems Adminitrator,Banking,Used the software for: I used a free trial
pulseway,Pulseway provides an exceptional suite of services and support.,Pulseway has become an integral and indispensable part of our company's infrastructure. Pulseway provides rock solid solutions that are well supported and continuously improved upon. We are very satisfied with the services and support we receive.,Christopher R.,5.0,"September 19, 2024","Pulseway seamlessly integrates their RMM and PSA solutions, allowing me to better track and invoice my time without any additional overhead. Pulseway's RMM has a wide variety of indispensable scripting and management tools which they are regularly enhancing and adding to. Most importantly, Pulseway has exceptional customer service. Our account manager James Norris is outstanding. James really goes the extra mile to make sure we have everything we need from assistance with sales of services, onboarding, and obtaining product support.","There is definitely a learning curve associated with the more powerful aspects of the RMM and PSA, fortunately Pulseway is very responsive to questions and provides guidance to ensure we get the most out of our services potential.",Sole Proprietor,Information Technology and Services,Used the software for: 2+ years
pulseway,Wonderfull cost friendly management engine,"I enjoy every aspect of Pulseway so far, the reporting works seamlessly",Jean-Louis W.,5.0,"September 20, 2024","All in one mangement engine, with sophisticated tools and templates. Account managers are quick to repond and are always helpful.","Some key touches can be added a bit quicker I think especially based on request for changes, some are flagged as urgent and confirmed by multiple users, however the change never seems to be implemented, either due to lack of functionality or the urgency is undervalued.",Senior Technician,Information Technology and Services,Used the software for: 2+ years
pulseway,Good Product,,Alex G.,5.0,"September 30, 2024",The palteform is really easy to use and powerfull,Would like to see SSO auth implemented,IT Manager,Entertainment,Used the software for: 2+ years
pulseway,Pulseway for the Win,"Positive - these people seem to genuinely care about delivering a product that not only works, but is easy to implement and manage. I also like the simplified licensing.",Ursula L.,5.0,"September 2, 2024","Easy to implement, easy to manage. Simplified license module, cost effective. Great support.",Missing some functionality at the moment on the network monitoring side.,IT Manager,Telecommunications,Used the software for: 2+ years
pulseway,Pulseway tool to make IT easy,We have only the best experience with pulseway and we are always learning new things. It really is a multifunctional tool that makes our work very easy.,Jaromir H.,5.0,"August 7, 2024",We use Pulseway for monitoring and remote server management. My favourite thing is that I can control the servers from my phone and in case of any problem I am informed right away and I can sort everything out before the client even notices that there is a problem. Pulseway is a great help and I couldn't imagine working without it.,"In fact this is the last change where the Pulseway app from the Microsoft store, so it stopped having some basic features like the ability to restart servers, install updates etc... I really enjoyed using the app, and I understand that as part of the progression it's moved to a web interface. But the slowdowns bother me, having to log in, enter 2FAs and such.. But still, it's a great help.",IT technician,Information Technology and Services,Used the software for: 2+ years
pulseway,A good RMM tool at a good price,"Overall it has been a good platform to use. It offers very helpful tools at a very good price. While I have my complaints about them, they are willing to listen and improve as I have had previous complaints that have been resolved.",Bryan W.,4.0,"August 2, 2024",I like that the platform is constantly improving and adding new features. They are fairly open to criticism and following through on feedback and requests.,I am not a fan of the lack of certain features on the web app that their mobile app has such as installing apps and running workflows both ad hoc. There is also a lack of dark mode on the web app. My biggest gripe though is their documentation. It feels incomplete and can be tricky finding information on a certain feature.,IT Specialist,Information Technology and Services,Used the software for: 1-2 years
pulseway,Pulseway Review,"I've used Pulseway for about 8-9 years, primarily to Monitor and Patch server, overall it easy to use and easy to setup. The Pulseway support is also quick to help in case you need them.",Nicklas E.,4.0,"September 13, 2024","Being the responsible person if an outage happens, having the Pulseway mobile application is perfect and makes the monitoring really easy.",,IT-Systemadministrator,Electrical/Electronic Manufacturing,Used the software for: 2+ years
pulseway,"No matter where I am, Pulseway can me keep our IT operations working smoothly.",Pulseway allows me to keep systems monitored around the clock and notify instantly in case of a problem. I have used it to reduce downtime by resolving problems early and monitor many endpoints without hiring an IT assistant.,Byron L.,4.0,"November 2, 2025","I cannot always be at every site where our servers and workstations are but Pulseway lets me monitor and manage systems remotely while I am far away. The mobile app is a real lifesaver, I can check alerts or even reboot the system and push updates when I am out of the office. Automation rules take over a lot of the repetitive maintenance so I can stop firefighting.","The web dashboard feels a little dated and slower when compared to others I’ve used. I’m not as intuitive with setting up custom automation scripts, I often have to dedicate several attempts to get it right. The reporting could be relatively more flexible, I’ve always wanted to build reports centered around certain clients or system groups.",Software Developer,Computer Software,Used the software for: 6-12 months
pulseway,Great service so far.,"Great so far. [sensitive content hidden], my account manager, is very responsive anytime I have questions. I have to say that I am only using maybe 25 percent of what it is capable of, but for that it is working great.",David S.,5.0,"October 4, 2024",The cost for what you are getting. For a few dollars a month per workstation you get complete monitoring and remote access.,"It doesn't support monitoring iOS devices yet though I believe they are working on that and you can still use their app on your iPad or iPhone to monitor other systems (Mac, Windows or Linux).",IP Manager,Publishing,Used the software for: 1-2 years
pulseway,Powerful RMM software,"Overall happy with Pulseway it does everything we need it to do, deploy anti-virus software, patch management etc.. It is really handy having the ability to run Powershell scripts without disturbing the end user. Sometimes I have been able to resolve issues without even remoting in by just running a PS script in the background. I'll be interested to try out the Android MDM once it's implemented, currently only works for Apple",Cameron B.,5.0,"September 10, 2024","It's easy to use and just works, I have had minimal issues and where there has been issues support has been responsive in resolving the issues.",Sometimes the remote-control software bugs out/clunky but it has gotten better in some aspects since we've been using Pulseway e.g. It now re-connects to a computer without having to start a new remote session,ICT Officer,Chemicals,Used the software for: 2+ years
pulseway,Pulseway is an essential tool in managing our multi-site research environment,Pulseway is an essential tool in managing our multi-site research environment. In the role of technical support I can discretely monitor remote systems and respond rapidly when problems arise. Automated scripts support distributing custom software components to any of our 10 robotic data collection systems. I can keep all systems consistent while supporting many different study protocols and ever evolving experimental specifications. As a data manager I am able to inspect and retrieve data sets without leaving my desk. Pulseway is an awesome tool as it has enabled me to fill two roles and still work from home half time.,Helen B.,5.0,"September 26, 2024",Automated scripts and remote monitoring of CPU and memory usage.,Interacting with the mobile app can be counterintuitive.,Data Manager and Software Developer,Higher Education,Used the software for: 1-2 years
pulseway,Pulseway provides me the tools I need to grow my MSP.,"Pulseway's overall products have a clean and easy interface to work with, and they provide more than enough hands-on training on how to use the products, either through the Pulseway Online Training or one-on-one communication with my direct Pulsway Account Manager, [sensitive content hidden].",Christopher R.,5.0,"September 25, 2024","What I like about Pulseway is the one-on-one communication with my direct point of contact, [sensitive content hidden]. [sensitive content hidden] is very knowledgeable and very easy to communicate with, allowing me to understand the different products Pulseway has to offer. Overall, I recommend Pulseway to my friends and clients.",There are no cons in my overall outlook and experience with Pulseway.,CEO,Computer Networking,Used the software for: 1-2 years
pulseway,"Efficient Remote Monitoring with Exceptional Mobile Accessibility, but Room for Advanced Feature","Ease of Use: Pulseway is praised for its clean, user-friendly interface, making it simple to navigate and set up. Even users without deep technical expertise find it accessible.",Mbuyelo B.,4.0,"September 20, 2024","Remote Monitoring and Management: It allows you to monitor systems remotely, which is helpful for technicians who need to manage devices from different locations.",Remote Control: The remote control feature is not as robust or seamless as some other tools designed specifically for remote desktop management.,IT Admin,Education Management,Used the software for: 2+ years
pulseway,Pulseway is one of the best companies we have worked with,"We wholeheartedly attribute a significant portion of our success to Pulseway and James Norris. Their comprehensive solutions, combined with exceptional support and guidance, have been transformative for our business. We are confident that our partnership with Pulseway has equipped us with the tools and resources necessary to thrive for years to come. Pulseway has not only met but exceeded our expectations, and we are genuinely excited about the future of our collaboration.",Anthony G.,5.0,"July 31, 2024","Pulseway, under the guidance of our dedicated Account Manager, James Norris, has been instrumental in our company's remarkable growth. Thanks to their solutions, we've seen a nearly $100,000 increase in new revenue in less than 6 months, a testament to their effectiveness. James consistently goes above and beyond, always available to answer calls and emails, ensuring we receive the support we need, when we need it. Their competitive pricing on services has been a significant advantage for us, allowing us to maximize our budget. Moreover, the consulting advice we've received from Pulseway has been invaluable in navigating the daily challenges faced by MSPs.","While our overall experience with Pulseway has been overwhelmingly positive, there have been occasional hiccups with integrating some of their solutions with other platforms commonly used by MSPs. However, these instances have been relatively minor and haven't significantly impacted our operations.",CEO,Information Technology and Services,Used the software for: 1-2 years
