product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
buk,Una aventura con Buk,Ha sido una experiencia increíble.Me llevo un grato recuerdo y aprendizaje. Espero que poco a poco Buk siga con más implementaciones de mejora para que nos resulte mucho más accesible y óptimo de lo que ya es .,Carla Isabel A.,5.0,"October 16, 2025","Buk me parece una plataforma totalmente didáctica y fácil de usar, ayuda bastante en el área de recursos humanos, tanto sus módulos de capacitación como su planilla de remuneraciones y cultura organizacional. El evento me encantó, la organización y actividades diversas. Bastantes souvenirs, proveedores, charlas.","Falta implementación con respecto al registro de asistencia. Detalles como horarios partidos, identificar guardias nocturnas.",Asistente de Gestión humana,"Health, Wellness and Fitness",Used the software for: 1-2 years
buk,Herramienta para conectar con la gente ,Muy buena creo que lo principal para recomendar a BUK es el trato que tiene con los clientes siempre es respetuoso y te ayudan en todo momento,Jesus B.,5.0,"November 6, 2025",Lo dinámica que puede ser la herramienta y que conecta con la gente no es una herramienta para RH es una herramienta que conecta con lo que los directivos quieren comunicar y los empleados estén enterados en tiempo y forma,Todo es por chat o por Herramientas digitales el contacto con la persona que está en la línea o atrás del teclado se vuelve fría.,DIRECTOR DE RECURSOS HUMANOS,Transportation/Trucking/Railroad,Used the software for: 6-12 months
buk,Buen Look and Feel e interfaz,"Mi experiencia general en BUK ha superado las expectativas vs lo que tenía en mente o a través de comentarios. Me quedo satisfecho con la experiencia, interfaz y funcionalidades.",Renato Alberto C.,5.0,"September 30, 2025","Me gusta que es una plataforma muy fácil de usar, super intuitiva y me ha ayudado a mejorar la experiencia a nuestros colaboradores.","No he visto algo que me haya desagradado, tal vez por ahí el tiempo de respuesta para solucionar algún inconveniente con la plataforma podría ser un poco más ágil.",Jefe de Gestión Humana,Plastics,Used the software for: 1-2 years
buk,Perfotec sas,"Es una experta inolvidable en todo que hacen ,aportan cada día más a estar en el nivel de todos los empleados",Yurany C.,5.0,"October 16, 2025",Es una empresa súper buena aprendemos cada día más sobre todas las oportunidades que dan como empresa buk,Es genial porque uno hace acompañamiento con todos y me parece súper ya que tiene el énfasis de generar impacto,Gestión humana,Mining & Metals,Used the software for: 1-2 years
buk,Buk no es solo una experiencia: son vivencias que marcan la diferencia,"Desde el primer contacto con buk, en el que les envías un correo para solicitar una cotización, la Srta. del área Comercial te brinda todos los detalles y absuelve tus dudas con una calidez que te hace sentir parte de su familia. Una vez iniciada la fase de implementación con tu ejecutiva, debo decir que la experiencia es excelente. Ella responde todas tus consultas, te guía paso a paso, y te brinda las herramientas necesarias para realizar correctamente todas las configuraciones. En el día del lanzamiento, las chicas (bukers) llegaron para acompañarnos, y la experiencia fue maravillosa y única. Llegaron con mucha energía, explicaron desde cómo descargar la app hasta cómo funciona cada módulo, y al finalizar, realizaron dinámicas llenas de sorpresas. Nos llevamos alegrías, aprendizajes y, sobre todo, el placer de compartir un gran momento en equipo.",Yuliza S.,5.0,"July 1, 2025","Las ventajas que brinda Buk son muchas, y una de las más destacadas es el proceso simplificado en la gestión de planillas y liquidaciones. Además con tan solo un clic, se generan todos los documentos que el colaborador necesita, lo que facilita enormemente el trabajo. Asimismo, sus módulos están completamente conectados, lo que hace que la generación de reportes sea muy sencilla. Incluso puedes programar que los reportes lleguen automáticamente cada mes a quien decidas.","Me gustan mucho todos sus módulos; sin embargo, me gustaría que mejoraran el proceso de utilidades, especialmente en los casos que involucran reingresos.",ASISTENTE DE NOMINAS Y ADMINISTRACION DE PERSONAL,Real Estate,Used the software for: 1-2 years
buk,Flexibilidad,La evolución desde hace 3 años con el equipo de soporte es valiosa se ve la incorporación de personas con mayor competencia y conocimiento,Lina M.,4.0,"October 16, 2025","Interaccion colaborador es tipo red social es dinamica y fresca, la capacidad y presentación de contenidos es bonita","Adaptacion a cambios legislativos, demoras en la reacción ante eventos como reforma laboral e incertidumbre del usuario",Dirección Gestión human,Transportation/Trucking/Railroad,Used the software for: 2+ years
buk,Experiencia Buk,"La atención desde el primer día que contacte con ellos, hasta el día de implementación me facilitaron información y disiparon las dudas sobre los módulos de mi interés para optimizar tiempos y una buena administración de los recursos humanos. En mi experiencia en la implementación es personalizada, guiada y bien acompañada por el equipo de asignado de Buk,",Sara A.,5.0,"November 6, 2025","Para quienes no tienen mucha experiencia en software de RR. HH. es muy fácil de usar, una gran plataforma amigable en gestión de personal.","Estamos en la implementación con el módulo de asistencia o control de incidencias y no tengo comentarios sobre lo que no me gusto, debido a que todo este tiempo de implementación mi experiencia ha sido agradable y sobre todo hemos estado apoyadas en todo el proceso.",Gerente de Recursos Humanos y Cultura Empresarial,Renewables & Environment,Used the software for: Less than 6 months
buk,Creando espacios de trabajo más felices con BUK ,"La primera aproximación a BUK puede ser, para alguien inexperto en este tipo de plataformas, poco amigable. Pero conforme entiendes la arquitectura, cómo funcionan y viven los datos en la plataforma, y cómo se relacionan los módulos, comienza a tener sentido cada paso completado. Creo que hay procesos que se pueden hacer más sencillos, y otros que están bien. Es cuestión de mirar lo que hacen las grandes compañías de redes sociales y networking y darles el giro necesario para un servicio de gestión de talento. Eso sí, mejor que otras plataformas del ramo es.",Diego Q.,5.0,"October 27, 2025","Buk me parece una plataforma robusta, en la que se puede tener mucha información centralizada, y que permite relacionar módulos (como la asistencia, evaluaciones y canales de comunicación). La mayor ventaja que veo es que no deja de actualizarse y perfeccionarse.","En algunas cosas es un poco enredado y confuso. Sin embargo, las mejoras que constantemente realizan en la plataforma la hacen poco a poco más amigable con el usuario.",Talento Humano,Restaurants,Used the software for: 6-12 months
buk,Plataforma amigable,"Mi mejor experiencia como HRBP ha sido trabajar con Buk en el día a día , fácil de usar y amigable con los colaboradores",Lukas G.,5.0,"October 9, 2025","Muy fácil de usar, una gran plataforma amigable y útil en Gestión de Personal. Existe soporte constante para que la plataforma funcione bien","nada, es muy útil . Creo que siempre mejoran cada día para no tener erres, por lo que no me disgusta nada",Magister RRHH,Mining & Metals,Used the software for: 2+ years
buk,Positivismo ,"Muy positiva, dinámica, su cultura contagia y dan ganas de imitarla. Llevar una gestión basada en la felicidad le da más sentido a las cosas que hacemos",Heydi S.,5.0,"October 16, 2025",La rapidez en la atención Las soluciones que brindan La plataforma es súper rápida Facilita la gestión,Que aún falte implementar algunas soluciones para el cálculo de nómina En algunas ocasiones no cuadran algunos números,Analista de planillas,Chemicals,Used the software for: 2+ years
