product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
genesys_cloud_cx,Genesys Cloud provides agility and continuously improves. ,We love Genesys Cloud and it's constantly improving.,Glen T.,5.0,"August 6, 2024","Genesys Cloud provides a live platform where we can take immediate action in a fast-paced environment, which is something we haven't had the ability to do in the previous telephony system we had. And the insights that it provides is invaluable.","Some metrics can be hard to find, however this space is constantly improving. Also we found calling people internally (both users having Genesys Cloud), means we are not able to retain a recording.",System Support Lead,Dairy,Used the software for: 2+ years
genesys_cloud_cx,Genesys CRM CX Makes the difference ,"Timeline of the project si half the usual timeline from other vendors. Easy to use and intuitive for users. The payback, once implemented, as a multi-channel tool is awesome.",Alejandra T.,5.0,"January 21, 2025",Fast and easy to implement. Lots of functionality and great APIs to integrate with almost anything.,Pricing is high. You must do a Business Case to evaluate ROI and TCO.,BU Regional Sales Manager,Computer & Network Security,Used the software for: Less than 6 months
genesys_cloud_cx,Expensive but worth it,"Overall using Genesys Cloud CX is very efficient, although not easy to learn. It takes some time to learn how to use it, but it is worth it.",Sherry M.,5.0,"March 12, 2026","There are many pros with Genesys Cloud CX such as having everything in one platform (phone calls, email, texting, etc). It makes helping our customers so much faster. The built in AI is always a plus!","The only cons, per se, of Genesys Cloud CX are that it was a bit difficult when first setting it up. It has taken some time to learn it. Other than that, it is one of the more expensive programs or platforms.",Executive Manager,"Leisure, Travel & Tourism",Used the software for: Less than 6 months
genesys_cloud_cx,"Effective, Clear, Useful, just a bit annoying.","Only service I have regularly used for engaging with external vendors and customers as an HR Rep. Works well, just need some quality of life changes.",Jordan M.,3.0,"August 19, 2025","Simple to use deskless calling service with the ability to forward calls and review voicemails. I enjoy that I can easily forward messages to direct members of our team for feedback as well as leave them notes. The caller ID, volume options, and interface is well done. Automatically connects to my device profile with my custom controls and settings which is a nice feature. Directory works really well and I could easily contact someone within the company if I had to.","The ringer options and customization for sounds is very minimal. I found them all to be pretty pitchy and difficult to stomach on a regular basis. There is also no way to mute or ignore a call for our team phone line. I end up just muting the entire site which is not helpful. If this was adjusted or changed, I would consider this product top-tier.",HR Generalist,Consumer Goods,Used the software for: 1-2 years
genesys_cloud_cx,Genesys Cloud make a posiyive difference in customer interactions,"Using Genesys Cloud was a nice experience, it is flexible and the real time analytics capability makes it even more enjoyable",Moe H.,4.0,"April 24, 2025",What I like the most about Genesys cloud is that it provides insights and analytics for customer's interaction on the dashboard.,"Being a cloud-native platform, internet connectivity issues occur occasionally causing downtime on chanels.",Customer Representative,Telecommunications,Used the software for: 6-12 months
genesys_cloud_cx,The best contact center I have worked with. Great for scaling up sales.,Best software for managing communication. I am happy with it and sticking with it. It provides all the support and services we needed.,Oliver R.,5.0,"June 8, 2025","Simple to use and offers first-class connectivity. Makes calling so much quick by integrating it with other platforms. Absolutely friendly customer support making the quality much better. Moreover, all the features can be managed by admin dashboard giving full control.","Now I do not have problems with this tool. However, during purchasing and launching, I needed assistance from their team just to be sure that I was doing the right thing.",Owner,Events Services,Used the software for: 2+ years
genesys_cloud_cx,Comprehensive and User-Friendly Customer Experience Solution,"The overall experience with Genesys Cloud CX is generally positive, especially for businesses looking to streamline their customer service operations. The platform’s user-friendly interface makes it easy for agents and admins to manage customer interactions across multiple channels. Its cloud-based setup allows for quick deployment and flexibility, which is ideal for businesses of all sizes, especially those with remote teams.",Janelle B.,5.0,"March 21, 2025","Genesys works well for remote teams and integrates with other systems, all while keeping costs down by removing the need for a lot of IT maintenance. The features offered is amazing","Despite its many strengths, Genesys Cloud CX has a few downsides. Some users experience a learning curve when navigating advanced features or setting up customized workflows. Additionally, while the platform offers powerful integrations, working with third-party systems can sometimes be complex or limited. For smaller businesses, the subscription fees and costs for premium features may be a bit high. Occasional system bugs or downtimes have been reported, which can disrupt operations, and support response times for non-critical issues can sometimes be slower than expected.",Supervisor,Insurance,Used the software for: 2+ years
genesys_cloud_cx,"Genesys Cloud CX Review: Agile, All-in-One CX Platform","My experience is smooth, modern UI; intuitive for basic tasks, though advanced setups need technical skill. Scalable for all business sizes. Future-proof, enterprise-grade CX hub. Ideal for digital-first brands but needs IT commitment for complex use cases.",Verified Reviewer,4.0,"July 17, 2025","This is True omnichannel (voice, chat, email, social) in one platform. AI/ML tools (predictive routing, sentiment analysis) boost efficiency. Rapid innovation with monthly updates.","I think high TCO and Advanced workflows require developer expertise. Also it's Regional Language AI - Hindi/Tamil/Marathi NLP accuracy dips vs. English, slowing vernacular customer support. Not offer pure on-prem.",Associate Leadership Team,Banking,Used the software for: 2+ years
genesys_cloud_cx,Not a bad product but support is lacking,"I have been working with Genesys software since 2008 when it was Interactive Intelligence. Overall, the product is great and easy to use but as noted before the support is where I found them lacking.",Dennis D.,4.0,"January 15, 2025",It's relatively easy to provision the system once Genesys sets it up. You can have a basic system up and running pretty quick. This is especially true if you use the voice service or a service that is easy to integrate.,Genesys support lacks in almost all aspects. It is frustrating and difficult to get answers at times.,Business Owner,Information Technology and Services,Used the software for: 2+ years
genesys_cloud_cx,Cluttered tool which can be so much better.,It is overall an ok experience could be very good with some major updates.,Verified Reviewer,3.0,"March 3, 2025","Overall features are nice with the inbuilt mute button or the amount of information it gives, like lets say we are on queue and we can see others who are on queue and for how long they are there and on what team, once we learn about all the features it is very easy to use.","The call assignment is random and not as per first come first serve while on queue, navigation is very difficult with important buttons being very small and takes time to search if u are a new user.",Associate technical support engineer,Electrical/Electronic Manufacturing,Used the software for: 6-12 months
