product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
teamsupport,"In a word, TeamSupport rocks!","Through TeamSupport's email-based ticketing system, we're able to maintain open lines of communication with our clientele and quickly resolve any issues that may arise; the software's thorough and efficient ticket templates mean we don't have to ask our customers for unnecessary details; and its straightforward configuration makes it a great help desk.",Saskia M.,5.0,"July 31, 2023",TeamSupport's strongest feature is undoubtedly its ability to supply users with options that are easy to install and maintain. It's also so easy that anyone who wants to can pick it up and run with it in only two days. This program is an improvement over the Reading Desk and its ilk since it allows for individualized setup based on the user's specific requirements.,It would be helpful if TeamSupport worked with other cloud services like Google Apps and Office 365. TeamSupport's sluggish functioning and page load times are the service's biggest flaws in my opinion. It would be really helpful to have one-click shortcuts for commonly performed activities like moving or closing tickets.,Senior Director Sales Marketing,Restaurants,Used the software for: 1-2 years
teamsupport,A Great Help Desk Solution For Business ,,Maria U.,5.0,"December 16, 2024",I like the ease of communication and offering support with TeamSupport. The software is well equipped and I like the help desk support capabilities. It is awesomely affordable.,"Well, I have used TeamSupport and no bad experience.",Customer Support Manager,Management Consulting,Used the software for: 1-2 years
teamsupport,"Do Not Use - After merger, support decreased and prices increased","We were a very happy SnapEngage client. As they tried to connect SnapEngage to TeamSupport, our support ironically declined. They do not pick up the phone and take days to respond back via email. In fact, many of the phone extensions on their emails do not work.",Andrew V.,1.0,"November 10, 2023",The live chat function worked fine and has good intuitive tools,They do not communicate timely and their business practices are awful. They raised our rates without notice and then did not allow us to get out of our contract.,President,Business Supplies and Equipment,Used the software for: 2+ years
teamsupport,I really like TeamSupport's ticket redirection features,"Having everything in one place makes it much easier to manage and sort through requests for assistance. Because of the program's compatibility with our other tools, our staff is able to maximize its efficiency when using it.",Christian P.,4.0,"August 2, 2023","Our favorite part about using TeamSupport is how it streamlines our communication with customers. By consolidating our customer service efforts, we can better meet the demands of our clients. The software's compatibility with our other resources also makes it easy to centralize the management of customer tickets, tasks, and interactions.","I recognize the value in TeamSupport, however I've run into a few issues with it. When we need to respond quickly to a client's request, it's frustrating when the UI is slow and unresponsive.",Human Resources Manager,"Health, Wellness and Fitness",Used the software for: 1-2 years
teamsupport,Inventory Management,"I personally like Team Support as it has optimized our business operations considerably. We create support tickets on this platform. We are able to track our inventory, we are able to create support tickets and keep them open till the issue is resolved. We are able to schedule email reports about the overall use of our company time and resources. We are delighted to see that Team Support is bringing new features on a periodic basis. I truly appreciate the webinars conducted by Team Support where they talk about new features and how to make best use of the software. I have acquired some interesting insights during the webinars and passed it on to my peers. Overall we like Team Support as it meets our current requirements and expectations .",Balasubramani A.,4.0,"January 14, 2020","I primarily use Team Support for Inventory Management. I like that I am able to search a terminal based on the serial number alone. It is helpful to leave a note for each terminal, I use the notes to indicate the current status of a terminal, whether it is ready to be loaned out or if it already been loaned etc. Team Support has a provision to assign an inventory item to a Customer. I find that very helpful. I like the feature where I am able to schedule the reports to be emailed to more than one email address. These reports need to be sent at particular time and day without fail. Auto scheduling the email report saves me a lot of time and complications. I also like the fact that Team Support is compatible for API Integration. We are looking to develop a centralised platform in our firm and want to be able to fetch info from Team Support for Data Analysis. This is in our pipeline and we are looking to implement this sometime in the future. In the past the upper management used to shoot us emails enquiring about the particular issue. It takes up our time to email the management back with the status of that issue. Now the upper management simply logs into team support to view and oversee the status of a ticket/issue","However, the frustrating part of Team Support is the reporting section. When I open up the inventory report, it displays a list of all the terminals I have added to the inventory and when I want to get more information on a particular terminal, I notice that I cannot click on the terminal to navigate to that terminals page. Not only that, I cannot copy the serial number of the terminal from the inventory report. This applies to pretty much all the reports. All reports are in read only format. I humbly request Team Support to make the items on the report as clickable and actionable in the future.",Technical Support Specialist,Banking,Used the software for: 6-12 months
teamsupport,"Intuitive, Useful Software Company-wide","Overall, our company has toyed with the idea of using competitors but TeamSupport has held strong as a useful solution for us whose advantages outweigh its detractors.",Tyler R.,4.0,"March 24, 2021","I like the largely intuitive interface and functionality. Creating actions (public/private) are extremely easy as is pasting in-line images, adding attachments and customizing ticket types. Once saved, the formatting of actions are ideal and translate to what the user entered. Not all other ticketing software handles it this well.","Performance/stability has certainly improved over the years and has become more reliable. Despite that, there are the odd instances of slowness or degraded performance. The reporting could be more robust and easier. The ability to create more than one new (unsaved) ticket simultaneously would be very helpful.",QA Manager,Information Technology and Services,Used the software for: 2+ years
teamsupport,TeamSupport - One solution to the problem ,Overall its expressive and much useful portal for organization and the customer,Deepak N.,5.0,"May 14, 2021","Yes, its easy to use and options are crystal clear. Easy platform to communicate with the customer via email and more collaborative to add different teams/leaderships/sale etc",Sometime TS taking much time to load the reports . When we refresh reports then the alignment of rows in the report gets blend sometimes and then unable to read. needs to refresh again,Product Support Representative III,Information Technology and Services,Used the software for: 1-2 years
teamsupport,Great Solution,"We use it as our one-stop shop for all IT service issues. We utilize a 3rd party provider for network and hardware setup type needs, but our users are now trained to simply use our internal Team Support service desk for all things IT related. We triage and forward to our 3rd party IT provider, as needed, but most things we are able to self serve from our internal IT team. Our users know that we are responding and feel like their IT needs are being serviced much quicker and more accurately the first time.",Deb L.,5.0,"May 14, 2019","Setting up Team Support for our use was generally painless. We knew that we needed a cloud-based solution that offered ""out of the box"" functionality that could grow as our needs changed. We applied the KISS concepts and have tweaked as needed. Tweaking and customization is not complex; it's very straight forward plus we were provided with great coaching along the way. We also love using the Portal and Wiki, and often refer our users to both. And our users have adopted very well for the most part.","It works. Like anything I wish for a couple of minor things. It would be nice if I didn't have to refresh at times to cause a ""read"" ticket to no longer show as ""unread"", but eh, that's no big deal in the grand scheme of things.",SAP Analyst,Consumer Goods,Used the software for: 6-12 months
teamsupport,TeamSupport Admin,"I've used TeamSupport for 4+ years across two companies. Once at a software development company and now at a logistics solutions provider. I am no longer a daily user, however I helped research solutions and implement the tool.",Nate S.,5.0,"October 17, 2019",Team Support's reporting capabilities are my favorite feature of the software. We are able to extract all metrics and KPIs needed to run an efficient customer care department.,Very long tickets can be difficult to navigate. I'd like to see a feature where you can collapse emails/actions by date to easily see a high level view a tickets history by date.,"Director, Sales & Marketing",Transportation/Trucking/Railroad,Used the software for: 2+ years
teamsupport,Livechat works great!,,Jessica B.,5.0,"November 20, 2023","I have tried other versions of livechat software, but I do think I like this one the best. The Interface is easier to use than most.",I dont really have any cons. It always works and is reliable.,SALES SUPPORT SPECIALIST,Consumer Goods,Used the software for: Less than 6 months
teamsupport,TeamSupport for the win!,Wonderful experience And extremely satisfied with my decision to use team support,Amanda T.,5.0,"May 8, 2025",This application Was extremely Navigate and utilize. Definitely a good decision to use team support,I couldn't find anything.I did not like about this application,Ceo,Real Estate,Used the software for: Less than 6 months
teamsupport,The best solution for our business,"This has been good - it was a little rocky when I was first implementing TeamSupport for another business unit in 2016-ish, where I felt we were discovering/finding things that our assigned implementer didn't know about, but working with support and with other contacts has been great!",Lane M.,4.0,"August 28, 2020","TeamSupport is a flexible and adaptable CRM solution. I have implemented it within Harris in one business unit, as well as managed/administered it within another. It is able to be customized to fit our process, and the online support portal (Customer Hub) for our clients' access is easy to use and intuitive, and can also be branded for our company (logo, color scheme, etc.).","There are a couple things, concerning reporting, that I think could be improved: 1. You can only include two tables for reporting (i.e. Customers and Addresses, or Customers and Contacts, but not Customers, Contacts and Addresses). This limits our ability to pull some of the reports we need without exporting to Excel and then manually pulling things together, or using another third-party business intelligence platform 2. Our support department is very diligent about metrics (Response times, resolution times, ticket volumes, average closed per day, etc.). I've built a solution for this within Excel, where I export a handful of reports from TeamSupport on a daily/weekly basis, and then paste in to my Excel workbook, but it would be nice to be able to see these types of metrics within TeamSupport directly, in the form of graphs, charts, etc.","Director, Client Services",Information Technology and Services,Used the software for: 2+ years
teamsupport,,"Are you in the market for a ticketing system? How about a real ticketing system that is ready to go – straight out of the box? If that isn't good enough, what if I said that there is such a system that you can also configure and customize to whichever extent that you need? You would think that the above options are wishful in the “grand design” of any ticketing system, but when it comes down to your company’s needs, what are your options? Should those options be sacrificed between the many choices today? You may have spent countless of hours on research, laborious hours on building a system, under pressure for time, and over budget on costs. When you consider the economy today, there is a lot that can be said on saving yourself from such entanglements. For those of you familiar with the above scenario, in my world and in many times over, it is said that if you choose not to decide, you've still made a choice. On the flip side, let’s just say if every one of your team members, co workers, and administrators could be satisfied with all of their needs without sacrifice, could this be the very system that you are looking to invest in? If you are looking for such a system, then look no further than TeamSupport. If it is a turnkey system with no frills and/or If you have just a little knowledge with html, implementing the support portal into your website is a snap. As a matter of fact, TeamSupport makes it extremely easy to setup your portal via i-Frame which is only one html tag. Can this get any easier? If you really want more advanced features for your portal in which your customers may find useful, Team Support offers both video and documentation support to get you there. For example, if you would really like your customers to click on a link within their email notification that could take them directly to their ticket, documentation, as well as programming scripts are also provided. Explanations on just how to implement these features within your i-Frame are also provided. That’s not all either! If you are really in the market for a secure and powerful API that is XML based – you got one! I could go on with pages and pages about the benefits, ideas, and most of all features about this API. You can access their API through .Net, PHP, JavaScript just to name a few out of the many other ways that in reality, ideas are as limitless as the universe. If you really enjoy working with these languages, your dream has just come true. Since working with TeamSupport over a two year period within in a very large company setting and watching the application grow from implementation to launch, I still continue to find new discoveries with this extremely powerful application. Of course, we cannot forget about the main course of the ticketing system itself too: Whether you have a large or small company, TeamSupport just might be what you are looking for. Your customers and clientele will also appreciate just how easy it is to submit a ticket right from your portal. You are also going to love just how easy it is to assign tickets to both individuals and groups too. Do you need specific tickets to be sent to one individual or a group? TeamSupport’s got it! How about assigning a unique email address for a specific ticket that is assigned to a group or individual? – TeamSupport’s got it! It’s all here, just waiting for you to utilize when needed. Got employees who wear several hats that need to see the same ticket? TeamSupport’s got that too! Simply assign the same person to as many groups as you need so they too can see the same ticket. Again, the possibilities are endless and the ticket feature implementation is painless as well as intuitive. Overall, it is with no doubt that TeamSupport has truly outdone and thoroughly thought through of what a ticketing system should be for today's and tomorrows corporate demand. The option range, in which you have from a simple setup to a “dream” extreme customization with their powerful API, is unmatched. If this still does not pique your interest, then get ready. The price on this “packing” system is only pennies on the dollar per month. With all of these extreme features packed into this cloud application for such a low monthly cost, it should be illegal. If you are looking to implement a ticketing system as quickly as possible, then look no further as TeamSupport is a “Turnkey” run by itself system that only requires an email shared/drop box and a quick i-Frame reference in your website. From there, you are ready to setup customers, users and user groups that set the stage to assign tickets to however you need. When choosing a ticketing system, not only should the above features matter, but the support that is behind it is just as important. From my two year experience in working with Team Support, their application is backed by one of the best and outstanding support teams. No question is too small or great. They have always come back with an answer through their ticket support, or sometimes during the most precarious of situations in which you speak to someone as real as you and who have a great interest in your success. All together, Team Support rings through and true to its name. It is a powerful system that is backed, written by and supported by those who know what a ticketing system is and should be. Don’t just rely on what I’m saying here though. Team Support offers a two week free trial. Go ahead, give yourself a chance to review this ticketing system yourself to witness the power and control that you can have over this application. Remember, a system is only backed as far as the work that is put into the system itself. To top this off, you can tell immediately that those at Team Support have put a lot of effort and thought into this powerful and rich application while at the same time backing it up with their support. Without such commitment, support and quality, revolving doors to fruitless needs and costly decisions merely break the true workings, efforts, trust and reliability of what a turnkey and powerful ticketing system should be – Team Support has made our decision easy and a worthwhile investment.",Keith C.,5.0,"October 3, 2013",,,Used the software for:,,
