product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
iadvize,Great app to earn an income!!,Excellent company to work with. Great service and awesome team,Evelyn Janeth R.,5.0,"July 25, 2019",It is easy to use and install. I have been using it for a year and I am quite happy with it. Even on the desktop version it's great!,"I have been having issues that I log out but as soon as do that I still keep receiving chats. Sometimes I find customers that have been there.for hours. Other than that, no issues",Independent sales expert,Internet,Used the software for: 1-2 years
iadvize,Iadvize service review,,aria N.,5.0,"March 18, 2025","The service/product is incredibly effective and easy to use, making it a seamless addition to our workflow. What truly stands out, though, is the dedication of their team. They worked diligently with us to identify any kinks and ensure everything was perfectly streamlined to meet our specific needs. It’s rare to find a service that not only delivers on its promises but also provides such personalized support.","At this point, I have no cons to mention.",Customer Service Manager,Consumer Goods,Used the software for: Less than 6 months
iadvize,User-friendly platform for improving customer engagement,"In summary, I have found the overall experience with iAdvize to be a good one. It is user-friendly, integrates easily, and is effective in increasing customer interaction. There is efficient customer service; however, the reports could be improved.",Sneh L.,4.0,"April 10, 2026","Easy to use , smooth integration , and strong real time customer engagement capabilities ,along with a responsive support team.",analytics and reporting features could be more detailed and customizable for better insights and performance tracking..,Software Engineer,Information Technology and Services,Used the software for: 6-12 months
iadvize,"Quick startup, lack of functionalities","For the interlocutors, have immediate access to a person without having to call: what is convenient for people abroad or who would not dare to take the phone to make a phone call.",Eva C.,2.0,"July 11, 2017",- The ability to choose the number of conversations you wish to display at the same time. - The option delete a message by clicking on the small trash - The fact of being able to see what is being written from the user. This allows us to prepare our response and be more responsive.,"- No possibility to filter the messages in the left bar. There should be a search bar to find conversations, including those that have been closed. - Have the possibility to make the bar on the left disappear automatically especially during conversations. - Have the possibility to find a closed conversation. In the case of a false manipulation, if the conversation window were about to close, be able to retrieve it. - Access the profile of our interlocutor. - When the speaker's speech is not appropriate, have a button to end the conversation with an end message and have the ability to block some users. - Pressing ""Enter"" automatically sends the message. It is more visually friendly to see an entire message rather than fragments of sentences one after the other because it seems much more indigestible. It has to go visually and it does not.",Chargée de recrutement,Used the software for: Less than 6 months,
iadvize,Perfect for small teams!,A huge shout-out to our dedicated support team. They have guided us through the process with patience and extreme attention to detail.,Katie H.,5.0,"November 26, 2024",I love how iAdvize has significantly boosted our team's productivity by taking care of routine tasks and being available 24/7. The chatbot feels like having extra teammates on board for our small team!,"The customer’s limited industry knowledge made addressing complex questions more challenging, but we quickly resolved everything!",Customer Service Supervisor,Medical Devices,Used the software for: 6-12 months
iadvize,Fantastic Service and Product,,Amy R.,5.0,"June 18, 2025",The team at iAdvize takes the time to understand your business. They're invaluable when issues arise. They have gone above and beyond to ensure the generative AI bot is working at the highest level.,"I wish their product line extended to full website search. I'm so confident of their capabilities, I'd love to see what they could do in that area.",Director of Marketing,Import and Export,Used the software for: 1-2 years
iadvize,One of the few good agencies,"The team of people were working with have shown up consistently, done what they said they were going to do, and are entirely responsive which means a lot in this day and age of companies that make it challenging to talk to human being.",Jennifer G.,5.0,"May 16, 2025","We are very pleased with the service provided by iAdvize. In an ocean of unresponsive service providers once a contract has been signed, these guys demonstrate what quality service and responsiveness should look like! On top of that are conversion rates have more than tripled with our initial experience with the chat box. We are looking forward to more of what this system will do once it has more proliferation on our website. I highly recommend both the people behind this and the AI technology!",Probably the only thing I would say that I like least is that it isn't free! That said it's a very fair fee for the service and quality care we're getting!,Founder and CEO,Food & Beverages,Used the software for: Less than 6 months
iadvize,Seamless Experience with Exceptional Support,"My experience with iAdvize has been overwhelmingly positive. The platform is user-friendly and efficient, and the level of support provided—both during onboarding and ongoing use—sets it apart. While certain integrations could be improved, the overall value and performance make iAdvize a strong choice.",Rafal K.,5.0,"March 6, 2025","iAdvize is incredibly easy to use and delivers great performance. The onboarding support is excellent, making setup smooth, and their ongoing support is truly best-in-class.","Some integrations don’t function as seamlessly as expected, which can require additional troubleshooting.",CEO,Retail,Used the software for: 6-12 months
iadvize,Great growing company,"Very happy, especially with service and support.",Colleen D.,4.0,"January 2, 2025",Good value for the price paid. Helps us get better qualified leads to our human reps while AI handles simpler requests. What we like most is the very hands-on support.,"Still somewhat new, so sometimes new features are in beta, not a con just an area that's growing, improving.",Manager,Business Supplies and Equipment,Used the software for: 6-12 months
iadvize,The best live chat for e-commerce !,,Verified Reviewer,5.0,"February 16, 2022",Easy to setup Great reporting and dashboard,Chatbox UX interface Mobile experience,Responsable projets digitaux & Innovation,Cosmetics,Used the software for: 2+ years
