product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
helpshift,Effective Ticketing Software for Chats,We changed from Zendesk to Helpshift and must admit that it would've been the experience to stay given the features and functionalities were very similar at the exception of the really goo chat features that HelpShift includes.,Fabiana H.,5.0,"February 20, 2020",The macros and shortcuts surely improve an agent's productivity. Creating several different views and queues that users have access improves the tier distribution. Their In App messaging is a life saver and extremely polished.,"Microsoft PowerBI as their reporting system was very hard to work with. If you're not on the enterprise plan with the customer support fee, there's no way you're going to find any help or online resources that are helpful to answer your question.",Learning and Development Associate,Outsourcing/Offshoring,Used the software for: 1-2 years
helpshift,Review as a Team leader,Efficient,Nikhilesh C.,4.0,"August 20, 2021",Ease of use Can create different types of views as per the requirement Reports and analysis,Can't export to tickets in excel Slow while assigning tickets in bulk,Team Lead,Information Technology and Services,Used the software for: 1-2 years
helpshift,"Good platfom to reply Mobile app support tickets, but it lacks features.","It does the basic job of getting a ticket and responding, splitting incoming tickets into queues, even classifying it with tags, but don't expect a fully developed solution like Zendesk. Helpshift is just no there yet.",Marcio Hoerlle L.,3.0,"October 16, 2018",The feature so far is the cod you can inject in your app to query the remote mobile device hardware and software spec that helps a lot when troubleshooting tickets received.,"it totally lacks a module do some BI number crunching providing basic information like, how much time an agent spent on a ticket ? What's the agent RPH ? there are no statistics at all to help managers to improve the service quality.",3rd party - Lead/T2 Product Support,Internet,Used the software for: 2+ years
helpshift,"Artificial intelligence is the future,so is Helpshift.","Helpshift enable my organization communicate with customers more efficiently.While also assisting customers find answers to their queries and concerns faster ,without always needing to reach out to the customer service team.",Abimbola K.,4.0,"September 6, 2018","In a period when it seems companies are forgetting how to build intuitive user dashboards, I am very impressed with how intuitive the Helpshift user dashboard is,therefore making it easier to use this great product. Its ease of use has saved us important resource such as time, allowing us train new staffs on how to use Helpshift easily in a matter of hours as against days or weeks ; which is the case with most of the other software we use . Very importantly too, I love the quality of support offered my team by the Helpshift customer service desk..","We have used this for less than a six month period,however I have been satisfied with the quality of service so far.",Customer Support Team Lead,Entertainment,Used the software for: Less than 6 months
helpshift,Customer facing first,HelpShift has been a paradigm shift in terms of quality and up to date support for our users. Easily updatable FAQs and in-game support has been really well received by our players. Engagement is high and the easily searchable FAQs have been extremely helpful for self service support.,Richard K.,4.0,"March 27, 2017","Helpshift is a great user experience, and integrates easily with our products. The easily updatable FAQs have been a massive win for me over other competing products.",The analytics are thin and not quite usable. Management of user roles is extremely limited and messy (not able to add admins to groups). Views are a nightmare to manage as an admin and its far to easy to break them.,Player experience lead,Computer Games,Used the software for: 2+ years
helpshift,Chasing bugs in the Helpshift platform,Pain.,Verified Reviewer,1.0,"October 9, 2018","Quite easy to set up, covers basic needs for customer care solution","On iOS, using Helpshift is pain (from developer perspective). Lot of issues, updates break stuff. Old Objective-C based code-base. HelpshiftCore.install breaks application delegate methods. For example, deep linking started working after removing Helpshift. So the SDK is doing some crazy stuff under the hood.",Senior iOS Developer,Consumer Electronics,Used the software for: 2+ years
helpshift,Right Tool for Customer Relationship Services,For localized Customer Relationship Management it is the one solid product can give you what you want. It also eases to use.,Verified Reviewer,3.0,"May 3, 2020","Easy to plug into your app, and I like that it’s supporting attach screenshots which are very important for CRM. The dashboard also provides the feature for localizing your FQAs for users which is quite powerful.","If you’re using Helpshift for your mobile apps, SDK upgrades may need users permissions mostly for Android and iOS platforms. Other than that Customer Support of Helpshift is very quick to respond when you need it.",QA Manager,Computer Games,Used the software for: 6-12 months
helpshift,Best support ticket sdk ,Everyday some of our millions of players easily use this system to share their problems. So we can focus on improving our games.,Emre Y.,5.0,"October 29, 2023",Integration with unity and configuration of notifaction and app settings are very easy. Also offline faq feaure is very good.,We want to update current sdk to new version which named SDK X to use new features but new one doesn’t have offline faq feature.,Lead Software Engineer,Computer Games,Used the software for: 2+ years
helpshift,Advanced Chat Portal to use,"Easy accessibility, Advanced Chat Portal, Easy Chat Transfers, Agent Tag Routing, Knowledge Database Integration. Multiple Widgets.",Peeyush R.,5.0,"April 1, 2017","No Ugly Pop-Up, Persistent Chat, Chat transcripts, More competent service, Instant feedback,","Not great on mobile platforms, he user interface and some of the user experience design can have some, let's say, interesting glitches. However, none of these problems affect security.",Senior Specialist,Information Technology and Services,Used the software for: 2+ years
helpshift,Helpshift provides easy customer support at a cost,,Erin L.,4.0,"February 6, 2018",The best feature of this CRM is their FAQ capability for mobile apps. It wildly narrows down your customer ticket count to those who really can't self-serve. Their tags and segmenting options help to create a super-automated customer support machine.,"The price was high for a service dedicated solely to customer support. We had to contact support several times during set up, but they were helpful. Integration was the hardest part.",Marketing Manager,Hospitality,Used the software for: 6-12 months
helpshift,Atendimento ao Cliente ,"Foi uma boa plataforma para conseguir desempenhar meu papel como CX, ajudando os nossos clientes da melhor forma possível, apesar de apresentar alguns erros frequentes a facilidade ajudava a driblar eles.",Verified Reviewer,3.0,"March 16, 2022",É um software simples de ser usado para o atendimento ao cliente e sua compatibilidade com as aplicações do Google ajuda no dia a dia.,"Apresenta muitas instabilidades e erros durante, muitos deles que interferem diretamente na experiência do cliente no atendimento.",Analista de Produto,Banking,Used the software for: 1-2 years
helpshift,Helpshift has improved our support significantly,"The service itself is of good level, especially the integration in the game is of good value. Also the different tag options make it easy to prioritize the answering of the issues. The only disadvantage of Helpshift so far was slow response to a significant issue on iOS and the difficult negotiations about renewing the contract whereby the price was increased in a non logical way. In the end this was resolved.",Marcel P.,4.0,"March 27, 2017",Easy to use in the game and quite easy integration,,Product Owner,Entertainment,Used the software for: 1-2 years
helpshift,Dragon Friends,"Helpshift help us to solve our CS problem immediatly. But we want to add more usefull functions. For example, we want to count numberof CS e-mail each title too.",Eden J.,5.0,"April 1, 2017",,,Service PM,Entertainment,Used the software for: 2+ years
helpshift,Exceptional Customer Service Platform!,"Helpshift helps our CS team's job easy breezy! Probably the most efficient way to reach our players, answer their queries, updates and event announcements. Their own customer service is also reliable and indeed helpful. Here's to one great customer experience- from ours to you! Cheers, Helpshift!",Monette P.,5.0,"March 27, 2017",,,CS Manager,Publishing,Used the software for: 1-2 years
