product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
leapsome,Leapsome is characterized by its simplicity and user-oriented design,,Khallyl A.,5.0,"March 10, 2023",It's amazing how easy yet impactful it is to monitor employee performance and interact with individuals in you network.,"Up until now, everything has been smooth sailing and I haven't encountered any problems while using it.",Data Specialist,Marketing and Advertising,Used the software for: Less than 6 months
leapsome,AI powered employment ,As per the price it is one of the best software. It is available in many languages. Easy to set up.,Kinjal V.,4.0,"May 7, 2025","AI powered platforms that automate and interconnect all HR processes with leapsome flexible, design to drive growth. Cheaper",Leapsome provide AI platform that why customers didn’t get the vibe that they want like face to face interaction in HR process.,Health care Assistant,"Health, Wellness and Fitness",Used the software for: 1-2 years
leapsome,Beautiful interface,I am using it every few month whenever we have a planned round of reviews. The system is simple to understand and the overview of past reviews is great,Adele L.,3.0,"March 31, 2025","I liked the layout the most: great UI UX design, very intuitive user experience.","It seams like you cannot personalise your task reminder emails (when, how often, etc)",Designer,Apparel & Fashion,Used the software for: 6-12 months
leapsome,The B.O.A.T AND G.O.A.T PLATFORM FOR KEEPING MANAGERS UPDATED,It has been a great experience and it is easy to update my manager on our wins and on the losses,Bramwel M.,5.0,"December 13, 2024","The user interface is on top notch It is easy to use It is cost effective It has made our work in the company easy to document feedback with employees Very good customization of survey options The software aims to intergrate everything related with performance,engagement and career management",Theres nothing really to dislike about leapsome it is sincerely the best,Food and beverage attendant,Food & Beverages,Used the software for: 1-2 years
leapsome,A comprehensive platform for performance management and employee growth,"Leapsome is an excellent choice for companies (medium to large size) that are looking to improve the performance management, employee development and engagement. It stands out for its comprehensive feature set, ease of use and ability to drive culture of continuous feedback and growth.",Moustafa A.,5.0,"December 24, 2024","Leapsome's performance management tools are one of the key strengths about the product, it allows for setting a personalized objectives and key results and regular check-ins. The tools are designed to ensure employees receive continuous feedback and be able to track the progress of the goals. Leapcome also enables the enterprise to implement L&D strategies very effectively, with the individual development plans and goal tracking features, it empowers the employees to take charge of their career growth. The customization and Reporting are great options in Leapsome that allows the enterprise to adapt the platform to fit our specific needs in every department.","The pricing is higher compared to other platforms in the market, especially if the enterprise would need to have advanced features, then this will have a huge impact on the total pricing structure. The platform is generally easy to use, however for some departments we noticed that not all the employees were able to fully utilize all of its features.",IT Manager,Retail,Used the software for: 1-2 years
leapsome,Handmade Jewelry ,My overall experience was great would highly recommend it to friends,Judy H.,5.0,"May 12, 2025",Very simple and easy to use the instructions was very easy to understand,The loading of the was very slow at uploading customers support was slow,Owner,Apparel & Fashion,Used the software for: I used a free trial
leapsome,User-Friendly Interface and Great Support,"What really captivates me is its robust assemblage of software functions. Chief among these is the goal-setting module. If you want your objectives to align seamlessly with those of your teams and organization, then you need to set up not just a set of clear goals but also a conversation around those goals.",ady haris A.,4.0,"December 25, 2024",Leapsome's standout quality is its user-friendly interface.,"A couple of weaknesses could be mentioned, perhaps—the learning curve and the limited mobile app consultation—but I think it’s safe to call Leapsome a powerful platform for something I like to think more than just a few companies at this point are aspiring to: A culture of continuous improvement, a more engaged workforce, and as some of our friends from Leapsome might put it, “substantial benefits when implemented thoughtfully.”",self employed,E-Learning,Used the software for: I used a free trial
leapsome,Leapsome review,,Michal P.,4.0,"May 8, 2025",The tool uses AI to help with the management of employees. The AI insight helps to fulfill the need for using a product with AI built into it.,"The UI is modern looking, however I find it a bit difficult to locate the required data. Overall it takes me a little too much time to complete the required tasks.",Software Engineer,Accounting,Used the software for: Less than 6 months
leapsome,A helpful HR Platform ,very good but would not recommend for smaller companies. Better for mid to large companies that have to manage the performance and do training,Kim C.,4.0,"April 23, 2025",simple to use/ease of use is number one. helps with new hire set up and onboarding. helps with performance management,some times overwhelming as to what it can do that you do not really use. like a washing machine with too many features,CFO,Marketing and Advertising,Used the software for: 6-12 months
leapsome,Leapsome review,Customer support is quick and best solution for employees.,Nisha P.,5.0,"May 12, 2025","Flexibility and Customization: Leapsome offers a range of features, some users feel there's room for more customization in areas like OKR configurations and automated messaging.",Integration is limited: I have noted that Leapsome's integration with other programs is limited.,BDE,Information Technology and Services,Used the software for: I used a free trial
leapsome,Great HR software ,It’s been a great experience it’s simple to use and inexpensive,Daniel P.,5.0,"May 11, 2025","It’s been a excellent tool for all my HR team, all in one software",It doesn’t have many tools that other platforms offer,Director,Photography,Used the software for: Less than 6 months
leapsome,A Comprehensive Tool with Room for Improvement,,sasank A.,4.0,"May 12, 2025","One of the standout features of Leapsome is its comprehensive performance management system, which seamlessly integrates continuous feedback, performance reviews, and goal setting to align individual performance with company objectives",initial setup and customization of Leapsome can be time-consuming and may require a significant amount of effort to tailor the platform to specific organizational needs,Network Engineer,Computer Hardware,Used the software for: I used a free trial
leapsome,Leapsome Learnsome,I interacted with this software when I worked as a representative.,Alicia P.,3.0,"January 3, 2025",The database offers many modules and it is very user-friendly.,It takes a while to do the initial setup.,Receptionist,Government Administration,Used the software for: 1-2 years
leapsome,Really good for Employee evaluation and appraisals,,Anjum T.,4.0,"September 23, 2024","Tracks the progress, onboardings and employee development really good.",I think it has very limited functions and can be improved,BI Engineer,Information Technology and Services,Used the software for: 6-12 months
leapsome, Running review cycles with Leapsome is much smoother than before – and now our employees are actual,"We were surprised by how dynamic the platform is, encouraging mutual feedback and review best practices - clearly it’s much more than just a way to digitise administrative processes. The Leapsome team was consistently supportive throughout, and with their guidance we managed to transfer all our paperwork and processes into the system successfully. Reassuringly we could rely on a single contact person who was always there to help. Because the launch of our new performance review process using Leapsome was so helpful we’re now looking to use further features like Goals, Instant Feedback and 1-on-1 Meetings. We also plan to roll out the platform more widely, bringing it to our branches in other countries.",Giorgia F.,5.0,"March 16, 2020","Leapsome is easy to use and sophisticated with its capabilities. You can set up review cycles super quickly using their best-practice templates, and because it’s always clear to the review participants who is submitting answers and when, employees feel a lot more involved than they did under our previous system (which was one-sided and didn’t encourage reviewees to give much input). Now that employees have to do a self-assessment before receiving a review talk, our participation rate has shot up to 100%. The review answers themselves can be framed numerically or as text, which is great because it means we get a deeper understanding of both individual reviews and each review cycle as a whole. Unlike with our old system, Leapsome gives us a way to view the data in lots of different ways with their analytics features.","To be honest, we didn’t encounter the cons we’d anticipated! Some felt reluctant to change our old HR system, which had been in place since around 2000, and as part of the HR team, I wondered if Leapsome would just overcomplicate a manual system I was familiar with. To our relief, it wasn’t difficult to use Leapsome at all! Our existing employees are very happy with the platform and all our new hires start using it with ease.",Office Manager,Investment Banking,Used the software for: 1-2 years
leapsome,Easy to use platform that has helped us build structured feedback processes for professional develop,"Our experience with Leapsome has been excellent. The launch and rollout of the platform was really straightforward thanks to the Personio integration and the easy to follow set up guides. The reaction has been overwhelmingly positive and the platform was well received by everyone in the company. With Leapsome, we now have a platform in place to run scalable people management processes to support our continued growth.",Jeron B.,5.0,"December 17, 2019",Leapsome has many options for customisation when setting up the platform and the different processes. The UX is great and I was easily able to set up our 360-degree performance reviews and employee engagement surveys myself without any additional support. Rolling out new performance management processes with Leapsome has meant that our employees now get the feedback they need for their professional development and we’re able to measure the impact of these changes. We’ve already seen an improvement in some of the key employee engagement metrics since the launch.,I haven’t found anything to be a problem. The platform is constantly improving and getting better so there are always new features being added that I’m looking forward to exploring.,Head of People & Organisation,Computer Software,Used the software for: 6-12 months
leapsome,Global Manager Use,I have been using Leapsome for almost 6 months and it has become a valuable resource in my work day.,Richard W.,4.0,"August 16, 2022",The ease of use and integration with my Google calendar and Google mail.,"When my calendar changes, the changes sometimes don't catch up until the next day.",Business Resiliency,Computer Games,Used the software for: 6-12 months
leapsome,Performance Review Powerhouse,"Fantastic overall, great tool!",Venkat A.,5.0,"August 16, 2022",Ease of usage is brilliant and employees connect easily as well.,UI can be a bit more enriching to attract gen Z's,Engineering Director,Banking,Used the software for: 2+ years
leapsome,Run from this company ,,Verified Reviewer,2.0,"April 23, 2024","Surveys, Reviews, and performance evaluations for tutors.","Unfair terms presented for renewal. Beat around the bush to reduce from 100 licenses to 30 licenses, since we are only using about 14. It is unfair because we won't be using it for a whole 3 months during the summer and do not know the certainty of the next school year. Made us lock into another contract without letting us know of a renewal for a whole year. Waste of money.",COS,Education Management,Used the software for: 1-2 years
leapsome,leapsome review,,Carlyn S.,5.0,"August 22, 2022","It is user friendly, easy to access and a huge benefit to my day to day tasks.",There is nothing that I can fault about the product.,Team Leader,Facilities Services,Used the software for: 6-12 months
leapsome,Good experience with leapsome,Very good to use ui easy to get everyone in especially using google sso function,Ara H.,5.0,"February 14, 2024",Easy to use ui and very good customization of survey options,Free trial is too short to understand if its needed for your company or not,Devops,Computer Software,Used the software for: 6-12 months
leapsome,Amazing!,,Verified Reviewer,5.0,"August 12, 2022",It is easy to use it although I use this monthly.,For the moment i am not consider that something is wrong.,Payroll Specialist,Telecommunications,Used the software for: 1-2 years
leapsome,Amazing Performance Management System,,Richa R.,5.0,"August 17, 2022",Ease of browsing feedbacks. Easy management and impressive UI.,Nothing as such that I disliked. So far it is good.,Backend Engineer,Computer Software,Used the software for: 1-2 years
leapsome,Quality Product.,"It has gone well so far. Clear guidelines, ease of access and use. No complaints.",Shaq S.,5.0,"August 17, 2022",I enjoy that I can interact with my reviews in a modern way. My reviews are more like dialogue encouraging improvement rather than a data dump of my performance.,There are no missing features from my purview.,Customer Support Agent,Outsourcing/Offshoring,Used the software for: Less than 6 months
leapsome,Innovative,It is great.,Heckle L.,5.0,"August 18, 2022",It keeps me on track with all my scores cards.,When you open the app or program it is understandable but less appealing to my eyes.,support,Hospital & Health Care,Used the software for: Less than 6 months
