product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
comidor,Transformation of Sales Processes,"Comidor's low-code platform significantly improved our company's sales workflows. This transformation has unlocked new levels of efficiency, making processes smoother and more streamlined. The automation of several critical processes such as lead generation, lead management, campaign tracking, and deal processing has likely reduced manual workload and increased accuracy and speed in handling these tasks. After receiving training from the Comidor team, we found it very easy to build new applications independently. (no coding experience at all) This indicates that the platform is user-friendly and that the training provided is effective in empowering business users to utilize the platform's capabilities.",Richa G.,5.0,"May 23, 2024","Comidor's low-code platform helped our company to transform the sales workflows and unlock new levels of efficiency. Some of the first processes we automate for our company are the lead generation, lead management, campaign tracking, and deal processing. We have built some new applications on ourselves after the training we went through with the Comidor team, and I can say it is super easy.","While Comidor integrates with many third-party applications, we found it difficult at the beginning to configure the integrations with our internal systems. With the support of the Comidor's team, we managed to accomplish that on our own.",Outreach Specialist,E-Learning,Used the software for: 2+ years
comidor,"When it comes to scalability, Comidor is the best platform ","For more than a year i have been using Comidor now and I'm so impressed with its super easy-to-use application development environment. We are delighted to have Comidor as a part of our team! It enables our business to grow with scalability and meets all of our needs. Incredibly easy to use, allowing us to modify and optimize our business applications, this low-code platform has everything you need to scale up your business - and I highly recommend it!",Timothy K.,5.0,"February 1, 2023","Using drag and drop in a visual environment makes modifying applications incredibly convenient and flexible! It is an incredibly powerful tool that offers limitless potential. The implementation process was incredibly smooth and easy, exceeding our expectations. It was a breeze to set up and all of our requirements were met without any issues. The customer service at this company is amazing. Whenever I need help, they are always super prompt and effective in finding me a solution. I'm truly impressed by their level of service excellence!",I am totally impressed by Comidor and all the services they offer. It's hard for me to think of anything I don't like about Comidor at all!,MD,Information Technology and Services,Used the software for: 1-2 years
comidor,Expense management solution: simple and user-friendly environment,"Our administrative tasks have become much easier as a result of Comidor, which has enabled us to keep track of expenditures and fees for telecommunication services for all government agencies. Its user-friendly interface enables quick access and grouping of information. If you are looking for a way to manage your expenses and your relationships with service providers and vendors more efficiently, I would highly recommend Comidor.",Vasileios P.,4.0,"February 9, 2023","Using Comidor enables us to keep track of expenses and fees for telecommunication services. We can easily print approved payments and display pending service statements in different graphs with just a few clicks. Also, the customer service is always friendly and helpful. It was a great decision to choose Comidor for our payment processing needs","Comidor has exceeded my expectations, and I am very pleased with it.",Analyst,Public Policy,Used the software for: 2+ years
comidor,Great experience with Comidor,"Overall, my experience with Comidor has been highly satisfactory, with the platform delivering on its promises of efficiency, customization, and empowerment. It has been an invaluable tool in optimizing our internal processes, enhancing the customer communication, and driving business growth.",Kyla S.,5.0,"September 12, 2024","Comidor is an excellent choice for businesses seeking a comprehensive digital modernization platform that combines innovation, automation, and empowerment to drive success and growth.","Nothing special, everything is functioning well!",Business Analyst,Computer Software,Used the software for: Less than 6 months
comidor,Scalable and Versatile CRM System,,Aryan J.,5.0,"June 5, 2024","I like the Comidor CRM system because it’s easy to use and has powerful features that improve customer interactions and experiences. It can be customized to fit our needs, and their excellent support team is always ready to help. Plus, it keeps evolving to meet all our requirements.","After using Comidor for less than a year, my team and I are thrilled with our improved performance and productivity. We have no complaints so far and hope to remain just as satisfied in the future.",CEO,Information Technology and Services,Used the software for: I used a free trial
comidor,Manage vehicle technical inspections in one easy place!,"Comidor has completely transformed the way our vehicle technical inspection center operates! This innovative platform has made everything much easier and smoother. The automated task management, the development of vehicle certification applications custom to our needs, online appointment scheduling, accounts and contacts management, and CRM capabilities help us manage our workflow better and give improved customer experiences. With the analytics and reporting tools, we can ensure that everything runs accurately with maximum efficiency!",Dimitris P.,5.0,"March 15, 2023","We are thrilled to have Comidor as our go-to solution for our technical inspection business. It makes customer data management, performance tracking, online appointment bookings, availability management so easy. Plus, the Car Master application is truly a revolutionary application! Our vehicle testing services have been greatly simplified and automated. We can now offer on-demand tests, with an automated certificate issued right after the test is complete.","Comidor is all you need to use when it comes to collaborative tasks and CRM and has lots of customization options. Although understanding the interface can be a bit daunting at first, you'll get the hang of it in no time and make the most out of this amazing tool.",IT MANAGER,Automotive,Used the software for: 2+ years
comidor,"Planning, executing and managing marketing campaigns","Comidor is more than just a task management tool – it's a centralized hub for all our marketing data. We can access all the information related tou our marketing campaigns and processes and run them in the same place. The entire team is informed anytime about the process stage and performance and can keep the daily workload under control. Mnaagers access real-time dashboards with only the necessary information, without the need to search for the right data to make decisions and have a holistic business overview.",Nirali J.,4.0,"April 24, 2024","Comidor's powerful workflow capabilities allow us to effortlessly plan, organize, and execute our marketing campaigns with precision. Easily-created customizable workflows guide our team through every step, ensuring nothing falls behind. Also, Comidor's task management features help my team keep our marketing initiatives on track, with real-time updates and collaborative workspaces that foster productivity.","The platform is very user friendly. However, the user interface could be enhanced by incorporating more modern elements.",software development,Computer & Network Security,Used the software for: 2+ years
comidor,Improved customer satisfaction thanks to Comidor custom CRM solution,"Comidor CRM solution makes it convenient to access and manage customer data, monitor sales activities, send automated texts to notify customers about their vehicle inspection and personalize the customer experience. Furthermore, Comidor CRM solution helps us gain a better insight into what our customers want in order to create personalized marketing campaigns that attract more conversions and leads.",Eleni A.,5.0,"March 31, 2023","What I find particularly impressive about Comidor CRM is its user-friendly interface, numerous powerful features and customizability. Moreover, the customer service team is highly reliable and available for assistance which makes it easier for users. Last but not least, Comidor never stops innovating and refining their product based on the needs of users.","Comidor comes with a great range of features that assist us with lead and customer relationship management. After becoming accustomed to the platform, that took us a while, we were able to capitalize on the different tools available to create highly successful customer relationships.",General Manager,Automotive,Used the software for: 2+ years
comidor,Redefining sales processes,"By implementing a low-code application, the whole sales process is automated and orchestrated, making it more efficient and accurate. Among Comidor's features that helped our business and resulted in significant time savings were automatic calculations with Excel-like fields, integration with internal systems, and automated contract creation based on input data.",Carlos P.,5.0,"February 20, 2023","With Comidor RPA, we are able to automate previously manual processes, thereby saving us a lot of time. As a result of automated calculations, contract generation, dynamic Excel components, and real-time collaboration, our team is able to complete their tasks in significantly less time - a remarkable 50% reduction.",Comidor's team assisted us with the coding required to use the Excel components for automatic calculations. We couldn’t do that by ourselves since we don’t have coding skills.,Digital Transformation Manager,Management Consulting,Used the software for: 2+ years
comidor,Comidor's Team is as Strong as its Functionality ,,Brett F.,5.0,"September 8, 2021","When a company invests in software, it is easy to get caught up in the product features, integrations, and technical capabilities. That stuff is important, but I've found that investing in the team behind the software product is equally important. Too often I've invested in a software, only to experience a lack of innovation, or subpar customer support in the subsequent months. With Comidor, not only is a company able to check all the boxes with product features and functionalities, but you're also able to check the box of a well-run company.",I'm not sure I'd have any cons to offer.,CEO,Marketing and Advertising,Used the software for: 6-12 months
comidor,Mi experiencia de uso de Comidor ,"Comidor es una plataforma muy rica en funcionalidad, sobre todo al combinar elementos de BPM y RPA. Permite desarrollar aplicaciones de manera sencilla y gestionar una organización/empresa por procesos, obtener estadísticas de desempeño de realización de tareas, etc., y trabajar prácticamente por excepción, gracias a las notificaciones y correos, que al usarse dentro de los procesos alertan a los usuarios a realizar una tarea asignada y/o pendiente.",Marco C.,5.0,"June 14, 2022","Combina funcionalidades de BPM y RPA Posee una serie de pasos muy claros a seguir para desarrollar una aplicación Es una solución que bien pueden utilizar usuarios de negocio (""Citizen Developers"") Es muy fácil la creación de dashboards e incorporación de elementos gráficos, o de ingreso de datos, etc., en los mismos Cuenta con una manera muy sencilla de crear y asignar roles de seguridad a los usuarios, y de utilizarlos en las aplicaciones que se desarrollan Cuenta con una serie de aplicativos integrados que enriquecen la plataforma","Me gustaría que la plataforma incluya reglas/funciones predeterminadas para validar campos y que los usuarios podamos desarrollar e incluir otras en el catálogo Todo lo que compone una aplicación no está en menú integrado (, además, si un conjunto de pequeñas aplicaciones conforman una más grande, no hay manera simple de integrarlas en un menú que facilite ver cuales son todas las aplicaciones y procesos que la componen) La integración de ambientes de dev, test y prod requiere una herramienta separada",CEO/CTO,Information Technology and Services,Used the software for: Less than 6 months
