product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
acobot,Outstanding system with brilliant customer service,Our enquiries are now responded to in real time at any time. As we changed our system or our website Acobot changed with us. We seemed to help new users better than previously.,Terry L.,5.0,"November 1, 2018","The ease of installation and the continuous help and assistance from the support staff, they went far beyond the norm and never had any qualms integrating our numerous requests.","The option to add additional languges, however, I understand these are already under development.",Organiser,Real Estate,Used the software for: 6-12 months
acobot,Acobot Makes You Money,"Many customers and prospects came to my site before Acobot and left frustrated because they couldn't find something. I had no idea! Now, they either get the information they are looking for or I get their email address so I can help them and convert them into new customers. Acobot is worth every cent. It pays for itself everyday!",Lon S.,5.0,"January 9, 2019",It was very easy to install. The chatbot actually indexes your entire site to provide custom responses and links to pages and files. You can easily customize the chatbot icon. You get a complete transcript of every chatbot conversation. The chatbot continually asked for email so you can capture the lead. Acobot turns frustrated prospects into happy customers!,"The main web dashboard needs some work, but you only use it when setting up.",Ambassador (First Ever),Marketing and Advertising,Used the software for: Less than 6 months
acobot,Acobot Review,It was good and helpful.,Parna S.,4.0,"May 29, 2019",Acobot is a really good software to try in your website. It helps the visitors of your site get directed towards what they are seeking hence it gives them a good experience. It's easy to use and the features are also good.,I did not find many cons however with more R&D may be the product could be made more interesting.,Intern,Consumer Electronics,Used the software for: I used a free trial
acobot,An amazing bot,,Lucy W.,5.0,"October 31, 2018",Easy to use. The chatbot automatically answers user questions based on the website. You even don’t need to teach it. Smarter than any other bots I ever tried. It brings more enquiries and lower bounce rates. I strongly recommend Acobot for every business who wants to grow online.,Acobot would be perfect if it supports languages other than English.,Web Developer,Information Technology and Services,Used the software for: 6-12 months
acobot,My Aco Bot experiance,It is ok but has a got a long way to go and needs to improve quite a bit.,Padyala P.,5.0,"July 25, 2019",It does some fundamental job of greting a person and introducing itself,It can easily do a lot of other things which can be built but I find it absent It can talk about the company or Website It can be fed about the latest news so that people won;t fel it is just a bot out there It needs to know a lot of basic information which is missing right now,Vice President,Information Services,Used the software for: I used a free trial
acobot,Easiest Wordpress Plugin Ever ,Overall has been great. Really terrific development team and customer service,Verified Reviewer,5.0,"November 13, 2018","Easy to Use It learns your website and then answers questions about your products and services. We are optimizing our new website to work with this chatbot. Will report on our progress as our experience evolves. Customer service has been outstanding and again, the tool has been easy to operationalize and goes right to work.",Probably the only downside is understanding clearly yet how to optimize the tool. It does a great job but if your website is not clear enough the chatbot can only work with what you give it. We are simplifying and recreating our site so I'm sure Acobot is going to get alot smarter in the near future.,Chief Executive Officer,Internet,Used the software for: Less than 6 months
acobot,Great Tool,Overall we have 24 sales individuals that drive sales to our company. We are extremely happy to have found this tool. Our customers are asking us the name of the tool because they would like to implement the same system.,Alex D.,5.0,"May 10, 2019",We like how we as a company can add the responses from the questions our clients could ask. Also the AI engine learns from the website content and that save us a lot of time. It will immediately engage customers and ask for specific information that otherwise they will not give us. Specially if the request are after hours.,Would love to have control of when the voice gets activated.,VP Business Development,Research,Used the software for: Less than 6 months
acobot,Using Acobot for my project,"Customer support was awesome, they guided me through the grey areas. the online documentation may need some more elaborate pictures especially for first time users.",Verified Reviewer,5.0,"January 8, 2019",Acobot afforded me the space to automate my online support. It was very fast understanding of my business and gave good answers that suited client searches within acobot ai,There wasnt much flexibility to choose the Icon representing the bot,Web Master,Information Technology and Services,Used the software for: Less than 6 months
acobot,Very Good,So far good.,BIDYA SAGAR B.,5.0,"July 31, 2019",I can see this is working better on my website. Easy to installed. Highly recommend.,Can have bit smaller bot icon -too big for use.,Founder,Accounting,Used the software for: Less than 6 months
acobot,Excellent chat bot,"I would like to say Aco chat bot is an amazing chatbot, that is easy to use, install, and excellent support. Keep up the good work.",Mohammad Z.,5.0,"October 19, 2018",That it will navigate the user to required page. This is amazing feature,Some of my clients face a slow in respond time for the chat bot.,Software Architect,Computer Software,Used the software for: I used a free trial
acobot,The Acobot WordPress Sales Chatbot,"GREAT! My experience was So amazing, I actually wrote a book about my experience with Acobot called ""A.I. Chatbot, Unexpected Positive Consequences"" which hit #1 on Amazon in three categories for more than a week! Thank you Acobot!",Lon S.,5.0,"July 23, 2019","I was predisposed to not liking chatbots and found them annoying. I thought I would set up Acobot on my ecommerce web site www.PaperModelsOnLine.com. It was VERY easy to set up and only took minutes. Within the first day I saw it helping my customers, closing sales, and capturing email addresses. BY the end of the first month, I saw a 30% increase in revenue! I then saw that same 30% increase every month since I installed Acobot!","I honestly don't have any dislikes. At first, the web site was difficult to navigate, but since then, they have improved it!",Ambassador (First Ever),Marketing and Advertising,Used the software for: 6-12 months
acobot,You can use it in every way,In conclusion I really like working with the software and would recommend to anyone who cares if graphics or forms to use it,Oren H.,5.0,"April 20, 2021","I like to use Acrobat mainly for graphic works to send customers proofreading for products . they can see the product and sign the work certificate easily and efficiently. If there are text corrections or a change in the image, it is not a problem to do the correction in acrobat, which saves time by switching to another software.","Basically there are no things I do not like about the software. There are a variety of options that can be made in the software. The only thing that bothers me is that it is not possible for the software to automatically select according to the region the color profiles that correspond to the same geographical area, including the millimeter or inch dimensions.",Vp,Design,Used the software for: 2+ years
