product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
workbooks,Best Cloud based CRM tool,Overall workbooks has helped me to reduce the time I spend maintaining all the details related to customers and sales. Now this tool has helped me to organise and bring out more details from that. The account management and forecast has really helped me to do planning.,Ruban D.,5.0,"June 16, 2022",Sales forecast and the reporting are the two feature that really helped me on a daily basis with this software. These are the features I liked the most.,Some time I feel when clicking an a button is slow to respond. I hope there will a fix for it sooner. Apart from that I dont see any cons.,Member of Technical Staff 3,Information Technology and Services,Used the software for: 1-2 years
workbooks,I couldn't do my job without Workbooks. It's the first thing I log into every day.,It helps me sell. We capture leads directly from our Website and track the prospect from initial enquiry right through to final sale and beyond using workbooks.,Dianne M.,5.0,"November 10, 2017",The task scheduling feature helps me keep on top of all my sales activities so I never miss an opportunity to keep in touch with prospects. I also like the marketing features that enable us to target specific types of customers and prospects with tailored offerings.,The only area we would like to see improved is Case handling. I think the software could be a little more intuitive and automated when is comes to customer communications.,Sales Director,Computer Software,Used the software for: 2+ years
workbooks,It tries to do too much ,"As a publisher, we were looking to get this to do everything from flat planning, through to media booking and accounts. Due to not having one of the top packages it meant that the product couldnt meet our needs. This wasn't Workbooks fault. I did find that the integrations with things such as Outlook broke regularly which was slightly frustrating",Verified Reviewer,2.0,"July 6, 2021","Integration with other tools works well, and great to be able to add in things such as lead forensics into the lead generation application.","Moving clients through the customer journey is too clunky, you can easily end up with duplications, lose the data, or sometimes set the record up only to not be able to find the client at a later date. This could perhaps be due to the fact we didn't have the top functionality.",Brand Services Manager,Marketing and Advertising,Used the software for: 2+ years
workbooks,"User friendly, customisable product","We are primarily using Workbooks at the moment to record our sales opportunities and using the information here, along with other data brought from different software, creating useful reports to forecast how we expect to do and spot areas where the sales team can improve",Joshua S.,4.0,"November 19, 2018","Workbooks has a great amount of customisation, allowing us to create bespoke form layouts for various record types and really control the data we have as a business.","Customer service can vary from staff who just point you to a website page and seem to understand the product less than you, to someone who genuinely pays attention and does a great job going through the issue. I've also had to chase a couple of times for minor paid developments to be completed",Project Coordinator,Construction,Used the software for: 1-2 years
workbooks,Workbooks makes keeping track of orders easy,,Rioghan B.,4.0,"March 27, 2018",Its very user friendly and has an interface that's easy to understand and use. Its easy to customize layouts views etc. The quality of service delivered to customers has improved. Overall it has helped the company to grow and continue to do so.,We needed a specific function and were told that it would be available in a future release. We changed a process in the business and then the feature came out sooner.,Software Developer,Used the software for: 2+ years,
workbooks,User for 5 years,The use of automated invoice scripts saves several members of staff many hours each week.,Adam G.,4.0,"November 10, 2017","Highly Customisable, and very easy to grant access to specific areas only to different staff members. Very good reporting tool.",Sometimes picking apart the customisation to fix one small thing can be time consuming. Only being allowed two named support contacts is a little tedious sometimes.,Operations Manager,Computer Software,Used the software for: 2+ years
workbooks,"Good, all round CRM system",We manage client support using cases and record those individuals in people records. Consent recording for data protection and recording of objections to processing is our most recent change,Mike S.,4.0,"November 23, 2018",The level of customisation that we can carry out in house. The reporting suite is also pretty flexible.,"When reporting, linking to some table can really slow the reports down. Campaign membership being the main one",IS Officer and Data Analyst,Non-Profit Organization Management,Used the software for: 2+ years
workbooks,Fantastic CRM tool,"It keeps all our business Managment in one system, so everything is at our fingertips.",Neil B.,5.0,"November 14, 2017","We use the software from lead management through to invoicing, it is easy to use and fully featured. Our support team manage all cases through the system.",I think the mobile tools could be improved as we don't use the mobile workflow. Maybe a dedicated app would be an option in the future.,Managing Director,Computer Software,Used the software for: 2+ years
workbooks,Comprehensive crm software ,"I think the most useful benefit we get is to get in board to the technologies and impulse our business in the web and social networks if aviable, in order to get more costumers",Yemsi P.,4.0,"February 27, 2018","I like this tool because the dashboard is very transparent and very easy to understand the status of the pipeline, in order to make decisions in our pipeline in order to increase our numbers. I like the reports, because we can focus on marketing spots accordingly. And the hole company, and I mean sales, support and management are connected around one software.","I don't like to move from workbook to another software platform to attend support cases. In this matter, searching names for support could be a slow process, I think in general is complex to master the different features of the software",Planificador Territorial II,Used the software for:,
workbooks,Excellent easy to learn CRM System,,Adam P.,5.0,"March 9, 2018",Friendly user interface encourages fast adoption. Powerful reporting and customization helps us make informed data driven decisions easily,Limitations for Manufacturing businesses. We will always need an MRP/ERP system alongside Workbooks.,Commercial Manager,Plastics,Used the software for: 2+ years
