product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
tempo_capacity_planner,Planning with Tempo Planner!,"As a small boutique firm of event planners and designers, we're loving the ease of use as we use Tempo Capacity to assign the right planner for the right job!",Mai M.,5.0,"March 22, 2026","Loving the new Tempo Capacity Planner for our small team! As a team of meeting and event planners, Tempo allows us to assign the right planner to the job and provide them with the tools, resources and collaborators they need!","No cons thus far, we're still learning how to use it for forecasting but so far it has been incredibly user friendly and the entire team has adopted it seamlessly.",Managing Director,Hospitality,Used the software for: Less than 6 months
tempo_capacity_planner,Assertive Solution for Task Management,,Riabilitazione C.,5.0,"April 29, 2024","Tempo Planner brings a defined way of handling tasks, and proper information is shared to ensure resources are accurately managed.",Tempo Planner brings the best results in matters tasks control and planning without defects.,Finance Manager,Hospital & Health Care,Used the software for: 1-2 years
tempo_capacity_planner,Need more flexibility in visibility/reporting,"In conjunction with our Senior Project Manager, I tried out Tempo planner on just the project management team and did not feel it was well fit to our needs. We submitted a ticker to tempo/jira, and our needs are not able to be met (CSV esport of estimates versus actuals, very important to our workflow). Because of this, we are looking into alternatives. We are still trying to move away from Float, our current resourcing tool, but are not sure that Tempo Planner would suit us any better.",Rachel C.,2.0,"July 30, 2020",It is easy to input a block of time and the software will automatically allocate daily amounts for you.,"It is not possible to hide planned time from the production team, and this planned time shows up in Tempo where team members go daily to log this time. Because the time is broken out in equal parts across the assigned time period, it is often broken into odd increments that do not fit our 15 minute increment structure. Because this is surfaced to the team, we anticipate issues with them logging planned time rather than their actuals and fussing when their actuals do not match the planned resourcing for the week (which they often do not). We also miss the capability to color code the planned work by project manager (which we had in Float). The overhead view of all resources is not as easy to break down as our previous program, Float, because it does not surface enough detail. We also cannot export the single most important report as a CSV (estimates versus actuals), which was the #1 reason we anticipated moving to Tempo planner in the first place.",Project Coordinator,Marketing and Advertising,Used the software for: 6-12 months
tempo_capacity_planner,Tempo Planner is a great software tool to help business owners to organized and profitable.,,Alison M.,5.0,"July 9, 2023",I like Tempo Planner because you can navigate through the software easy.,Its a great overall software tool to have because it help business owners save money and time. Its also helps business owners stay organized with their business.,Chat Agent,Information Services,Used the software for: 2+ years
tempo_capacity_planner,Tempo Planner review,Tempo Planner has really helped when relating with PMs and Service Delivery Managers for updates on resource allocation,Ayomikun O.,5.0,"January 12, 2024",Useful when assigning teams to different projects.,So far so good. This tool has been helpful.,Lead Technical Support Engineer,Telecommunications,Used the software for: 1-2 years
tempo_capacity_planner,Could be good but,"The ideas behind seem fairly sound but the implementation is poor. Also, you have no idea when the plan on fixing the problems in the software since there is no communication about roapmaps or coming features.",Peter F.,2.0,"November 11, 2019","* The integration with Jira was the main selling point. * A web interface was also something we were looking for. (We only plan on the ""project"" level. Planning within individual projects is handled by PMs on Jira project.)","* The software is confusing (several similar views that do different things) * Administration is a *nightmare* - really, I seen nothing as bad as this for several years: we have 25 teams, 250 ""Internal"" users and 200 external. Admins need to be added to each individual team (no central permissions) and if users are to see plans from other teams the 25 teams need to be updated manually each time we get a new user. * Each user has a workload scheme - but if a user's scheme i M-F: 8, 8, 8, 8, 5 and you add a 37 hour task for Monday, Tempo plans 7,4 hours per day showing the first days as under allocated and the last over allocated. Come on??? * Seems buggy. We have had a number of issues where we could not work out what we were seeing, reported a bug to Tempo - just for issues to magically disappear after a day.",Business Process Manager,Information Technology and Services,Used the software for: 6-12 months
tempo_capacity_planner,Effectively plan time on Jira,,Adam H.,5.0,"October 29, 2019",Tempo Planner is great for planning time in Jira. With seamless integration with the excellent Tempo Timesheets this is a fantastic addition to the Tempo family and vital in planning time for your software development team. Supports water fall and agile working methods and provides lots of tools to help your teams understand what they should be working on.,Currently lacks google calendar integration on the Server version which would be really useful in syncing meetings and planned work programmes.,CEO,Computer Software,Used the software for: 2+ years
tempo_capacity_planner,Tempo Planner is good but license integration forcing us out.,It works well for partner time tracking. Our QA vendor is generating all their timesheets right of Tempo. It is now our standard for finance audits on time keeping for this partner.,Henry D.,4.0,"August 10, 2020",Integration to Jira is seem less and allows for my QA team to enter timecards in same system they use every day. Decent price for 250 users providing comparable function to higher cost solutions.,"License integration with Jira. I have a 500 IT implementation of Jira going to 750. I only have a partner using Tempo 100 licenses. However, my license costs keep going up. I am paying extra just for Atlassian's license simplification. Rest of IT uses Planview and given this license practice raising my Tempo costs I will be forced to not renew. It would be preferable to have license audits to ensure we are not using 750 than to pay an extra $10k for licenses we will never use. If we were to sunset Planview for Tempo in next audit would true up and pay the full price so no real harm to Atlassian. Versus as it stands now you will loose Clorox Tempo business. Support is not very clear. Would recommend an implementation service to train us and help us get full potential of Tempo realized.",Sr. Mgr. IT QA,Consumer Goods,Used the software for: 1-2 years
tempo_capacity_planner,Does not live up to the rest of Tempo,,Verified Reviewer,3.0,"January 1, 2023",The only real pro here is that it links up to Tempo Timesheets and Jira if you are trying to avoid adding yet another plug-in or new tool.,Tempo planner is not very intuitive. There are other softwares that are much better for resource planning. It could be cool - but still needs more work on the UI and features.,Project manager,Banking,Used the software for: 6-12 months
tempo_capacity_planner,Keeps on improving,,Verified Reviewer,4.0,"October 29, 2019",Integrates well with core jira to allow us plan work across our teams,The reporting suite isn't especially good,Head of Delivery,Computer Software,Used the software for: 2+ years
tempo_capacity_planner,Organiza a tu equipo y sus tareas con creatividad,"Muy útil, me permite diversificar mis herramientas de trabajo que utilizo para la planificación de proyectos de diversa índole.",Verified Reviewer,4.0,"December 22, 2023","Me gusta que el software no es nada complejo, y que al momento de compartir la información con mi equipo de trabajo, estos no tienen mayores dudas sobre cómo se utiliza el mismo.","Aunque el tiempo de las notificaciones no a tiempo real, no hay una desventaja particular que haya encontrado del software.",Organizador de proyectos educativos online,E-Learning,Used the software for: I used a free trial
tempo_capacity_planner,Product Review,We were looking for the software that can be used for planning especially in context of development resources. With Tempo we can easily book a resource for a specific task or project and anyone can see that the resource is already booked. The second way we are using it is for out of office (vacation/training/sick leave etc.) planning that gives transparency to everyone in the organization so it's easily to check who is planning to be off on a specific time.,Pawel K.,4.0,"October 19, 2019","You can plan any task in JIRA with Tempo planner, it's easy to see the overall plannig per team or individual user, planned time can be easily reported.","Sometimes confusing UI, especially if you like to see the planner from reports engine.",System Manager,Translation and Localization,Used the software for: 2+ years
tempo_capacity_planner,Good product and could use a few updates just to make things easier,,Adam H.,4.0,"August 4, 2020",We like the integration with JIRA and the ability to download data we need when we need it.,In some of the search fields and reports finding the issues/subjects you are looking for does not seem to work consistently. There are some cases where we try to find a specific item and the search will not return it even though our search terms are accurate. We also would like to see a little more flexibility in the way we setup and plan our issues in terms of how this relates to our billing system.,Managing Partner,Computer Software,Used the software for: 1-2 years
tempo_capacity_planner,Tempo Planner - usefull,It is OK and it provided partly what we need but sometimes it is a little frustrating - especially since you can't change the availability of a person during the year.,Stefanie K.,3.0,"October 23, 2019",I like that you can plan the time for everyone working at the Company and I like that it interacts with JIRA. Everyone can access there available hours and what project they are working on. It is nice that Tempo Planner knows the public holidays and that it can provide an estimate of the hours people should be at work for.,"What I really don't like is that Tempo Planner is not very flexible. If people's daily working hours change during the year, Tempo Planner can't deal with that. You can't provide e.g. Person A works full time from Jan-Mar and only half time after that. Once you put in full-time, you are stuck with it and Tempo Planner will calculate the total hours per year based in full time. Also, if plans change, the already planned time cannot be edited, rather needs to be deleted and newly entered.",Researcher,Research,Used the software for: 6-12 months
tempo_capacity_planner,Very good tool...but we found the limits...,,Jan P.,4.0,"October 24, 2019","Ease of use, the overview and the rich reporting features, as well as the integration in all Jira issue features. Very good to make detailed plans on a daily or weekly basis.","There is no change history. Often things get messed up, accidently. Then there is no possibility to investigate what happend to learn from, or to restore. Also user permissions are fairly poor - at least too poor for our team. No option to plan on a higher lever/portfolio planning.",Managing partner,Marketing and Advertising,Used the software for: 1-2 years
