product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
learning_locker,Learning Locker best learning tool.,Learning Locker allowed me to better collect my data and keep it in one place.,Marie Jeanne E.,4.0,"August 25, 2022","What I liked the most in this software is the fact that thanks to it we can produce certificates, licenses...",What I liked least is that its online documentation is not obvious when it comes to creating queries...,CEO,Internet,Used the software for: 6-12 months
learning_locker,Easy to use and flexible Learning Record Store,Learning data collected in a single place from many of our learning sources.,Brian L.,5.0,"May 29, 2018","Prior to Learning Locker, we had no method of looking ""into"" a learner's experience (how far are they in the multi-hour training? What are they answering? etc.) with learning opportunities we had created in our learning ecosystem. With Learning Locker we are not only able to see into a learning experience but we can use that data to improve what we are creating and distribute those results in dashboards that refresh with the latest data when the dashboard is re-opened. Data that would take hours previously to gather is available instantly. Through connectors, we can also reach out and store other types of data that are not expressly in xAPI format - more learning data available to us in a single place.","Hmmm... I have to think about this because there is so much I LIKE about the software. They have webinars available for this, but I would like some online or downloadable documentation on building complex queries.",Project Manager,Used the software for: 2+ years,
learning_locker,If your looking for an enterprise level LRS this is it ,,Burke A.,5.0,"June 5, 2018","Customer Support is fantastic The thing just works It has a very nice GUI and is easy to use Connectors include Slack , SAP, Tableau and more",I Would like to see a user interface for extracting data into a CSV or format. Easier way to manage statement forwarding. by that I mean a way to setup rules and triggers for statement forwarding.,CEO/Founder,Management Consulting,Used the software for: 1-2 years
learning_locker,Learning Locker is a leading LRS with great Dashboard Features,We are looking to transition off our LMS at my work and explore having more assets freely available in our suite of products and in the ecosystems of our extended customers. We also want our customers to have insights on how their employees are leveraging assets to perform more effectively. Learning Locker seems to have the tools to jailbreak us from our LMS and provide the insights needed to the right parties,David G.,5.0,"October 3, 2018",Learning Locker (I am using the free version I host on AWS) is a fully featured LRS that allows you to set up users in specific groups and report on their activities sent from xAPI compatible objects to the LRS. You can design some pretty amazing Dashboards using an intuitive query selector which was a standout. I find most learning portal reporting to be very canned and impossible to create new insights without a programming degree. This is where Learning Locker nails it.,"The one area I would list as a con is directly linked to my inexperience installing software in AWS. For Mac users it is simpler. I was using a PC and there was a step that had me stalled for a bit. To be frank, this is something a person who does this normally would resolve in a second (I phoned a friend) but since IDs don't tend to do this often it is good to have the forewarning Once I was installed it was off to the races.",Senior Learning Technologist,E-Learning,Used the software for: 1-2 years
learning_locker,A tool to manage e learning documents effectively ,Overall a good tool to maintain e learning and its progress,Verified Reviewer,5.0,"October 1, 2021",It integrates documents from multiple sources and provides across multiple platforms to access. Detailed analysis gives holistic view to user and helps to manage learning tasks. Query and design tools are powerful.,Reporting features in tool can be improved.,Technology Lead,Information Technology and Services,Used the software for: 6-12 months
learning_locker,Huge power and potential,,Stephen P.,5.0,"September 19, 2018","It's early days for us using Learning Locker, but it's clear that we can create some fantastic dashboards, and journeys, to get realtime insight into how our learners are moving through the sessions we have allocated to them. We work with schools and organisations globally, and being able to let our partners self-serve with these reports is a huge benefit both to us and them. It has the power to make a real difference to our uptake with schools.","Still a little work to do on making the dashboards even more powerful, and making the UI as easy to use as possible, but overall this is a very powerful addition to the HT2 product suite.","Global Director, TES Institute",E-Learning,Used the software for: 6-12 months
learning_locker,Excellent add to our ecosystem,"We were faced with needing to replace our existing course completion store, and wanted to go with a tool that would provide other capabilities as well. This met those needs. We also use it as a valuable integration point with other systems/projects through the use of xAPI.",Bryan S.,5.0,"August 29, 2018",Ease of use in creation of real-time dashboards. The querying and design tools continue to get better. Very responsive support and development team.,"Dashboards are great, but reporting is not as full featured as we need (but honestly not necessarily in scope for the product. The APIs and BI connectors are there for reporting tools, but not in the app itself.","Product Manager, E-Learning Development",Retail,Used the software for: 6-12 months
learning_locker,Good software to track learning activities,Good open software to manage learning path and courses.,Verified Reviewer,5.0,"April 21, 2021","Ease of access, user friendly dashboard, learning data access, xapi statements data storage from different sources.",Nothing as such at the moment I can think of,Technology lead,Computer Software,Used the software for: 6-12 months
learning_locker,Learning Locker helps us accurately measure the impact of learning initiatives,,Kirstie C.,5.0,"May 8, 2018","I love the fact that as well as our e-learning statements going directly from Curatr into Learning Locker, we can add other data stores, such as business KPIs and Mystery Shopping results. We can then create meaningful learning journeys and measure the impact.","it has taken me a little time to feel comfortable with using the software mysel, not being very technical. Now thta I understand it, it works perfectly for me.",International Sales Academy Manager,"Glass, Ceramics & Concrete",Used the software for: 2+ years
learning_locker,"Good product, constantly improving",Great level of service from the team at HT2 when implementing on onboarding.,Adam L.,5.0,"August 26, 2018",Learning Locker has made storing and accessing our user data simple.,The visualisations still need a fair bit of work to be flexible enough to all client needs. The great news is that the team are very responsive to feedback and are regularly releasing new features.,Director of Customer Success,E-Learning,Used the software for: 6-12 months
learning_locker,My experience has been great so far. It's been great working with the HT2 team.,Ability to track experiences and make sense of how our products end users are using them.,Haitham G.,5.0,"May 31, 2018",The UI experience is great but HT2 continues to make it better. The APIs cover a lot of functionality and provides a solid bus for data transmission from and to the LRS. The Team starting with the CEO is very skilled with the subject matter in general and xAPI in particular. Customer and Technical support are phenomenal.,I can't think of anything. All of what I feel isn't available is on the software roadmap and expected to be added soon.,Senior Director of Technology,E-Learning,Used the software for: 1-2 years
