product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
reply,The best sales engagement platform ,I love it!,Andreea C.,5.0,"January 2, 2022","Customer services is a 10+ They continuously improve the product, continuously and for each improvement, you get email notifications and webinars to explain them. We get at least 2 meetings booked per week with reply.io just because of the way the cadences are set up automatically, they suggest the best copy, ( they have an AI) And the Chrome extension is amazing at extracting data!","Well, I would like for the chrome extension to act as zoom info and auto complete the missing details from the profiles we prospect",Global Partnership Manager,"Leisure, Travel & Tourism",Used the software for: 6-12 months
reply,Magical tools for gathering sales leads,,Md Jahan M.,5.0,"April 27, 2022","With features like the reply.io chrome plugin, Reply has been leading the way in sales involvement. "" Reply is one of the most widely utilized sales engagement and finding contact information of specific leads. It gives organizations a variety of ways to communicate with targeted leads, including the ability to run campaigns, extract valid email addresses, and integrate with leading CRMs.","Reply.io is the greatest tool for me. I'm using it for every lead generation and marketing project. I didn't see any error on this platform. But the Membership fee is very high, it will be a great step if they reduce the price of the plan.",Digital Marketing | Web Development & Design Specialist - Freelance,Internet,Used the software for: 2+ years
reply,Painful and unusable,"Honestly, we are looking for a new vendor for this service, and would recommend anyone looking for this type of service to find another one. I never write reviews for anything, and my experience with Reply has finally pushed me to be angry enough to do so.",Verified Reviewer,2.0,"July 9, 2019",The price of the software is reasonable.,"There are so many areas in this software where something that should be easy to do ends up taking five times longer than it should. Whether it's loading data, managing people and campaigns, or logging responses you can expect a lengthy, annoying and confusing process based on an architecture that must have been devised by Byzantine Kafka enthusiasts. When you reach out to support they are prompt in responding, but totally unhelpful. They mainly just point out what you've usually already figured out by then - that the only way you are going to get the very reasonable thing you are trying to do done is going to be incredibly time consuming, and draining. My favorite (said sarcastically) support guy there is one who, after telling you that you will spend the next three hours updating contacts one-by-one because the system is incompetently built, will then send you silly thumbs up gifs. Now, I enjoy a good gif as much as the next guy, but there is a time and place, and sending a funny gif to someone you've just doomed to several hours of inane data entry is next-level tone deaf.",Managing Partner,Real Estate,Used the software for: 6-12 months
reply,Reply ignites your outbound generation engine ,"The experience was great, we have no complaints and the feature set met all of our needs.",Terry L.,5.0,"February 11, 2021","The ability to create multi step campaigns utilizing calls, email, and linkedIn. The tracking capability along with email customization tools really helped.",At first there were a few bugs but the team worked to fix these and provide excellent support when needed.,Business Development Director,Information Technology and Services,Used the software for: 1-2 years
reply,Easy to Use Tools for Startup Sales Teams,I'm new to Reply.io but overall I like it. The Chrome extension is really very functional. It offers a variety of ways for you to communicate with your leads.,Arzu Ö.,5.0,"November 29, 2022",Reply.io is a product that is still developing and developing really fast. Really great at creating multi-step campaigns. Email adds a new dimension to marketing. There is a team plan where you can work with your team so you can track your team's activities as well. This is really useful for collaborative working.,"Sometimes you have to follow too many steps for very simple actions. This can negatively affect the user experience, but I still like the performance of Reply.io. This becomes tolerable as they are pretty quick with support",Digital Marketing Manager,Information Technology and Services,Used the software for: Less than 6 months
reply,I couldn't do my job without it! ,,Gustavo M.,5.0,"October 18, 2017",I like how easy it is to use for all my email campaigns. It works great for both cold-email prospecting campaigns and for post-call follow-up reminders. It provides me with a constant flow of leads and produces real results for our sales team. I use the metrics to focus on prospects who are engaging with my emails. I also use the tasks to convert more leads.,Better duplicate name recognition because I sometimes add prospects twice. Everything else is great!,Lead Generation Manager,Used the software for: 6-12 months,
reply,Very simple and incredibly powerful.,Quick feedback from leads. Time saving. Cost saving. Highly recommend for mass (yet targeted) email.,Tyson Y.,5.0,"January 21, 2018","The time it would have taken to manually send those emails, monitor responses and quickly engage with customers would have been unrealistic (if possible at all). The customer support is absolutely outstanding.","There were times when the onboarding or prompting could have been better. If an upload of data failed it didn't say for what reason (e.g data wasn't what it expected in certain rows). So this required a little trial and error to get sorted but again, customer support stepped in to help out. Once that was sorted, smooth sailing.",CEO & Co-Founder,Automotive,Used the software for: Less than 6 months
reply,I used Reply.io for a Reactivation campaign that was very successful,The ability to mass-send emails as if they were custom emails is fantastic. I recommend this to all my clients.,Rocky K.,4.0,"January 11, 2018","In my company, we had about 2500 leads that were warm leads but failed to covert. We used Reply.io to email them personally and pull them into a sales call. The open rate/reply rate was incredible. Reply.io made it super easy to email these warm leads as if it was a direct email.","Because I had a very specific timing for this reactivation campaign, I had to a lot of math/grouping prior to importing them into reply.io. Reply.io is a very clean-looking and slick system. But I was still having trouble figuring things out.",Course Building Technologist and Business Coach on the Education Team,Used the software for: Less than 6 months,
reply,Thorough testing of software,"It made cold emailing easier for me because all I needed to do was set up my templates and set up the campaign (which took minutes because I had already written the email copy), and it ran by itself. The software also provides templates so you don't even need to be a copywriter!",Claire C.,4.0,"July 2, 2018","It is very easy to use, and you can get started with an email campaign in minutes. You don't need to spend a huge amount of time learning the software if you have some email marketing experience.","The daily reports sent to me. But having said that, I am not sure if I set them up correctly - the reports didn't include the names of the campaigns so were pretty useless to me.",SEO Writing & Beginner's Online Marketing Coaching,Used the software for: Less than 6 months,
reply,Best tool for sending cold emails and improve conversion rates,"Insane open-rates, insane response-rates. It turned email outreach into a valid leadgen channel, which I didn't expect.",Austin W.,5.0,"February 7, 2018",Every email you send is personalized. Every campaign you create has analytics data you can use to improve the campaign. Emails are sent automatically and camapigns don't require any manual actions up until you get a reply.,"Nothing major. Connecting to some 3rd pary mail servers is more complicated than it should be, but it's not an issue.",Marketing Coordinator,Used the software for: 1-2 years,
reply,Made my outreach a walk in the park!,"I came in contact with Reply as I was looking for a tool to streamline and optimise my sales outreach. We don't do mass cold mailing, rather research each lead and personalise the emails. And we personalise the follow-ups if they don't respond right away. We personalise them using a template, so we can do mail merge when we send emails (a bit more complex than usual, but it still works). The ideal tool would have the options of a simple CRM, with personalisation lines, a way to send emails and to automate follow-up emails. The reason we chose Reply, and why I'm quite happy with it, because it has all of the features I required + multi-variate testing and most importantly, a great way to do reporting (I love they have a way to qualify the leads as well based on their responses, quite good when you're analysing the results). Customer support is quite responsive and they were quite interested in discussing some probable new features, which I quite like. The pricing is a bit high for a low amount of emails, but as we focus more on qualifying the cold leads, it wasn't an issue on my end. For mass mailers on huge lists, it may be. But again, this isn't a tool for spammers, rather for those that want to do smart outreach. To put some proof in it, we had a 55% average open rate for our cold emails, and a 40% reply rate. Which is quite high for cold campaigns.",Ratko I.,5.0,"July 15, 2016","It's easy to setup, easy to use, easy to customise each email and you can get a small preview of how it looks. And the automation part is quite powerful with reporting as well as lead qualification. I liked those parts the most + you can test some variations for every email in the journey. I would say they encompassed all the features for a simple and a complicated users (the most essential, valuable ones, at least)","It's hard to organise lists, and list management is a bit strange. Pricing is high per number of contacts, although it didn't bother me as we sent it to smaller lists.",CEO,Marketing and Advertising,Used the software for: 6-12 months
reply,Great email productivity tool for outbound sales,This product fits all of my requirements. I've tried many of their competitors and have yet to find an app as well rounded and that has a good UI like Reply.,Jay F.,5.0,"July 7, 2016","Intuitive and responsive UI. Great support. All the features you need for automated email campaigns. Integrations to major CRMs which allows further automation and seamless overview of stats and managing campaign subscriptions based on user input or marketing automation in CRM (ie, prospect downloads an ebook - sequence in Salesforce changes the lead scoring as a result, Reply app can automatically remove them from a sequence). Reply tracking on steroids; they not only remove someone from a drip when they reply but can detect whether the reply is an indication of interest, a request to follow up at a later time, and out of office, a forward to a colleague, etc. Good and easy reporting. A/B testing. Auto-detection of prospect's timezone based on State/Country","They don't support html for ""format"" intensive marketing email....pretty much the only thing I'd like to be able to do with Reply that I cannot at the moment.",Director Biz Dev,Information Technology and Services,Used the software for: Less than 6 months
reply,"Awesome service, awesome support ","I started using Reply around 4 months ago to manage cold sales emails. It is the main tool I use not only to monitor the whole activity but also to improve our process. The statistics interface is so simple yet so rich in information, that we can easily look at it and understand the bottlenecks of our process and what we need to improve. Moreover it is very easy to use, with a very intuitive interface and a very nice flow. In the rare occasions when I was in trouble using it, the people behind live chat support didn't take more than 10 minutes to answer my questions! Customer support and client success divisions are not worried if you renew your subscription or not, they just want you to succeed, and help you do that!",João N.,5.0,"September 16, 2016","Everything is awesome. I especially love their customer support and client success divisions. Great people, always willing to help when we need. Learning curve is perfect!","Some minor features are still missing, but I'm a very demanding client. For example everytime you upload contacts and some of the contacts are skipped, the app should notify why.",Developer and Sales Manager,Information Technology and Services,Used the software for: Less than 6 months
reply,"Excellent customer service, easy to use interface. ",Professional way of email marketing,Verified Reviewer,5.0,"October 31, 2017",What i like the most about this software is.....Extremely easy to use/the statistics you receive from each campaign. Very helpful.,What i dislike most about this software.......One con. Reply.io freezes after too much use. Whole website doesn't load and this can be very frustrating.,Enterprise Assistant,Events Services,Used the software for: 6-12 months
reply,Great Email CRM and Automation Tool,,Ryan P.,5.0,"January 2, 2018",This product has helped me 10x my outreach by automating and organizing my email campaigns to go out. Before this tool I was using a clunky excel doc and gmail plugin,It can be buggy at times but customer service to great to help with this. Don't really have any other cons as the customization is amazing and haven't found anything I need that it can't do.,business development,Marketing and Advertising,Used the software for: 1-2 years
reply,A Must Have Outbound Marketing Tool,"Reply has been a critical component of our marketing outreach campaigns. It's extremely easy to use, effective and had all the features that we desired. We previously looked at several other tools and kept coming back to Reply. It's now been about 6 months since we first signed up and will continue to be customers for a very, very long time.",DJ S.,5.0,"September 22, 2016",Easy to use and extremely effective. Their integration with custom SMTP servers and GMAIL accounts were critical for us - and it works flawlessly.,It can be a tad slow to load sometimes. But hey - that's probably because they are becoming so popular! I'd say the price is expensive but it's very competitive with other software and easily pays for itself 5x over.,CEO,Computer Software,Used the software for: 6-12 months
reply,"Efficient, email automation at it's best",,Shelby R.,5.0,"December 18, 2017","The automated follow ups, ability to pause and alter things as needed. Ability to email thousands of emails without the heavy lifting required. Cuts down on prep work and follow ups",Communicating with support staff can be frustrating when you need additional instructions and they give you the canned email response instead of attempting to understand where you're stuck in a process of something,Sales Coordinator,Used the software for: 6-12 months,
reply,Awesome email automation tool,Was easy to adopt this tool and the dashboard was powerful to track and monitor campaigns. With the correct template and steps both open rate and reply rate are high.,Gan K.,5.0,"August 4, 2016",Easy to learn and use. Very strong dashboard and friendly user interface. Allows replying email over dashboard,Only import excel csv . At times page takes a while to refresh I.e cant display all imported names at one go.,Director,Consumer Services,Used the software for: 6-12 months
reply,Exceptional Product & Team,There are few startups that i've met that actually LISTENED to my feedback..and implemented it. This is one of them. Their app is essential to our growth and it has been performing incredibly well. They've really thought it through nicely. And now with their latest major release the UX is astounding.,artur M.,5.0,"September 22, 2016","UX and features, and most of all Customer Support",nothing yet!,co-Founder,Arts and Crafts,Used the software for: 6-12 months
reply,Great product and service,,Tom I.,5.0,"October 31, 2017","Great team, very responsive. The system itself also saves a ton of time! Definitely recommend this to anyone.",Sometimes difficult to manage duplicate leads across multiple user accounts. Very easy if you only have one account.,Owner,Used the software for: 6-12 months,
reply,GAME CHANGER! ,"I am a bootstrapped startup with limited resources. I couldn't keep up or remember everyone I was reaching out to. I researched different products but this one seemed seamless. People got back right away and the support is great via a chatbox. It literally is worth a whole sales person. I tried having a sales person do this and they couldn't even follow up the way replayapp can. It saves hours, its a must for startups and communication. And, they are actively adding features, to make it easier. The pricing is on point also.",christina H.,5.0,"August 15, 2016","I recommend it to my startup friends, and literally go out of my way when I hear them complaining about following up and people not responding.",,founder,Media Production,Used the software for: Less than 6 months
reply,Great,,Josh N.,5.0,"January 2, 2018",I like that the software lets me segment marketing emails to target certain groups of people. Works great.,I don't like that there's nowhere to put a second or third email address for someone so that if one email address fails to deliver it will try the other email addresses instead.,Director of Business Development,Computer Software,Used the software for: Less than 6 months
reply,Best growth hacking tool on the market,"By using Reply, our start-up was able to sell $ 10,000 in 3 months time by setting up an effective Direct Mail campaign. those who believe e-mail is dead, try this tool and you will experience it by yourself. The most important factor is the quality of your e-mail database and your lead generation . Once you established a strong database of potential prospects, the Reply software let's you track individually each prospect. The tool is powerful because it allows you to send a personalized e-mail. For those who have doubts, just try the Trial version and you will be surprised.",Thomas M.,5.0,"August 4, 2016",Personalized e-mail E-mail tracking,,Managing Director,Information Technology and Services,Used the software for: Less than 6 months
reply,Great,,Verified Reviewer,5.0,"December 19, 2018",This is another program that helps you answer emails all in one platform. Super organized.,I wouldn't change anything about this program.,Independent Sales Consultant,Real Estate,Used the software for: Less than 6 months
reply,Saved my life when I lost my job.,I booked many new customers during my first 30 days working for myself. 100% worth it.,Preston L.,5.0,"October 31, 2017",I love the ease of use and the UX. I can set up a workflow once and then constantly feed it new contacts which brings me new business every week. Fantastic.,I dislike that it doesn't have error messages when you're trying to import contacts and something goes wrong.,Founder,Publishing,Used the software for: 6-12 months
