product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
gladly,"Admin for over 6 Years, incredibly happy","Overall, incredibly positive. We have used them for years, and it is a great platform. I have continued to renew with them. When you are a D2C eCommerce brand I would highly recommend.",Benjamin D.,5.0,"November 2, 2025",It's a wonderful CX platform. We handle oall of our volume via Gladly. A lot of out of the box featuresand we also use their AI products.,"Not much, overall really happy with the platform. I would never say no to a decrease in pricing even though I think the pricing is fair based on the market.",Sr. Director of Customer Experience,Consumer Goods,Used the software for: 2+ years
gladly,Gets the job done with great support,"Overall, there were cons, but the pros did outweigh them. Now, we can direct conversations to team members who are actually available, instead of those who are already occupied, such as being on another call. As a result, we no longer miss calls, or if we do, we know exactly who we need to follow up with. This improvement has helped us provide better customer service and respond to clients more promptly. While I have mentioned that the reports occasionally present some challenges, they still offer valuable insights that we would not have otherwise.",Kelly V.,4.0,"October 8, 2025","Gladly has continued to make our work lives significantly more efficient and organized. Now, every type of communication with a client is consolidated in one place, which has streamlined our workflow. We are able to run reports based on Topics and other factors, giving us valuable insights. The platform also allows us to scale our remote team and helps us identify when we need to schedule more coverage during peak call and text times. Before Gladly, we had nothing comparable, so this has been a major improvement for us. All of this still holds true!","There are a few challenges with the reports that I wish were addressed to make them easier to read. For instance, the Task Export report does not provide a straightforward way to filter the data. I often find myself copying and pasting this report into an Excel sheet just to extract the information I need. Ideally, I would prefer to have all the necessary details included in a single report, with the option to have it automatically emailed to me on a regular basis. We've also encountered some technical issues with the rules, which haven't worked out for us so far. However, I want to emphasize that the support team is PHENOMENAL. Despite these difficulties, they are always very responsive and do their best to assist us.",Director of CX,Consumer Services,Used the software for: 2+ years
gladly,GLADLY THE BEST TOOL FOR CUSTOMER SERVICE,"Great! Its interface is very userfriendly, and oraganized. I would totally recommend t o take interactions.",Manuel A.,5.0,"April 2, 2026","It is a very use full tool to handle call, emails, and SMS, to bring the best help for our customers.",it should have more editing options for text on emails. but that is all is missing it is very complete.,customer service rep,Retail,Used the software for: 2+ years
gladly,Review,6 out of 10,Taylor C.,3.0,"August 17, 2022",Gladly is pretty reliable and easy to use,The ringtone of calls is horrible. Should be customizable,CXA,Consumer Goods,Used the software for: 1-2 years
gladly,Happy Gladly Customer,"Gladly continues to support our commitment to elevating the customer experience, and the team has expressed strong appreciation for the platform’s thoughtful design and streamlined functionality.",Stephanie K.,4.0,"February 17, 2026","One of the most favorable aspects has been its exceptional ease of use. The system’s intuitive layout allows our agents to navigate customer interactions quickly and confidently, reducing friction and improving productivity. The conversation-based structure—rather than a traditional ticketing model—has been a standout advantage. This approach provides a more natural, customer‑centric workflow, enabling our team to follow interactions seamlessly across channels and maintain full context in a single thread. As a result, we’re able to deliver faster, more personalized support while ensuring nothing gets lost in transition.","The reporting structure feels too segmented, requiring users to pull information from multiple areas rather than having access to a holistic, consolidated data view. Because most organizations in our industry rely on the same core metrics, having a pre‑built, unified dashboard that brings collective information together would be extremely valuable. A centralized reporting experience would reduce manual work, improve efficiency, and provide a clearer picture for decision‑making.",Senior Director of Customer Service,Consumer Goods,Used the software for: 2+ years
gladly,Great service but could be better. ,"Our experience was good, but there are other platforms in the industry that can provide the same experience and more.",Joseph G.,4.0,"October 13, 2025",What I liked most about Gladly was the sleek design of the CRM. I was able to understand each conversation and find information quickly.,"What I did not like about Gladly was the reporting. There were a few pieces of manual work that had to be done to see some key metrics and statistics that should have been readily accessible. I also did not like that we had not been reached out to by any Account manager during the life of the contract, and were strong-armed into renewing due to the run-around provided when trying to reach one.",Customer Experience Manager,Retail,Used the software for: 1-2 years
gladly,Truly one-of-a-kind CX platform and Best on the Market!,"Gladly has completely eliminated duplicate conversations for our team. With our previous CX platform, we constantly battled duplicates — customers reaching out via email, DMs, and text simultaneously. Now, because Gladly unifies every interaction under a single customer profile, we’re able to serve customers more efficiently and consistently meet our SLAs. On top of that, the Sidekick chatbot has been a huge asset. It helps customers with returns, order tracking, and other self-service needs, freeing up our agents to focus on higher-level, more personalized conversations that truly impact the customer experience.",Ashley D.,5.0,"October 8, 2025","Gladly is truly unlike any other platform on the market — and for good reason. It’s an innovative, all-in-one solution that empowers my team to deliver exceptional customer experiences. The reporting is incredibly detailed, giving us real-time visibility into performance, and the Task feature is a game changer — allowing us to easily follow up, collaborate across departments, and never let a customer slip through the cracks. It’s modern, intuitive, and built with CX teams in mind.","The only thing I’d love to see improved is social media comment integration. Direct messages roll in seamlessly, but having comments pull in as well would make the platform’s social functionality truly complete.",Customer Experience Manager,Apparel & Fashion,Used the software for: 6-12 months
gladly,Gladly Solves the Multi-Threaded Mess of Customer Support,Overall our experience with Gladly has been a very positive one and we look forward to continue the long term partnership for years to come.,Jennifer R.,5.0,"October 8, 2025","We love how Gladly unifies all customer interactions from every channel into a single, continuous conversation. It eliminates the confusion of juggling multiple threads and has proven to be far more efficient than other help desk platforms we've used.","While the AI optimization has been a bit slower compared to other help desks, our customers tend to prefer human interaction, so it hasn’t negatively impacted the overall experience.",Director of Ecommerce,Apparel & Fashion,Used the software for: 2+ years
gladly,"Gladly Delivers Simplicity, Efficiency, and True Partnership","Overall, my experience with Gladly has been very positive. As a Customer Experience Manager, I appreciate how it consolidates every channel into one timeline and provides advocates with the context they need to resolve issues quickly and confidently. Maintaining Gladly Answers has also made it easier for me to streamline solutions and reduce repeat contacts, which benefits both our customers and our team. While there are still a few features on our wishlist that would make day-to-day operations even smoother, Gladly has already improved efficiency, collaboration, and the overall experience we’re able to deliver. I also want to highlight the people behind the platform. Our CSM, [sensitive content hidden], has been absolutely amazing to work with on a bi-weekly basis — not only providing product updates, but also actively meeting our needs and helping us streamline workflows. And during implementation, [sensitive content hidden] and especially [sensitive content hidden] went above and beyond, holding our hands through the entire setup and ensuring we were 100% ready to transition with confidence.",Ryan M.,4.0,"August 27, 2025","What I like most about Gladly is that it brings everything together in one place. Instead of juggling multiple platforms, our advocates can see the entire customer history across phone, chat, SMS, email, and social in a single timeline. As someone who manages our internal knowledge base (Gladly Answers), I also appreciate how easy it is to build and maintain solutions that streamline the experience for both customers and advocates. The platform helps us resolve issues faster, reduces repeat contacts, and ultimately makes our team more efficient, while giving customers a smoother and more personalized experience.","Gladly works really well for us, but there are still a few features that would make a big difference for both customers and advocates. At the top of our wishlist are live chat message preview (so advocates can prepare responses faster during busy chat times) and preview dialers for Collections (to give those teams context before they call customers). On the management side, having role-based idle/logout settings, scheduled reporting, and an observer-only role for cross-functional partners would reduce manual work and improve collaboration. And while smaller, quality-of-life updates like dark mode, custom notification sounds, collapsible inbox categories, and even direct CSAT offerings within the conversation flow would go a long way in helping our team stay focused, efficient, and more connected to the customer experience.",Customer Experience Manager,Consumer Goods,Used the software for: Less than 6 months
gladly,I LOVE GLADLY,"I really love gladly and I have had a great experience with it, especially using the admin level. I love the ease of being able to change things and make decisions, and everything is super user friendly",JR V.,5.0,"August 25, 2025","I really like the 360 view of the customer that you get with Gladly, and how you're able to easily navigate through the customer profile to see what's going on. I also like how all the actions with conversations are tracked so everyone can see what's going on with routing.","-Showing agents’ name on the front end when customers are chatting in with them -Being able to assign answer audiences at an agent level when logged into admin, or a group level -When looking at agents in Live boards, In the list of agents, you cannot see who is on what team, like if you had all teams assigned to you, in the list, there are no criteria that show what team they are on -When transferring a chat to a specific agent, in Gladly, you are not able to see if they are available or not. Having their name as green or something would be helpful to know if they were available for that conversation type (or maybe just chat). -Being able to add a Hyperlink in a chat conversation message -Being able to have a customer or agent send a chat transcript to the customer -Being able to change idle time based on team groups, or some other factor than it being universal -Being able to change your agent status / if you are available for a specific channel when on a call. Right now, if an agent ends a call, they might possibly get a new call if they are not fast enough to change their availability for channels. -Having personal saved versions of Liveboards, like having different versions of a Liveboards with different teams and inboxes selected. -Being able to enter in dashes when searching phone numbers in the search bar. -Having agent names visible when chatting -Priority level for tasks -Only agents who are assigned a conversation should be able to respond, otherwise when an agent is on a conversation and declines, it stays there, and another agent could accept, but it looks like it may be assigned to the first agent, and then they can see that conversation. Only like an admin level should be able to write in those chats or emails if it’s not assigned to them. (I think it may be set this way because they are assigned to that inbox and if someone is gone then someone else can go in and respond to that). -Be able to add scheduled holiday time for chats to be open, like the IVR. -Ability to duplicate rules to create other rules off of, or change them for specific agents -Reporting for answers to be able to combine data for who is using what report at what specific time, and to show the actual agent name and not the agent ID",Customer Success Associate,Retail,Used the software for: 1-2 years
