product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
shake,Brilliantly easy to set up tool for in-app reporting,"Shake has allowed us to gain real insight into real issues our users were having during our beta phase, then later during QA. Rather than spending weeks to try and figure out what went wrong, we're right on top of things and have fixes out in no time.",Ruben V.,5.0,"June 25, 2021","It's incredible how easy it was to set up Shake with our existing Flutter application, especially given how new Flutter is to the market. In a few lines you'll have your first reports coming into a beautifully designed dashboard. Compared to Crashlytics, for example, the reports are so much more useful and descriptive — including a whole history of what actions the user took up to that point, logs, and metadata.","There's not that much to remark on. The few times we did have questions, their customer support helped us straight away.",CTO,Computer Software,Used the software for: 6-12 months
shake,One of the best bug reporting tool that saves countless hours of dev time,"Shake is easy to use and helps us better understand each incoming bug report, even the most complex ones. It became a vital part of our quality assurance process.",Divyanshu N.,5.0,"August 7, 2021","Shake helped us upgrade our existing bug reporting process to a whole new level. Thanks to its easy-to-use bug reporting product, we managed to squash more bugs than ever before, resulting in a much more stable app. A must-have for any mobile development team, and great integration with Jira and Slack!",There’s nothing I currently don’t like about this software,Tech Lead,Internet,Used the software for: 1-2 years
shake,"Easy to implement, stable (no maintenance) and exceptional customer support",Their team is exceptional when it comes to customer support. The customers' needs are taken very seriously and even their [SENSITIVE CONTENT] gets his hands dirty to help them.,Michael S.,4.0,"September 10, 2021",It's easy to setup and once it runs it doesn't need any maintenance support. The UX is very intuitive and our users love the shake-to-report functionality and the annotations they can draw onto the screenshots.,"Nothing really. We have one issue with our integration into ClickUp, but it isn't a deal breaker.","Co-Founder, Frontend Lead",Computer Software,Used the software for: 1-2 years
shake,"Great product, great support.","We were searching for an alternative solution to our used software. At that point allot of other solutions were too expensive or too complicated to use. After running a free trial, we decided to go with a payed plan. Main reason was the dashboard that gave us detailed infos to fix issues that users reported. And also simplicity of the bug reporting controller used in our apps. They have a very good responsive support team that takes care of you if you need any help.",Smiljan K.,5.0,"September 29, 2021",Easy to use. Helps us understand users complex bug reports.,"There were some minor issues along the way. But support team is amazing, so that was sorted really fast. Nothing to complain.",Mobile developer,Computer Software,Used the software for: 1-2 years
shake,"The best 'shake to report' software we found, with incredible customer support",,Elizabeth M.,5.0,"November 8, 2021",It was so reasonably priced with great and fair upscaling bands. We had regular check ins with [SENSITIVE CONTENT] who could not have been more helpful and we gathered a great deal of immediate data that we used regularly thereafter that we would not have had a chance to gather had it not been for Shake. We would definitely have continued with Shake if our project had continued to a customer trial as planned.,There was nothing we didn't like at the stage we were using it at,Product Owner,Transportation/Trucking/Railroad,Used the software for: Less than 6 months
shake,Shake SDK made communication and reporting bugs a lot lot easier. A time saver!,"So far, so good. Overall, feeling it's an excellent value for the price and service provided.",Branko R.,5.0,"March 3, 2022","Having everything in one place. QA, devs and other remote team members outside the team are communicating a lot faster without losing any time on explaining/ adding logs or more info because you get it all in the bug report. A nice addition is having Shake Crash and the real-time chat.","A few things are missing to be perfect in the JIRA integration, but with their public Roadmap, I hope we'll get there in the future. More customization would be a plus (UI reporting), but nothing you can't live without.",Software Developer,Information Technology and Services,Used the software for: 6-12 months
shake,Easiest bug reporting tool out there,,Verified Reviewer,5.0,"September 6, 2021","Shake was super easy to set up, plus the UI looks great and integrates nicely into our product. Shake makes bug reporting a lot simpler, previously our support team would have to request screenshots from users but now they can easily attach them as part of their bug report.",We would love to see an integration with Linear or custom webhooks,Lead Software Engineer,"Health, Wellness and Fitness",Used the software for: Less than 6 months
shake,"Feeling there while being remote, thanks Shake Bugs!","Overall, Service has been 9.9/10. This tool has really streamlined production issue investigation and identification!",Jacob W.,5.0,"August 25, 2021","Just like the title says, shake does a great job of bringing the user to the developer. Having a glimpse into what users are seeing when they report issues really provides the needed context. Integration was simple and the features provided are well designed.","The only thing that needs improvement is the navigation of and filtering of issues in the dashboard could be more intuitive. Currently, it puts everything all in one space that can be searched and navigated, but I think there could be an opportunity for improvement with this.",Development Team Lead,Information Technology and Services,Used the software for: 6-12 months
shake,A great bug reporting and evaluation tool!,"I've been very happy with the software, customer service, and experience. I've been a customer for nearly a year and have logged hundreds of bugs. It has been pretty much flawless.",Ian H.,5.0,"December 14, 2021",Big fan of the easy installation and experience of reporting a bug. Tons of metrics associated with each bug gives more insight into the bug cause.,"It would be great to have an app or other mobile notifications. Right now, it is only email notifications and they don't contain a ton of information. I'd love to see the reporter email or even be able to respond directly like intercom.",Sr. Mobile Developer,Computer Software,Used the software for: 6-12 months
shake,I'm never going to develop another mobile app without Shake SDK!,,Karim A.,5.0,"January 28, 2022","Ease of use, I set it up in 10 minutes. I tried everything out chatted with the customer support, that responded to my question in minutes. After a week, it was clear that Shake SDK was a must! No more never-ending chat, Slack, Whatsapp, JIRA tickets, emails with colleagues, devs, QA team, and clients... With Shake, it's all accessible in one place, everything you need. With Shake, we have a smooth collaboration process for every issue/bug or change that a client wants in the mobile app. The time we used to spend in chaos - is channeled into developing new features, polishing existing ones, and brainstorming new ideas. And the new real-time chat brought it all together.","A possibility to have more graphs, stats, and data that can be easily exported for clients. However, they have a Public Roadmap for feature requests, so that should be something to look forward to in the future.",Android developer,Information Technology and Services,Used the software for: 6-12 months
shake,No better way to capture your User's feedback,Quick to answer any support questions,Hino B.,5.0,"January 27, 2022","I love the logging submitted with the reports. Helps us identify bugs and better understand what the user is trying to do and where they are struggling. Users aren't always the most technical and articulate in accurately describing their issues. With Shake, they can describe their issues but the Shake report does all the communicating on their report.",Compatibility with SwiftUI would be a huge improvement,Mobile Architect,Computer Software,Used the software for: 1-2 years
shake,Great product for productivity increase ,,Verified Reviewer,5.0,"December 10, 2021","Ease of use and the availability for cooperation between developers, QA and end users.","Minor integration problems, but solved very very quickly in cooperation with customer support.",Software Engineer,Computer Software,Used the software for: 6-12 months
