product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
doxis_ai_dp,Another satisfied customer about Klippa DocHorizon,"Very satisfied about the onboarding process, overall quality and response time in case of malfunctions.",Suleyman G.,4.0,"December 4, 2025",The way that Klippa features are seamlesly integrated in our ERP system. And the decrease in amount of manual repetitive tasks for our end-users.,Feedback about wrong extraction results doesn't lead to direct 'visible' improvements in AI model. Therefore we are migrating to our custom enterprise AI Model.,Senior Financial Controller,Logistics and Supply Chain,Used the software for: 2+ years
doxis_ai_dp,"Great company, nice modern product","Good product, nice people, good support, the product does what it has to do. They stay up to date with new features (like AI and the promp builder)",Michiel K.,5.0,"December 4, 2025","Modern product, good recognition of invoices, coc check for company info, AI intergration, the new doc horizon platform where you can build you own document recognition (promp builder).","Nothing, great product. They have good support and you always get quick reaction on e-mails and questions. Maybe the only thing is that it somethings takes some time to do the OCR, but I think this is normal.",Developer,Information Technology and Services,Used the software for: 2+ years
doxis_ai_dp,Reliable and Efficient OCR Solution for Expense Management,"Overall, my experience with Klippa DocHorizon has been very positive. The tool is reliable, easy to integrate, and provides high-quality data extraction from receipts and invoices. It has helped streamline our expense report process and improve efficiency for both our users and our team. Support has also been responsive when needed.",David R.,4.0,"June 24, 2025",What I liked most about Klippa DocHorizon is its accurate and fast OCR and data extraction capabilities. It integrates seamlessly into our SaaS platform and helps us automatically pre-fill expense report forms based on receipt photos submitted by our users. This significantly improves the user experience and saves time for our clients.,"At one point, after an API version update, the handling of rotated images (e.g. photos taken at a 90° angle) was not working properly, which affected the extraction quality. However, this issue was identified quickly and I believe it will be resolved soon.",Web Developer,Human Resources,Used the software for: 2+ years
doxis_ai_dp,Klippa OCR ,"Our relation with Klippa has been, from the beginning, easy and productive. We will surely explore more applications in DocHorizon apart from the OCR.",Eulogio N.,5.0,"June 9, 2025",This review is about the legacy API for Klippa OCR: Quality of results and level of support. Our users work has really been made easier thanks to the high quality of Klippa OCR. We strongly recommend this product; we can only imagine that the DocHorizon version is even better.,"Right now there are no specific points we can discuss here, apart from the fact that we have to move to DocHorizon sooner or later.",IT PMO Project Manager,Consumer Goods,Used the software for: 1-2 years
doxis_ai_dp,Strong and fast growing partnership ,"""Our clients primarily want to focus on what they're good at: running their businesses. Administration is part of the job, but it shouldn't get in the way. Thanks to Klippa's technology, we can now offer them a solution that largely takes that work off their hands. This saves time, prevents errors, and provides greater insight.""",Hans D.,5.0,"December 3, 2025",This is a best practice of a strong and fast growing partnership between two IT-companies. The software developers of DNA Services B.V. are great fans of the Klippa productsuite and API-kit!,It works great and we get a lot of support and documentation so we can implement this AI-engine in our software projects and ERP-software,Sales Director and Co-Owner,Information Technology and Services,Used the software for: 1-2 years
doxis_ai_dp,A trustworthy partner that values personal contact and needs,"Happy with our first OCR integration, and currently we are in the proces of upgrading the integration to a more custom build approach. This is because we were very happy with the original integration",Jacob V.,5.0,"December 3, 2025",A trustworthy partner that values personal contact and is able to react quickly on changes and improvements that were required. We visit their office regularly both social and professional. They take the time to listen and that is what I appreciate the most about Klippa.,"The general financial model for document scanning was not very agile to customize the OCR, but luckily they offer the custom build model that we hope to implement coming year.",Business Analyst,Transportation/Trucking/Railroad,Used the software for: 1-2 years
doxis_ai_dp,Our DocHorizon experience ,The documentation is very good and quality-price performance is sufficient. Support questions are taken into account to and in-time.,Henk W.,5.0,"December 4, 2025",The quality of recognition of the data is very high. The uptime and performance are also very high. The documentation is of excellent quality.,"We have one cons. When you get a license on DocHorizon, the SLA is a seperate part of the license. I would expect the SLA is just something you expect within the license and should not be paid seperately.",Software developer,Accounting,Used the software for: 1-2 years
doxis_ai_dp,DocHorizon takes document recognition to the next level.,Extremely satisfied with the possibilities that the DocHorizon platform offers us and the support the Klippa empoyees gives to our developers.,Dirk-Willem H.,5.0,"December 3, 2025","The flexibility to integrate document recognition into our applications. That still amazes not only me, but also our customers.",We need to pass on the costs to our customers based on the number of recognitions. The API does not yet fully accommodate this and could be improved in a number of areas.,Manager Software en Development,Information Technology and Services,Used the software for: 1-2 years
doxis_ai_dp,Great document data extraction tool for pretty much any kind of document,"Reliable document extraction tool which is easy to setup with pre-made capturing models. If you want to extract other kind of documents which are not premade, the prompt builder allows you to easily do this.",Bjorn A.,5.0,"November 10, 2024",The dochorizon platform is easy to use without getting lower quality. The reliable document capturing tool allows you to extract any kind of data on pretty much any kind of document.,"The old flow builder used to be hard to use, however they recently upgraded the flow builder and this looks a lot more promising.",CTO,Computer Software,Used the software for: 1-2 years
doxis_ai_dp,Attentive & Helpful,,Britt K.,5.0,"February 6, 2025",Support team is very helpful & responsive!,It was confusing initially to understand that our legacy API with them was not the same as their new platform - but now it's clear & works great.,Bubble.io Developer,Construction,Used the software for: 2+ years
doxis_ai_dp,"Unkompliziert, gutes Preis/Leistungsverhältnis",,Andreas R.,5.0,"November 2, 2020","Gute Dokumentation und schnelle, effektive Kommunikation.",Funktioniert reibungslos. Was soll einem dabei weniger gefallen ?,-,Computer Software,Used the software for: 6-12 months
