product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
authoritas,"SEO Platform, Niche Research Tool and More!","I am glad I made the decision to use Authoritas. The features are very comprehensive and beyond that, they have an excellent customer service team who will be available to you at any time if you need help. Their SEO platform is easy to use on both desktop and mobile devices so I don't have a problem doing my job no matter where I am. They've even updated their software with new tools and it's really wonderful how much the platform has grown in the past months! If you’re looking for customizable SEO Software that can do it all then Authoritas is definitely worth checking out.",Jean Bertin C.,5.0,"August 13, 2021","With Authoritas, we don't need to pay for a monthly service like SEMrush. The one-time cost for Authoritas includes all of the SEO tools we need to run our search engine optimization campaign. We love how easy it makes things! The best part about Authoritas is that it has the tools that we need to get our website ranking. Keyword research, competitor research, and crawling are all very helpful for my business. With Authoritas I can easily set up a content calendar and make sure that I am staying on top of my online marketing. With a very short learning curve, the software is easy to use and can provide you with insights to make your content organically work. There are so many different SEO reporting tools available, and it's super easy to use them! Plus, the customer service representatives are always friendly and quick to answer any questions that you have. They also offer a variety of trainings and resources so that you can get the most out of their service.","Though the Backlinks feature is superb, I think it’s a little limited when compared to Ahrefs and hope to see some changes implemented. The National Rankings and Local Rank Tracking features aren't very developed at the moment either, but they have an extremely motivated team working on them so I wouldn’t rule them out as competitors in terms of rank tracking. All in all, Autoritas has done a good job with what they’ve managed to accomplish so far and will almost certainly improve quickly thanks to their determination to take on the competition.",Data Analyst Coach and Trainer,Financial Services,Used the software for: 6-12 months
authoritas,Great SEO platform with flexible setup,"We need a rank tracking solution that fits an international SEO setup covering 100 domains, 30 languages and multiple search engines. Linkdex/Authoritas matches our requirements really well. The team is also a pleasure to work with, it feels more like a partnership rather than a traditional supplier-client relationship as we support each other with insights, ideas and solutions to succeed.",Christoffer B.,5.0,"June 5, 2020","Our team has been using the Lindkex platform for 5 years. The platform comes with various SEO related modules such as; rank tracking, backlink reports and site crawler. We mainly use the platform for keyword rank tracking and some of the best features include: - Flexible rank check scheduling on keyword level (daily, weekly, bi-weekly, monthly or on-demand) - Ability to assign custom values to keywords based on your own internal conversion metrics - Ability to assign keywords to pages (preferred/mapped landing page) - Ability to extensively tag keywords. - Rank check across all major search engines; Google, Yahoo, Baidu, Yandex, Bing, Naver - Recently the support for getting universal search (SERP features) insights has greatly improved, which is key for doing SEO in 2020. - The customer service is great, they really listen to their clients. Several of our ideas for product development has been implemented in the platform. - Pricing model is very good.",- The in-platform reporting part is not very strong and so we rely on a lot of data exporting and creating our own reports. There are some new interesting reporting/dashboard sections for keyword visibility under development.,Head of SEO,Education Management,Used the software for: 2+ years
authoritas,Pre-built filters for keyword analysis are excellent,"Good, the product is good value for money and hope that there is a good roadmap for development.",Verified Reviewer,3.0,"December 23, 2021",The most useful part of Authoritas is with it's pre-built filters to evaluate your keyword performance. At a glance filtering to see which keywords are likely to have dropped due to certain reasons is a good sense check and something I found really helpful.,"It isn't as easy to use as other SEM platforms, it does the job ok but there is a bit of work to see how the software works and can benefit the user. I'd say that this is of less use to a beginner who doesn't necessarily know how to work through keyword audits and understanding web performance.",CMO,Marketing and Advertising,Used the software for: 6-12 months
authoritas,Highly recommended! ,"Not much more I can add other than I would recommend this tool to anyone in the SEO industry, as well as being able to gain all of the insights you need, the platform is easy to use and account management has always been second to none.",Andy C.,5.0,"March 5, 2021","Authoritas has been the keyword ranking software we have used for over ten years, and it has grown so much in that time. As well as having all you could wish for in terms of keyword ranking data you get so much more, I have been able to identify so many opportunities through visibility explorer and our clients love the data we can pull from the tool. The company has always been forward-thinking and stayed ahead of the trend when it comes to googles algorithm updates.","I wouldn't say there are any cons that I can think of, the platform is constantly evolving, and training is always offered, and any queries answered instantly.",Head Of SEO,Automotive,Used the software for: 2+ years
authoritas,A must for keyword monitoring and SEO analytics,,Hans P. H.,4.0,"September 27, 2018","The best two things about Analytics SEO (Now ""Authoritas"") are: 1. Monitoring you clients' keyword rankings. ASEO has the BEST data. Our agency's CEO has heard from many sources that the keyword ranking data ASEO has is the best in the industry. You can monitor a client's keyword ranking across many search engines, countries, states, and even cities. 2. Customer service is AMAZING. Even though they are a British company, their customer support is top notch for us users in the states. Many times, Laurence, the CEO of ASEO, personally follows up on customer questions, etc.","The software's interface could be more intuitive as far as finding settings and managing websites tracked by ASEO. I can overlook this, however, because an answer to my question is usually only a few minutes away.",Performance Marketing Manager,Marketing and Advertising,Used the software for: 1-2 years
authoritas,Perfect tool for your SEO needs and know everything about keywords rankings,,Eric B.,5.0,"September 14, 2021",I love this SEO software because it is so easy to use. I use it to monitor my blog's rankings to see what keywords are trending and to see what my competitors are doing. It is so easy to use and I love that it comes with a whole suite of tools that help me do my job. I am always up to date with all of my competitors' strategies and what has been working best for them. I love to use this software to see what is trending and what has been working well for my competitors so I can beat them.,"It is so comprehensive and there are so many options, mastering the different options takes time",Founder,Consumer Goods,Used the software for: Less than 6 months
authoritas,Brilliant software and great value for money,,Verified Reviewer,5.0,"January 21, 2022",The customer service is awesome. I always get a response within 10 minutes and often much quicker. The keyword rank tracking module is brilliant. Very useful for looking at backlinks as well.,More analytics integrations would be better. They do have Google Analytics but I prefer not to use that due to their poor privacy track record. Matomo analytics and Hotjar would be useful additions.,CEO,Retail,Used the software for: 6-12 months
authoritas,Issues with Authoritas,Tech support can help resolve issues but I've never been in love with the software. It doesn't seem to have been adequately user tested and is overly complicated unless you have a guide.,Richard M.,3.0,"March 3, 2021",We can track keyword performance of our site and competitors across countries at a glance.,Suddenly the reporting breaks and I need to set it up all over again. This happened a couple of months ago and today I checked again for another one of our URLs and our data looks to be: 1. Inaccurate for previous months 2. Missing for Jan and Feb 2021,"Manager, Marketing Operations",Business Supplies and Equipment,Used the software for: 2+ years
authoritas,Authoritas,Our account managers are fantastic and always on hand to jump onto a call or send you a detailed explanation via email. Not only do they know our products and industry but have the SEO knowledge to be able to make recommendations on how we can use the platform for us.,Priyanka K.,3.0,"June 15, 2020",It's clear that the company is always taking feedback and ideas to create new parts of the platform. The new search intent feature is very interesting and I'm keen to see what that develops into.,"The general UX is poor and needs to be redesigned, especially when compared to some of the other competitors. Just filtering out data can be difficult and having to manually create widgets rather than copying them is time-consuming and frustrating.",Organic Performance Strategist,Financial Services,Used the software for: 1-2 years
authoritas,Handy tools for experts and amateurs alike,Efficiently track new seo,Verified Reviewer,5.0,"February 2, 2018",Efficient tracking and reporting of multiple SEO platforms. All devices supported. Price point very fair compared to competitors.,"I may be missing this function, but would like to see a detailed sharing option to update senior management officials.",Technical Sales,Mechanical or Industrial Engineering,Used the software for: 6-12 months
